0,0,0.01655734
0.02,0,0.01873008
0.04,0,0.0172602
0.06,0,0.007770389
0.08,0,0.01148043
0.1,0,0.01077418
0.12,0,0.00394886
0.14,0,0.01240949
0.16,0,0.02029254
0.18,0,0.02552589
0.2,0,0.02928327
0.22,0,0.03477144
0.24,0,0.05427089
0.26,0,0.05520803
0.28,0,0.0472318
0.3,0,0.04421833
0.32,0,0.03984593
0.34,0,0.03676865
0.36,0,0.03449401
0.38,0,0.03998103
0.4,0,0.02930456
0.42,0,0.02070385
0.44,0,0.02912661
0.46,0,0.04626841
0.48,0,0.0464124
0.5,0,0.04987688
0.52,0,0.05015419
0.54,0,0.05046756
0.56,0,0.05718719
0.58,0,0.06170611
0.6,0,0.06007562
0.62,0,0.06525078
0.64,0,0.06552798
0.66,0,0.07666673
0.68,0,0.09199846
0.7,0,0.09352341
0.72,0,0.09426133
0.74,0,0.09129182
0.76,0,0.08507375
0.78,0,0.09126107
0.8,0,0.09743954
0.82,0,0.09554556
0.84,0,0.1049543
0.86,0,0.09618423
0.88,0,0.09434663
0.9,0,0.08628014
0.92,0,0.08078405
0.94,0,0.07572712
0.96,0,0.08136476
0.98,0,0.067572
1,0,0.06809533
1.02,0,0.05774824
1.04,0,0.05484814
1.06,0,0.05262796
1.08,0,0.04827672
1.1,0,0.03468208
1.12,0,0.02586508
1.14,0,0.02479742
1.16,0,0.02145922
1.18,0,0.0226968
1.2,0,0.02326898
1.22,0,0.03600617
1.24,0,0.04528758
1.26,0,0.03371295
1.28,0,0.02363151
1.3,0,0.04001908
1.32,0,0.05369378
1.34,0,0.04414133
1.36,0,0.05624357
1.38,0,0.06479757
1.4,0,0.07049843
1.42,0,0.07484341
1.44,0,0.08079209
1.46,0,0.08106209
1.48,0,0.0727389
1.5,0,0.07595073
1.52,0,0.06410217
1.54,0,0.06381921
1.56,0,0.05254912
1.58,0,0.04704405
1.6,0,0.06020352
1.62,0,0.06911257
1.64,0,0.06322668
1.66,0,0.07296596
1.68,0,0.065602
1.7,0,0.05095843
1.72,0,0.04964913
1.74,0,0.05450866
1.76,0,0.06736222
1.78,0,0.06359985
1.8,0,0.06343805
1.82,0,0.08038117
1.84,0,0.0760246
1.86,0,0.07147847
1.88,0,0.08175998
1.9,0,0.07592805
1.92,0,0.0769944
1.94,0,0.06950241
1.96,0,0.06897268
1.98,0,0.06573806
2,0,0.0526811
2.02,10,0.05213047
2.04,10,0.04987375
2.06,10,-0.03976516
2.08,10,0.5851657
2.1,10,1.390434
2.12,10,1.97308
2.14,10,2.496776
2.16,10,2.731831
2.18,10,2.856041
2.2,10,3.018101
2.22,10,2.984927
2.24,10,3.022988
2.26,10,3.065504
2.28,10,3.048563
2.3,10,3.075927
2.32,10,3.056672
2.34,10,3.040281
2.36,10,3.023389
2.38,10,3.05585
2.4,10,3.058334
2.42,10,3.069761
2.44,10,3.056716
2.46,10,3.050241
2.48,10,3.057304
2.5,10,3.052892
2.52,10,3.050602
2.54,10,3.047705
2.56,10,3.058957
2.58,10,3.056145
2.6,10,3.051904
2.62,10,3.053733
2.64,10,3.059904
2.66,10,3.05819
2.68,10,3.053048
2.7,10,3.048878
2.72,10,3.058655
2.74,10,3.06188
2.76,10,3.055865
2.78,10,3.053278
2.8,10,3.059804
2.82,10,3.063021
2.84,10,3.062228
2.86,10,3.068629
2.88,10,3.065306
2.9,10,3.049055
2.92,10,3.037867
2.94,10,3.051361
2.96,10,3.044561
2.98,10,3.044466
3,10,3.053926
3.02,10,3.056359
3.04,10,3.054948
3.06,10,3.063712
3.08,10,3.07523
3.1,10,3.074891
3.12,10,3.068119
3.14,10,3.085376
3.16,10,3.08957
3.18,10,3.084626
3.2,10,3.079299
3.22,10,3.0748
3.24,10,3.086639
3.26,10,3.078883
3.28,10,3.074797
3.3,10,3.075558
3.32,10,3.084717
3.34,10,3.077297
3.36,10,3.072421
3.38,10,3.067743
3.4,10,3.071933
3.42,10,3.061546
3.44,10,3.06911
3.46,10,3.071386
3.48,10,3.069124
3.5,10,3.055158
3.52,10,3.065469
3.54,10,3.074744
3.56,10,3.073947
3.58,10,3.061548
3.6,10,3.058647
3.62,10,3.06061
3.64,10,3.057928
3.66,10,3.066143
3.68,10,3.066933
3.7,10,3.068112
3.72,10,3.075294
3.74,10,3.08704
3.76,10,3.08924
3.78,10,3.109688
3.8,10,3.091448
3.82,10,3.064287
3.84,10,3.061005
3.86,10,3.053216
3.88,10,3.048146
3.9,10,3.060891
3.92,10,3.070956
3.94,10,3.057092
3.96,10,3.044121
3.98,10,3.034155
4,10,3.042904
4.02,0,3.034598
4.04,0,3.035786
4.06,0,2.694083
4.08,0,2.031793
4.1,0,1.100309
4.12,0,0.96885
4.14,0,0.6958985
4.16,0,0.1616184
4.18,0,0.1235464
4.2,0,0.1338196
4.22,0,0.04658294
4.24,0,0.009373035
4.26,0,-0.08066545
4.28,0,-0.1269208
4.3,0,-0.1551889
4.32,0,-0.1389122
4.34,0,-0.1397596
4.36,0,-0.1431434
4.38,0,-0.1426939
4.4,0,-0.126457
4.42,0,-0.1303136
4.44,0,-0.1044259
4.46,0,-0.1048214
4.48,0,-0.09360095
4.5,0,-0.08213085
4.52,0,-0.07182356
4.54,0,-0.05607698
4.56,0,-0.06298336
4.58,0,-0.06190706
4.6,0,-0.06882247
4.62,0,-0.07134467
4.64,0,-0.06307382
4.66,0,-0.06194746
4.68,0,-0.0669781
4.7,0,-0.05537676
4.72,0,-0.05325986
4.74,0,-0.05008938
4.76,0,-0.06556715
4.78,0,-0.03876684
4.8,0,-0.01954536
4.82,0,-0.02967416
4.84,0,-0.01795834
4.86,0,-0.00143452
4.88,0,0.007853873
4.9,0,0.005296558
