0,0,-0.1088625,-0.2855138,-0.07221133,-13.74126
0.02,0,-0.192469,-0.3163104,-0.07354365,-45.04364
0.04,0,-0.2815361,-1.125981,-0.07407656,-106.9105
0.06,0,-0.3568699,-1.247044,-0.07114548,-212.4164
0.08,0,-0.426364,-3.342973,-0.07274425,-391.726
0.1,0,-0.4715634,-3.646646,-0.07167841,-677.0192
0.12,0,-0.5150843,-8.973882,-0.0724778,-1143.783
0.14,0,-0.5645269,-9.794333,-0.07301072,-1878.522
0.16,0,-0.598346,-23.24646,-0.07407656,-3070.532
0.18,0,-0.6364504,-25.35782,-0.07327718,-4936.585
0.2,0,-0.6659495,-59.33015,-0.07381011,-7956.724
0.22,0,-0.6924427,-64.67551,-0.07114548,-12676.42
0.24,0,-0.7182171,-150.463,-0.07381011,-20308.87
0.26,0,-0.7285946,-163.9319,-0.07194487,-32229.62
0.28,0,-0.7383378,-380.5166,-0.0724778,-51500.48
0.3,0,-0.7533789,-414.5211,-0.07301072,-81597.37
0.32,0,-0.7575871,-961.2909,-0.07301072,-130248.8
0.34,0,-0.7791144,-1047.133,-0.07274425,-206229.9
0.36,0,-0.79831,-2427.509,-0.07301072,-329053.9
0.38,0,-0.822041,-2644.115,-0.07221133,-520869.5
0.4,0,-0.8225631,-6128.94,-0.07301072,-830935.4
0.42,0,-0.8336415,-6675.464,-0.07167841,-1315162
0.44,0,-0.8345206,-15473.16,-0.07167841,-2097906
0.46,0,-0.8497303,-16852.06,-0.07274425,-3320305
0.48,0,-0.8688245,-39062.54,-0.0724778,-5296298
0.5,0,-0.8697219,-42541.46,-0.07301072,-8382165
0.52,0,-0.8776653,-98613.57,-0.07274425,-1.337044e+07
0.54,0,-0.8844548,-107390.8,-0.0724778,-2.11605e+07
0.56,0,-0.8960863,-248949.2,-0.07381011,-3.375307e+07
0.58,0,-0.8960202,-271093.8,-0.0724778,-5.341854e+07
0.6,0,-0.8923427,-628469.1,-0.07327718,-8.52077e+07
0.62,0,-0.8984052,-684339.4,-0.07194487,-1.348518e+08
0.64,0,-0.8971108,-1586561,-0.07301072,-2.151016e+08
0.66,0,-0.8988969,-1727520,-0.07274425,-3.404247e+08
0.68,0,-0.8873815,-4005250,-0.07327718,-5.430102e+08
0.7,0,-0.9030742,-4360887,-0.07354365,-8.5938e+08
0.72,0,-0.9077147,-1.011119e+07,-0.07327718,-1.370794e+09
0.74,0,-0.9091205,-1.100846e+07,-0.07221133,-2.169448e+09
0.76,0,-0.9025372,-2.552553e+07,-0.07354365,-3.46048e+09
0.78,0,-0.9015558,-2.778932e+07,-0.07221133,-5.476626e+09
0.8,0,-0.905824,-6.443878e+07,-0.07274425,-8.735755e+09
0.82,0,-0.9087141,-7.015029e+07,-0.07194487,-1.382538e+10
0.84,0,-0.8965812,-1.626747e+08,-0.05888821,-2.205284e+10
0.86,0,-0.8903075,-1.770846e+08,-0.08260337,-3.490125e+10
0.88,0,-0.9143355,-4.106696e+08,-0.0746095,-5.567096e+10
0.9,0,-0.9073496,-4.470255e+08,-0.07354365,-8.810587e+10
0.92,0,-0.8938209,-1.036729e+09,-0.07087902,-1.405377e+11
0.94,0,-0.8912641,-1.128454e+09,-0.0724778,-2.224174e+11
0.96,0,-0.9003122,-2.617205e+09,-0.07327718,-3.547782e+11
0.98,0,-0.9097518,-2.848625e+09,-0.07194487,-5.614778e+11
1,0,-0.9090549,-6.607094e+09,-0.07327718,-8.956144e+11
1.02,0,-0.9039444,-7.190956e+09,-0.07327718,-1.417413e+12
1.04,0,-0.9253601,-1.66795e+10,-0.07381011,-2.26092e+12
1.06,0,-0.9266778,-1.815257e+10,-0.07274425,-3.578165e+12
