0,0,-0.06735618,-0.1766551,-0.07274425,-8.502089
0.02,0,-0.139855,-0.2501814,-0.0724778,-30.49133
0.04,0,-0.1920901,-0.707652,-0.07141194,-72.36597
0.06,0,-0.2406346,-0.930125,-0.0724778,-143.9599
0.08,0,-0.2825418,-2.110906,-0.07167841,-264.212
0.1,0,-0.3054937,-2.660092,-0.07274425,-455.8305
0.12,0,-0.3318454,-5.670409,-0.07141194,-767.1003
0.14,0,-0.3636127,-7.094281,-0.0724778,-1259.861
0.16,0,-0.4008262,-14.73657,-0.07274425,-2056.394
0.18,0,-0.4312763,-18.34594,-0.07194487,-3311.27
0.2,0,-0.4652971,-37.67577,-0.07167841,-5332.164
0.22,0,-0.4947394,-46.80437,-0.07114548,-8510.215
0.24,0,-0.505186,-95.5798,-0.07221133,-13618.76
0.26,0,-0.5341783,-118.6789,-0.0724778,-21647.19
0.28,0,-0.5536494,-241.8156,-0.0724778,-34551.38
0.3,0,-0.5447949,-300.0622,-0.07194487,-54821.18
0.32,0,-0.5602813,-610.9822,-0.07274425,-87397.23
0.34,0,-0.5636755,-757.9822,-0.07301072,-138570.4
0.36,0,-0.5929825,-1542.985,-0.07221133,-220810.9
0.38,0,-0.5898795,-1913.962,-0.07194487,-349999.2
0.4,0,-0.5938197,-3895.754,-0.07114548,-557609.9
0.42,0,-0.5871962,-4832.099,-0.07301072,-883737
0.44,0,-0.5903572,-9835.243,-0.07301072,-1407836
0.46,0,-0.5947801,-12198.63,-0.07167841,-2231123
0.48,0,-0.580668,-24829.26,-0.0746095,-3554176
0.5,0,-0.5987594,-30794.67,-0.07221133,-5632508
0.52,0,-0.6080257,-62681.22,-0.07301072,-8972476
0.54,0,-0.6153559,-77738.33,-0.07221133,-1.421908e+07
0.56,0,-0.6132568,-158237.3,-0.07114548,-2.265062e+07
0.58,0,-0.6052338,-196242.4,-0.0724778,-3.589533e+07
0.6,0,-0.6209278,-399465.6,-0.07274425,-5.71802e+07
0.62,0,-0.6167699,-495392.9,-0.07274425,-9.061557e+07
0.64,0,-0.6076453,-1008439,-0.07327718,-1.443479e+08
0.66,0,-0.6006054,-1250566,-0.07274425,-2.287532e+08
0.68,0,-0.6103564,-2545772,-0.07221133,-3.643969e+08
0.7,0,-0.6108935,-3156914,-0.07167841,-5.774724e+08
0.72,0,-0.6154338,-6426724,-0.07274425,-9.198963e+08
0.74,0,-0.6188987,-7969280,-0.07221133,-1.457791e+09
0.76,0,-0.6148726,-1.622407e+07,-0.07114548,-2.322218e+09
0.78,0,-0.6369419,-2.011756e+07,-0.07274425,-3.680096e+09
0.8,0,-0.6515476,-4.095716e+07,-0.0724778,-5.862286e+09
0.82,0,-0.6435673,-5.078454e+07,-0.07407656,-9.290158e+09
0.84,0,-0.6447135,-1.033951e+08,-0.07327718,-1.479896e+10
0.86,0,-0.6429005,-1.282e+08,-0.07194487,-2.345239e+10
0.88,0,-0.6419519,-2.610177e+08,-0.07407656,-3.7359e+10
0.9,0,-0.6425083,-3.236265e+08,-0.0724778,-5.920399e+10
0.92,0,-0.6567971,-6.58931e+08,-0.07274425,-9.431033e+10
0.94,0,-0.665058,-8.169594e+08,-0.07301072,-1.494566e+11
0.96,0,-0.6603796,-1.663451e+09,-0.07301072,-2.380803e+11
0.98,0,-0.6619502,-2.062324e+09,-0.07274425,-3.772931e+11
1,0,-0.6511143,-4.199329e+09,-0.0724778,-6.01018e+11
1.02,0,-0.6445704,-5.206108e+09,-0.0724778,-9.524514e+11
1.04,0,-0.6463125,-1.060108e+10,-0.0724778,-1.51723e+12
