Tiempo,Control,Plataforma
5.52,20,5.222685
5.54,20,5.212888
5.56,20,5.20356
5.58,20,5.199931
5.6,20,5.181008
5.62,20,5.184244
5.64,20,5.19135
5.66,20,5.206307
5.68,20,5.212937
5.7,20,5.218507
5.72,20,5.218462
5.74,20,5.212312
5.76,20,5.213712
5.78,20,5.214482
5.8,20,5.212298
5.82,20,5.220073
5.84,20,5.223985
5.86,20,5.230478
5.88,20,5.227724
5.9,20,5.221797
5.92,20,5.227915
5.94,20,5.210691
5.96,20,5.209344
5.98,20,5.208117
6,20,5.205514
6.02,30,5.206689
6.04,30,5.206516
6.06,30,5.259686
6.08,30,6.015476
6.1,30,6.921456
6.12,30,7.647363
6.14,30,8.14043
6.16,30,8.330634
6.18,30,8.291559
6.2,30,8.221396
6.22,30,8.29068
6.24,30,8.359783
6.26,30,8.424666
6.28,30,8.483992
6.3,30,8.49999
6.32,30,8.491535
6.34,30,8.483218
6.36,30,8.464599
6.38,30,8.438812
6.4,30,8.427855
6.42,30,8.423287
6.44,30,8.438884
6.46,30,8.441236
6.48,30,8.431249
6.5,30,8.421558
6.52,30,8.408542
6.54,30,8.389878
6.56,30,8.373987
6.58,30,8.375928
6.6,30,8.373394
6.62,30,8.373764
6.64,30,8.377159
6.66,30,8.381742
6.68,30,8.377647
6.7,30,8.369791
6.72,30,8.358586
6.74,30,8.346595
6.76,30,8.341493
6.78,30,8.348304
6.8,30,8.350755
6.82,30,8.356067
6.84,30,8.353004
6.86,30,8.340376
6.88,30,8.335421
6.9,30,8.332072
6.92,30,8.333928
6.94,30,8.335772
6.96,30,8.336053
6.98,30,8.345549
7,30,8.356226
7.02,30,8.388882
7.04,30,8.382599
7.06,30,8.380712
7.08,30,8.393811
7.1,30,8.395029
7.12,30,8.367252
7.14,30,8.371726
7.16,30,8.374592
7.18,30,8.395157
7.2,30,8.382488
7.22,30,8.377736
7.24,30,8.368658
7.26,30,8.365409
7.28,30,8.360371
7.3,30,8.361034
7.32,30,8.364533
7.34,30,8.361324
7.36,30,8.353911
7.38,30,8.358669
7.4,30,8.36934
7.42,30,8.365872
7.44,30,8.352092
7.46,30,8.363073
7.48,30,8.370693
7.5,30,8.374614
7.52,30,8.378077
7.54,30,8.380879
7.56,30,8.386984
7.58,30,8.384528
7.6,30,8.378633
7.62,30,8.383109
7.64,30,8.38789
7.66,30,8.384671
7.68,30,8.380667
7.7,30,8.380219
7.72,30,8.387221
7.74,30,8.385782
7.76,30,8.380085
7.78,30,8.380707
7.8,30,8.386641
7.82,30,8.394893
7.84,30,8.396205
7.86,30,8.394271
7.88,30,8.390299
7.9,30,8.381268
7.92,30,8.378369
7.94,30,8.386177
7.96,30,8.387545
7.98,30,8.385206
8,30,8.376937
8.02,20,8.377648
8.04,20,8.378489
8.06,20,8.173483
8.08,20,7.318071
8.1,20,6.29504
8.12,20,5.545476
8.14,20,5.041581
8.16,20,5.457398
8.18,20,5.643797
8.2,20,5.696479
8.22,20,5.689546
8.24,20,5.66227
8.26,20,5.626043
8.28,20,5.634661
8.3,20,5.664536
8.32,20,5.672615
8.34,20,5.669142
8.36,20,5.651906
8.38,20,5.643945
8.4,20,5.652103
8.42,20,5.667964
8.44,20,5.67474
8.46,20,5.680364
8.48,20,5.672994
8.5,20,5.676811
8.52,20,5.671771
8.54,20,5.675426
8.56,20,5.691282
8.58,20,5.701748
8.6,20,5.70752
8.62,20,5.708078
8.64,20,5.709193
8.66,20,5.703812
8.68,20,5.707016
8.7,20,5.704303
8.72,20,5.703184
8.74,20,5.699677
8.76,20,5.705538
8.78,20,5.699611
8.8,20,5.695286
8.82,20,5.693367
8.84,20,5.686564
8.86,20,5.681145
8.88,20,5.690375
8.9,20,5.681356
8.92,20,5.688291
8.94,20,5.703921
8.96,20,5.701548
8.98,20,5.703559
9,20,5.698695
9.02,20,5.697264
9.04,20,5.698549
9.06,20,5.685184
9.08,20,5.684773
9.1,20,5.696743
9.12,20,5.692361
9.14,20,5.695427
9.16,20,5.705433
9.18,20,5.706513
9.2,20,5.711188
9.22,20,5.711407
9.24,20,5.712741
9.26,20,5.719711
9.28,20,5.720766
9.3,20,5.718815
9.32,20,5.719127
9.34,20,5.720983
9.36,20,5.729927
9.38,20,5.725212
9.4,20,5.727383
9.42,20,5.735405
9.44,20,5.730772
9.46,20,5.727166
9.48,20,5.720263
9.5,20,5.713486
9.52,20,5.706853
9.54,20,5.712987
9.56,20,5.703788
9.58,20,5.707115
9.6,20,5.707497
9.62,20,5.717563
9.64,20,5.714051
9.66,20,5.713851
9.68,20,5.708449
9.7,20,5.705302
9.72,20,5.703931
9.74,20,5.705644
9.76,20,5.716616
9.78,20,5.723371
9.8,20,5.716092
9.82,20,5.713326
9.84,20,5.701401
9.86,20,5.697126
9.88,20,5.693439
9.9,20,5.69765
9.92,20,5.705345
9.94,20,5.703641
9.96,20,5.703973
9.98,20,5.706251
10,20,5.701561
10.02,10,5.702114
10.04,10,5.708684
10.06,10,5.616035
10.08,10,5.010219
10.1,10,3.700152
10.12,10,2.63605
10.14,10,1.814407
10.16,10,1.508602
10.18,10,2.008509
10.2,10,2.372149
10.22,10,2.481418
10.24,10,2.392114
10.26,10,2.25475
10.28,10,2.151586
10.3,10,2.088023
10.32,10,1.999052
10.34,10,1.862731
10.36,10,1.762579
10.38,10,1.691914
10.4,10,1.651655
10.42,10,1.639735
10.44,10,1.628647
10.46,10,1.604304
10.48,10,1.628112
10.5,10,1.636487
10.52,10,1.652284
10.54,10,1.67269
10.56,10,1.682285
10.58,10,1.692506
10.6,10,1.701274
10.62,10,1.710995
10.64,10,1.716166
10.66,10,1.723774
10.68,10,1.730132
10.7,10,1.738369
10.72,10,1.745239
10.74,10,1.748721
10.76,10,1.754467
10.78,10,1.75951
10.8,10,1.772517
10.82,10,1.772138
10.84,10,1.77976
10.86,10,1.77521
10.88,10,1.781525
10.9,10,1.780049
10.92,10,1.773134
10.94,10,1.774262
10.96,10,1.786574
10.98,10,1.795899
11,10,1.817582
11.02,10,1.815557
11.04,10,1.815921
11.06,10,1.827346
11.08,10,1.811391
11.1,10,1.799122
11.12,10,1.792129
11.14,10,1.806138
11.16,10,1.817406
11.18,10,1.82237
11.2,10,1.822794
11.22,10,1.827166
11.24,10,1.820011
11.26,10,1.819234
11.28,10,1.827627
11.3,10,1.826848
11.32,10,1.819582
11.34,10,1.829075
11.36,10,1.836278
11.38,10,1.834796
11.4,10,1.832557
11.42,10,1.825544
11.44,10,1.836248
11.46,10,1.832914
11.48,10,1.838225
11.5,10,1.836347
11.52,10,1.842577
11.54,10,1.847767
11.56,10,1.84102
11.58,10,1.840439
11.6,10,1.842286
11.62,10,1.852212
11.64,10,1.847408
11.66,10,1.848245
11.68,10,1.86337
11.7,10,1.870099
11.72,10,1.864505
11.74,10,1.862237
11.76,10,1.855759
11.78,10,1.863172
11.8,10,1.866017
11.82,10,1.85812
11.84,10,1.867965
11.86,10,1.861886
11.88,10,1.855136
11.9,10,1.8547
11.92,10,1.851732
11.94,10,1.84419
11.96,10,1.832315
11.98,10,1.841838
12,10,1.841591
12.02,0,1.850151
12.04,0,1.852078
12.06,0,1.865725
12.08,0,1.393551
12.1,0,0.4382975
12.12,0,-0.4215263
12.14,0,-0.9894291
12.16,0,-1.338391
12.18,0,-1.522161
12.2,0,-1.585743
12.22,0,-1.538495
12.24,0,-1.511279
12.26,0,-1.500339
12.28,0,-1.478963
12.3,0,-1.465765
12.32,0,-1.45604
12.34,0,-1.432332
12.36,0,-1.427613
12.38,0,-1.418632
12.4,0,-1.409733
12.42,0,-1.384032
12.44,0,-1.368585
12.46,0,-1.362068
12.48,0,-1.352877
12.5,0,-1.360292
12.52,0,-1.358196
12.54,0,-1.350937
12.56,0,-1.341828
12.58,0,-1.335456
12.6,0,-1.339222
12.62,0,-1.335422
12.64,0,-1.327178
12.66,0,-1.317997
12.68,0,-1.312347
12.7,0,-1.313531
12.72,0,-1.317735
12.74,0,-1.320006
12.76,0,-1.319851
12.78,0,-1.30918
12.8,0,-1.301619
12.82,0,-1.296888
12.84,0,-1.295674
12.86,0,-1.298947
12.88,0,-1.288538
12.9,0,-1.281242
12.92,0,-1.28142
12.94,0,-1.281885
12.96,0,-1.283261
12.98,0,-1.274591
13,0,-1.263594
13.02,0,-1.263584
13.04,0,-1.275023
13.06,0,-1.275368
13.08,0,-1.274781
13.1,0,-1.273176
13.12,0,-1.263977
13.14,0,-1.25751
13.16,0,-1.259346
13.18,0,-1.266608
13.2,0,-1.271339
13.22,0,-1.275772
13.24,0,-1.266962
13.26,0,-1.269587
13.28,0,-1.265671
13.3,0,-1.255829
13.32,0,-1.252263
13.34,0,-1.258551
13.36,0,-1.257959
13.38,0,-1.267114
13.4,0,-1.282899
13.42,0,-1.279252
13.44,0,-1.272284
13.46,0,-1.252619
13.48,0,-1.245688
13.5,0,-1.249564
13.52,0,-1.252586
13.54,0,-1.255445
13.56,0,-1.263505
13.58,0,-1.274343
13.6,0,-1.285269
13.62,0,-1.29676
13.64,0,-1.274036
13.66,0,-1.247892
13.68,0,-1.228257
13.7,0,-1.248528
13.72,0,-1.26519
13.74,0,-1.281526
13.76,0,-1.270618
13.78,0,-1.267133
13.8,0,-1.254861
13.82,0,-1.254111
13.84,0,-1.244273
13.86,0,-1.254005
13.88,0,-1.248875
13.9,0,-1.254732
13.92,0,-1.260254
13.94,0,-1.269755
13.96,0,-1.288183
13.98,0,-1.264626
14,0,-1.264755
14.02,-10,-1.258796
14.04,-10,-1.245972
14.06,-10,-1.2645
14.08,-10,-2.175384
14.1,-10,-3.374462
14.12,-10,-4.148715
14.14,-10,-4.627156
14.16,-10,-4.84475
14.18,-10,-4.536765
14.2,-10,-4.294649
14.22,-10,-4.255356
14.24,-10,-4.287208
14.26,-10,-4.302334
14.28,-10,-4.315793
14.3,-10,-4.317319
14.32,-10,-4.293542
14.34,-10,-4.26362
14.36,-10,-4.250297
14.38,-10,-4.226223
14.4,-10,-4.213589
14.42,-10,-4.204156
14.44,-10,-4.201206
14.46,-10,-4.188178
14.48,-10,-4.17556
14.5,-10,-4.17514
14.52,-10,-4.169027
14.54,-10,-4.168245
14.56,-10,-4.160688
14.58,-10,-4.156025
14.6,-10,-4.158319
14.62,-10,-4.143198
14.64,-10,-4.133325
14.66,-10,-4.135423
14.68,-10,-4.136904
14.7,-10,-4.124746
14.72,-10,-4.113337
14.74,-10,-4.100936
14.76,-10,-4.099589
14.78,-10,-4.092299
14.8,-10,-4.089104
14.82,-10,-4.09295
14.84,-10,-4.099584
14.86,-10,-4.10407
14.88,-10,-4.092123
14.9,-10,-4.0892
14.92,-10,-4.089281
14.94,-10,-4.07959
14.96,-10,-4.076739
14.98,-10,-4.076571
15,-10,-4.080535
15.02,-10,-4.087687
15.04,-10,-4.087015
15.06,-10,-4.090819
15.08,-10,-4.092033
15.1,-10,-4.093093
15.12,-10,-4.089499
15.14,-10,-4.072846
15.16,-10,-4.071774
15.18,-10,-4.065731
15.2,-10,-4.066854
15.22,-10,-4.075644
15.24,-10,-4.072603
15.26,-10,-4.075238
15.28,-10,-4.07199
15.3,-10,-4.061503
15.32,-10,-4.070688
15.34,-10,-4.070629
15.36,-10,-4.06673
15.38,-10,-4.070888
15.4,-10,-4.078897
15.42,-10,-4.07847
15.44,-10,-4.067048
15.46,-10,-4.060198
15.48,-10,-4.052482
15.5,-10,-4.058915
15.52,-10,-4.066011
15.54,-10,-4.075456
15.56,-10,-4.08104
15.58,-10,-4.07101
15.6,-10,-4.062863
15.62,-10,-4.054677
15.64,-10,-4.061381
15.66,-10,-4.050343
15.68,-10,-4.054823
15.7,-10,-4.053762
15.72,-10,-4.06328
15.74,-10,-4.044536
15.76,-10,-4.047917
15.78,-10,-4.052134
15.8,-10,-4.062764
15.82,-10,-4.064618
15.84,-10,-4.070154
15.86,-10,-4.063824
15.88,-10,-4.061985
15.9,-10,-4.069674
15.92,-10,-4.072507
15.94,-10,-4.067852
15.96,-10,-4.065356
15.98,-10,-4.068689
16,-10,-4.07662
16.02,-20,-4.079471
16.04,-20,-4.076323
16.06,-20,-4.071176
16.08,-20,-4.25082
16.1,-20,-5.702254
16.12,-20,-7.10884
16.14,-20,-8.16422
16.16,-20,-7.717295
16.18,-20,-7.32805
16.2,-20,-7.100212
16.22,-20,-7.197765
16.24,-20,-7.680295
16.26,-20,-8.172723
16.28,-20,-8.558187
16.3,-20,-8.642961
16.32,-20,-8.392343
16.34,-20,-8.257488
16.36,-20,-8.198066
16.38,-20,-8.148969
16.4,-20,-8.049678
16.42,-20,-7.947593
16.44,-20,-7.861634
16.46,-20,-7.75094
16.48,-20,-7.670591
16.5,-20,-7.657143
16.52,-20,-7.670487
16.54,-20,-7.66514
16.56,-20,-7.670944
16.58,-20,-7.67022
16.6,-20,-7.66692
16.62,-20,-7.662359
16.64,-20,-7.658886
16.66,-20,-7.662348
16.68,-20,-7.654814
16.7,-20,-7.657794
16.72,-20,-7.654257
16.74,-20,-7.641952
16.76,-20,-7.633896
16.78,-20,-7.632973
16.8,-20,-7.636874
16.82,-20,-7.631538
16.84,-20,-7.628614
16.86,-20,-7.621778
16.88,-20,-7.619842
16.9,-20,-7.624218
16.92,-20,-7.616644
16.94,-20,-7.61856
16.96,-20,-7.612869
16.98,-20,-7.610569
17,-20,-7.61943
17.02,-20,-7.618603
17.04,-20,-7.617709
17.06,-20,-7.626716
17.08,-20,-7.625738
17.1,-20,-7.620824
17.12,-20,-7.616136
17.14,-20,-7.617185
17.16,-20,-7.612307
17.18,-20,-7.611585
17.2,-20,-7.603753
17.22,-20,-7.606308
17.24,-20,-7.6038
17.26,-20,-7.61092
17.28,-20,-7.611329
17.3,-20,-7.604908
17.32,-20,-7.591383
17.34,-20,-7.581567
17.36,-20,-7.590101
17.38,-20,-7.600066
17.4,-20,-7.600688
17.42,-20,-7.593923
17.44,-20,-7.590121
17.46,-20,-7.584057
17.48,-20,-7.579312
17.5,-20,-7.580856
17.52,-20,-7.583636
17.54,-20,-7.578259
17.56,-20,-7.584876
17.58,-20,-7.584096
17.6,-20,-7.580434
17.62,-20,-7.583111
17.64,-20,-7.5859
17.66,-20,-7.571351
17.68,-20,-7.57257
17.7,-20,-7.579265
17.72,-20,-7.574508
17.74,-20,-7.567501
17.76,-20,-7.568154
17.78,-20,-7.569741
17.8,-20,-7.573874
17.82,-20,-7.564812
17.84,-20,-7.565021
17.86,-20,-7.575098
17.88,-20,-7.575777
17.9,-20,-7.575075
17.92,-20,-7.579721
17.94,-20,-7.589242
17.96,-20,-7.587609
17.98,-20,-7.585147
18,-20,-7.589891
18.02,-30,-7.596017
18.04,-30,-7.59275
18.06,-30,-7.641181
18.08,-30,-8.079256
18.1,-30,-9.406816
18.12,-30,-10.69114
18.14,-30,-11.67271
18.16,-30,-11.25891
18.18,-30,-10.97389
18.2,-30,-10.78916
18.22,-30,-10.85979
18.24,-30,-11.04305
18.26,-30,-11.27906
18.28,-30,-11.47328
18.3,-30,-11.53036
18.32,-30,-11.47812
18.34,-30,-11.46994
18.36,-30,-11.43868
18.38,-30,-11.43045
18.4,-30,-11.40859
18.42,-30,-11.39709
18.44,-30,-11.38132
18.46,-30,-11.36668
18.48,-30,-11.35897
18.5,-30,-11.34853
18.52,-30,-11.33642
18.54,-30,-11.32308
18.56,-30,-11.31075
18.58,-30,-11.30278
18.6,-30,-11.28935
18.62,-30,-11.28254
18.64,-30,-11.27597
18.66,-30,-11.27015
18.68,-30,-11.26165
18.7,-30,-11.25469
18.72,-30,-11.24978
18.74,-30,-11.24863
18.76,-30,-11.23958
18.78,-30,-11.23783
18.8,-30,-11.22568
18.82,-30,-11.21754
18.84,-30,-11.20801
18.86,-30,-11.2051
