Tiempo,Control,Plataforma
0,0,-0.09921936
0.02,0,-0.1961308
0.04,0,-0.2867252
0.06,0,-0.3585961
0.08,0,-0.424848
0.1,0,-0.483242
0.12,0,-0.5409777
0.14,0,-0.5982099
0.16,0,-0.6584277
0.18,0,-0.711884
0.2,0,-0.7672385
0.22,0,-0.8165708
0.24,0,-0.8615109
0.26,0,-0.9073967
0.28,0,-0.9569583
0.3,0,-0.9881186
0.32,0,-1.02455
0.34,0,-1.047393
0.36,0,-1.088429
0.38,0,-1.116328
0.4,0,-1.125201
0.42,0,-1.156079
0.44,0,-1.161879
0.46,0,-1.182963
0.48,0,-1.200853
0.5,0,-1.22097
0.52,0,-1.244711
0.54,0,-1.260595
0.56,0,-1.274253
0.58,0,-1.278814
0.6,0,-1.302772
0.62,0,-1.305858
0.64,0,-1.308093
0.66,0,-1.32452
0.68,0,-1.335339
0.7,0,-1.348773
0.72,0,-1.354456
0.74,0,-1.35856
0.76,0,-1.366809
0.78,0,-1.36861
0.8,0,-1.377065
0.82,0,-1.387102
0.84,0,-1.394489
0.86,0,-1.384493
0.88,0,-1.392526
0.9,0,-1.406367
0.92,0,-1.405113
0.94,0,-1.410347
0.96,0,-1.408572
0.98,0,-1.412114
1,0,-1.418124
1.02,0,-1.41547
1.04,0,-1.420257
1.06,0,-1.421975
1.08,0,-1.423784
1.1,0,-1.427448
1.12,0,-1.434386
1.14,0,-1.44025
1.16,0,-1.448006
1.18,0,-1.433616
1.2,0,-1.439692
1.22,0,-1.44261
1.24,0,-1.452204
1.26,0,-1.451301
1.28,0,-1.450907
1.3,0,-1.458082
1.32,0,-1.455284
1.34,0,-1.454558
1.36,0,-1.460014
1.38,0,-1.465307
1.4,0,-1.459702
1.42,0,-1.45439
1.44,0,-1.448913
1.46,0,-1.453964
1.48,0,-1.453153
1.5,0,-1.44867
1.52,0,-1.45062
1.54,0,-1.460202
1.56,0,-1.452132
1.58,0,-1.447366
1.6,0,-1.456045
1.62,0,-1.46921
1.64,0,-1.462359
1.66,0,-1.450752
1.68,0,-1.452024
1.7,0,-1.458859
1.72,0,-1.465567
1.74,0,-1.468884
1.76,0,-1.466985
1.78,0,-1.474655
1.8,0,-1.469183
1.82,0,-1.45652
1.84,0,-1.448241
1.86,0,-1.453391
1.88,0,-1.455801
1.9,0,-1.455702
1.92,0,-1.455633
1.94,0,-1.45379
1.96,0,-1.464453
1.98,0,-1.460863
2,0,-1.466862
2.02,10,-1.470751
2.04,10,-1.466524
2.06,10,-1.488131
2.08,10,-1.170255
2.1,10,-0.5286421
2.12,10,0.6245952
2.14,10,1.94856
2.16,10,2.746265
2.18,10,1.844961
2.2,10,1.00246
2.22,10,1.164416
2.24,10,1.670608
2.26,10,2.4838
2.28,10,3.121219
2.3,10,2.976882
2.32,10,2.73108
2.34,10,2.804119
2.36,10,2.587572
2.38,10,2.367046
2.4,10,2.255737
2.42,10,2.141252
2.44,10,1.949638
2.46,10,1.846138
2.48,10,1.881
2.5,10,1.854481
2.52,10,1.853923
2.54,10,1.850899
2.56,10,1.831508
2.58,10,1.829835
2.6,10,1.822769
2.62,10,1.81942
2.64,10,1.808133
2.66,10,1.801227
2.68,10,1.799645
2.7,10,1.798597
2.72,10,1.799483
2.74,10,1.783409
2.76,10,1.78934
2.78,10,1.781428
2.8,10,1.794429
2.82,10,1.781701
2.84,10,1.777987
2.86,10,1.803104
2.88,10,1.787628
2.9,10,1.793744
2.92,10,1.803501
2.94,10,1.786934
2.96,10,1.792615
2.98,10,1.778323
3,10,1.78016
3.02,10,1.774832
3.04,10,1.779635
3.06,10,1.784566
3.08,10,1.768817
3.1,10,1.779506
3.12,10,1.775608
3.14,10,1.768505
3.16,10,1.755832
3.18,10,1.759049
3.2,10,1.754569
3.22,10,1.750098
3.24,10,1.738213
3.26,10,1.736768
3.28,10,1.746219
3.3,10,1.746104
3.32,10,1.749595
3.34,10,1.739131
3.36,10,1.736935
3.38,10,1.736418
3.4,10,1.747051
3.42,10,1.748514
3.44,10,1.746435
3.46,10,1.748234
3.48,10,1.748197
3.5,10,1.752553
3.52,10,1.746464
3.54,10,1.751534
3.56,10,1.753356
3.58,10,1.755786
3.6,10,1.756504
3.62,10,1.757088
3.64,10,1.773968
3.66,10,1.781345
3.68,10,1.778197
3.7,10,1.770207
3.72,10,1.765864
3.74,10,1.767146
3.76,10,1.768431
3.78,10,1.780673
3.8,10,1.78536
3.82,10,1.786874
3.84,10,1.776374
3.86,10,1.767147
3.88,10,1.76924
3.9,10,1.767575
3.92,10,1.765206
3.94,10,1.769186
3.96,10,1.768206
3.98,10,1.779937
4,10,1.771474
4.02,20,1.758975
4.04,20,1.757884
4.06,20,1.888289
4.08,20,2.313079
4.1,20,3.343336
4.12,20,4.612521
4.14,20,5.879822
4.16,20,5.126829
4.18,20,4.298246
4.2,20,4.269603
4.22,20,4.57749
4.24,20,5.281343
4.26,20,5.951968
4.28,20,5.880089
4.3,20,5.678834
4.32,20,5.785584
4.34,20,5.745847
4.36,20,5.637188
4.38,20,5.499069
4.4,20,5.414031
4.42,20,5.287417
4.44,20,5.188049
4.46,20,5.140627
4.48,20,5.10032
4.5,20,5.108964
4.52,20,5.098402
4.54,20,5.095603
4.56,20,5.091997
4.58,20,5.094659
4.6,20,5.096786
4.62,20,5.083824
4.64,20,5.096447
4.66,20,5.078771
4.68,20,5.071389
4.7,20,5.074398
4.72,20,5.066747
4.74,20,5.065115
4.76,20,5.06246
4.78,20,5.061894
4.8,20,5.051003
4.82,20,5.053645
4.84,20,5.050239
4.86,20,5.039676
4.88,20,5.033613
4.9,20,5.018819
4.92,20,5.024042
4.94,20,5.029986
4.96,20,5.030177
4.98,20,5.024968
5,20,5.019788
5.02,20,5.016964
5.04,20,5.023007
5.06,20,5.029855
5.08,20,5.030689
5.1,20,5.027449
5.12,20,5.028071
5.14,20,5.023067
5.16,20,5.021885
5.18,20,5.02494
5.2,20,5.01531
5.22,20,5.017865
5.24,20,5.032182
5.26,20,5.027685
5.28,20,5.043037
5.3,20,5.04158
5.32,20,5.040412
5.34,20,5.054167
5.36,20,5.058061
5.38,20,5.048158
5.4,20,5.055481
5.42,20,5.058589
5.44,20,5.052806
5.46,20,5.05002
5.48,20,5.046679
5.5,20,5.047497
5.52,20,5.051898
5.54,20,5.055895
5.56,20,5.065878
5.58,20,5.059782
5.6,20,5.044574
5.62,20,5.04951
5.64,20,5.053439
5.66,20,5.06329
5.68,20,5.06095
5.7,20,5.067547
5.72,20,5.06216
5.74,20,5.06395
5.76,20,5.06275
5.78,20,5.055946
5.8,20,5.056876
5.82,20,5.048153
5.84,20,5.040876
5.86,20,5.033669
5.88,20,5.030326
5.9,20,5.029662
5.92,20,5.034246
5.94,20,5.039997
5.96,20,5.039473
5.98,20,5.037352
6,20,5.036895
6.02,30,5.020025
6.04,30,5.024694
6.06,30,5.050902
6.08,30,5.376789
6.1,30,6.132685
6.12,30,7.31049
6.14,30,8.732064
6.16,30,8.669243
6.18,30,7.790697
6.2,30,7.374182
6.22,30,7.99577
6.24,30,8.695661
6.26,30,9.101593
6.28,30,8.509152
6.3,30,8.001636
6.32,30,8.173283
6.34,30,8.390707
6.36,30,8.746166
6.38,30,8.577705
6.4,30,8.478513
6.42,30,8.621975
6.44,30,8.535452
6.46,30,8.515855
6.48,30,8.54776
6.5,30,8.521749
6.52,30,8.569263
6.54,30,8.559148
6.56,30,8.558591
6.58,30,8.574441
6.6,30,8.555013
6.62,30,8.565317
6.64,30,8.551408
6.66,30,8.553414
6.68,30,8.554983
6.7,30,8.544804
6.72,30,8.562309
6.74,30,8.548471
6.76,30,8.551915
6.78,30,8.541219
6.8,30,8.553253
6.82,30,8.554781
6.84,30,8.554261
6.86,30,8.552021
6.88,30,8.546348
6.9,30,8.553004
6.92,30,8.551991
6.94,30,8.562485
6.96,30,8.556688
6.98,30,8.546256
7,30,8.544436
7.02,30,8.542031
7.04,30,8.537505
7.06,30,8.527427
7.08,30,8.537871
7.1,30,8.531018
7.12,30,8.537378
7.14,30,8.528897
7.16,30,8.520158
7.18,30,8.510531
7.2,30,8.482054
7.22,30,8.47322
7.24,30,8.47936
7.26,30,8.479987
7.28,30,8.49435
7.3,30,8.491966
7.32,30,8.497905
7.34,30,8.502793
7.36,30,8.498905
7.38,30,8.50322
7.4,30,8.494253
7.42,30,8.490917
7.44,30,8.488007
7.46,30,8.490255
7.48,30,8.488688
7.5,30,8.492103
7.52,30,8.491969
7.54,30,8.480742
7.56,30,8.479942
7.58,30,8.472454
7.6,30,8.47742
7.62,30,8.485497
7.64,30,8.488556
7.66,30,8.489425
7.68,30,8.485133
7.7,30,8.481167
7.72,30,8.476339
7.74,30,8.485051
7.76,30,8.479362
7.78,30,8.471439
7.8,30,8.4729
7.82,30,8.470058
7.84,30,8.464998
7.86,30,8.462575
7.88,30,8.462463
7.9,30,8.450877
7.92,30,8.447572
7.94,30,8.451569
7.96,30,8.458283
7.98,30,8.454321
8,30,8.466184
8.02,20,8.46583
8.04,20,8.464481
8.06,20,8.151609
8.08,20,7.136921
8.1,20,6.266128
8.12,20,5.816269
8.14,20,5.839991
8.16,20,5.835325
8.18,20,5.36883
8.2,20,5.085297
8.22,20,5.10449
8.24,20,5.102013
8.26,20,4.996389
8.28,20,4.991761
8.3,20,4.999999
8.32,20,4.983578
8.34,20,5.020591
8.36,20,5.012668
8.38,20,5.043379
8.4,20,5.048011
8.42,20,5.050956
8.44,20,5.073568
8.46,20,5.079258
8.48,20,5.089461
8.5,20,5.090467
8.52,20,5.096289
8.54,20,5.101513
8.56,20,5.107961
8.58,20,5.127252
8.6,20,5.138488
8.62,20,5.141322
8.64,20,5.145147
8.66,20,5.149511
8.68,20,5.154214
8.7,20,5.162444
8.72,20,5.161483
8.74,20,5.163312
8.76,20,5.159462
8.78,20,5.145461
8.8,20,5.143453
8.82,20,5.15458
8.84,20,5.156458
8.86,20,5.152074
8.88,20,5.158501
8.9,20,5.158419
8.92,20,5.164338
8.94,20,5.163434
8.96,20,5.161039
8.98,20,5.164798
9,20,5.156792
9.02,20,5.155828
9.04,20,5.153776
9.06,20,5.154122
9.08,20,5.147241
9.1,20,5.149868
9.12,20,5.1476
9.14,20,5.138677
9.16,20,5.1414
9.18,20,5.151309
9.2,20,5.160776
9.22,20,5.15781
9.24,20,5.16484
9.26,20,5.164885
9.28,20,5.162314
9.3,20,5.158747
9.32,20,5.153706
9.34,20,5.15152
9.36,20,5.151513
9.38,20,5.147475
9.4,20,5.153095
9.42,20,5.159667
9.44,20,5.168031
9.46,20,5.155729
9.48,20,5.149633
9.5,20,5.142947
9.52,20,5.147859
9.54,20,5.156639
9.56,20,5.159374
9.58,20,5.16127
9.6,20,5.164721
9.62,20,5.163848
9.64,20,5.157192
9.66,20,5.168231
9.68,20,5.166757
9.7,20,5.157928
9.72,20,5.154339
9.74,20,5.154324
9.76,20,5.157828
9.78,20,5.169577
9.8,20,5.170716
9.82,20,5.171669
9.84,20,5.175283
9.86,20,5.175655
9.88,20,5.171573
9.9,20,5.17386
9.92,20,5.176177
9.94,20,5.171904
9.96,20,5.165431
9.98,20,5.162971
10,20,5.169822
10.02,10,5.173265
10.04,10,5.169213
10.06,10,5.045416
10.08,10,4.193125
10.1,10,3.268534
10.12,10,2.746347
10.14,10,2.61678
10.16,10,2.146725
10.18,10,1.671668
10.2,10,1.639496
10.22,10,1.886015
10.24,10,1.863828
10.26,10,1.730022
10.28,10,1.805528
10.3,10,1.741253
10.32,10,1.707633
10.34,10,1.785884
10.36,10,1.75409
10.38,10,1.803473
10.4,10,1.80954
10.42,10,1.82249
10.44,10,1.836701
10.46,10,1.817252
10.48,10,1.846518
10.5,10,1.826594
10.52,10,1.844505
10.54,10,1.848508
10.56,10,1.852794
10.58,10,1.86145
10.6,10,1.855165
10.62,10,1.875773
10.64,10,1.883049
10.66,10,1.883613
10.68,10,1.873033
10.7,10,1.871178
10.72,10,1.887996
10.74,10,1.894636
10.76,10,1.904056
10.78,10,1.899412
10.8,10,1.904428
10.82,10,1.901903
10.84,10,1.897229
10.86,10,1.903465
10.88,10,1.902235
10.9,10,1.901326
10.92,10,1.89844
10.94,10,1.901308
10.96,10,1.901499
10.98,10,1.900648
11,10,1.890949
11.02,10,1.896714
11.04,10,1.900285
11.06,10,1.901866
11.08,10,1.909024
11.1,10,1.918471
11.12,10,1.922513
11.14,10,1.91025
11.16,10,1.913225
11.18,10,1.917764
11.2,10,1.909816
11.22,10,1.901179
11.24,10,1.895056
11.26,10,1.898299
11.28,10,1.912439
11.3,10,1.910142
11.32,10,1.906818
11.34,10,1.904139
11.36,10,1.90689
11.38,10,1.907146
11.4,10,1.911761
11.42,10,1.913972
11.44,10,1.915236
11.46,10,1.916452
11.48,10,1.924102
11.5,10,1.928573
11.52,10,1.929038
11.54,10,1.929302
11.56,10,1.921733
11.58,10,1.920417
11.6,10,1.915561
11.62,10,1.916153
11.64,10,1.919466
11.66,10,1.9077
11.68,10,1.91181
11.7,10,1.917017
11.72,10,1.907895
11.74,10,1.910823
11.76,10,1.906032
11.78,10,1.896149
11.8,10,1.897226
11.82,10,1.894227
11.84,10,1.908499
11.86,10,1.914952
11.88,10,1.911976
11.9,10,1.90138
11.92,10,1.912498
11.94,10,1.911283
11.96,10,1.904245
11.98,10,1.896917
12,10,1.909008
12.02,0,1.920928
12.04,0,1.913191
12.06,0,1.920892
12.08,0,1.452269
12.1,0,0.4247929
12.12,0,-0.3200198
12.14,0,-0.6801728
12.16,0,-1.060294
12.18,0,-1.48846
12.2,0,-1.611003
12.22,0,-1.424052
12.24,0,-1.52664
12.26,0,-1.573686
12.28,0,-1.509802
12.3,0,-1.568268
12.32,0,-1.553369
12.34,0,-1.530732
12.36,0,-1.532161
12.38,0,-1.485856
12.4,0,-1.493942
12.42,0,-1.448577
12.44,0,-1.426879
12.46,0,-1.412646
12.48,0,-1.386295
12.5,0,-1.415099
12.52,0,-1.404197
12.54,0,-1.404258
12.56,0,-1.40051
12.58,0,-1.390167
12.6,0,-1.383624
12.62,0,-1.386004
12.64,0,-1.384041
12.66,0,-1.361692
12.68,0,-1.353739
12.7,0,-1.339942
12.72,0,-1.348117
12.74,0,-1.349589
12.76,0,-1.353181
12.78,0,-1.34832
12.8,0,-1.339468
12.82,0,-1.330194
12.84,0,-1.321776
12.86,0,-1.320246
12.88,0,-1.308462
12.9,0,-1.299468
12.92,0,-1.299463
12.94,0,-1.298151
12.96,0,-1.311182
12.98,0,-1.303213
13,0,-1.30533
13.02,0,-1.298618
13.04,0,-1.29262
13.06,0,-1.281185
13.08,0,-1.284942
13.1,0,-1.282816
13.12,0,-1.276812
13.14,0,-1.278706
13.16,0,-1.283167
13.18,0,-1.28431
13.2,0,-1.279051
13.22,0,-1.26712
13.24,0,-1.262179
13.26,0,-1.272151
13.28,0,-1.27265
13.3,0,-1.264962
13.32,0,-1.263961
13.34,0,-1.265029
13.36,0,-1.269642
13.38,0,-1.270406
13.4,0,-1.261495
13.42,0,-1.263836
13.44,0,-1.258833
13.46,0,-1.264054
13.48,0,-1.274211
13.5,0,-1.274309
13.52,0,-1.274662
13.54,0,-1.270066
13.56,0,-1.269554
13.58,0,-1.272588
13.6,0,-1.27017
13.62,0,-1.260941
13.64,0,-1.265985
13.66,0,-1.270132
13.68,0,-1.269975
13.7,0,-1.269531
13.72,0,-1.269014
13.74,0,-1.263027
13.76,0,-1.26484
13.78,0,-1.266481
13.8,0,-1.271518
13.82,0,-1.276181
13.84,0,-1.281407
13.86,0,-1.283868
13.88,0,-1.285007
13.9,0,-1.293147
13.92,0,-1.290778
13.94,0,-1.280362
13.96,0,-1.284994
13.98,0,-1.289516
14,0,-1.285277
14.02,-10,-1.289304
14.04,-10,-1.266756
14.06,-10,-1.411163
14.08,-10,-2.329436
14.1,-10,-3.254194
14.12,-10,-3.801702
14.14,-10,-4.011204
14.16,-10,-4.445165
14.18,-10,-4.717697
14.2,-10,-4.767563
14.22,-10,-4.813022
14.24,-10,-4.835589
14.26,-10,-4.844012
14.28,-10,-4.846162
14.3,-10,-4.842974
14.32,-10,-4.878169
14.34,-10,-4.835648
14.36,-10,-4.839069
14.38,-10,-4.833186
14.4,-10,-4.81024
14.42,-10,-4.809782
14.44,-10,-4.79897
14.46,-10,-4.79822
14.48,-10,-4.782673
14.5,-10,-4.778177
14.52,-10,-4.781462
14.54,-10,-4.766493
14.56,-10,-4.76621
14.58,-10,-4.753432
14.6,-10,-4.746441
14.62,-10,-4.742389
14.64,-10,-4.721004
14.66,-10,-4.720966
14.68,-10,-4.713196
14.7,-10,-4.711752
14.72,-10,-4.708716
14.74,-10,-4.704412
14.76,-10,-4.70303
14.78,-10,-4.706256
14.8,-10,-4.699339
14.82,-10,-4.695935
14.84,-10,-4.69617
14.86,-10,-4.681604
14.88,-10,-4.683307
14.9,-10,-4.676733
14.92,-10,-4.668973
14.94,-10,-4.66858
14.96,-10,-4.665301
14.98,-10,-4.665745
15,-10,-4.668663
15.02,-10,-4.666685
15.04,-10,-4.667641
15.06,-10,-4.665019
15.08,-10,-4.663178
15.1,-10,-4.662537
15.12,-10,-4.664727
15.14,-10,-4.664297
15.16,-10,-4.672948
15.18,-10,-4.678809
15.2,-10,-4.682616
15.22,-10,-4.68318
15.24,-10,-4.68164
15.26,-10,-4.68811
15.28,-10,-4.695635
15.3,-10,-4.655273
15.32,-10,-4.663733
15.34,-10,-4.671011
15.36,-10,-4.650704
15.38,-10,-4.684335
15.4,-10,-4.66711
15.42,-10,-4.685637
15.44,-10,-4.680661
15.46,-10,-4.671007
15.48,-10,-4.686213
15.5,-10,-4.666456
15.52,-10,-4.67386
15.54,-10,-4.66918
15.56,-10,-4.666975
15.58,-10,-4.667177
15.6,-10,-4.66427
15.62,-10,-4.679026
15.64,-10,-4.667828
15.66,-10,-4.673042
15.68,-10,-4.662879
15.7,-10,-4.664725
15.72,-10,-4.673371
15.74,-10,-4.666176
15.76,-10,-4.675367
15.78,-10,-4.672645
15.8,-10,-4.66989
15.82,-10,-4.669641
15.84,-10,-4.668985
15.86,-10,-4.665627
15.88,-10,-4.671525
15.9,-10,-4.675668
15.92,-10,-4.668529
15.94,-10,-4.670585
15.96,-10,-4.676173
15.98,-10,-4.67874
16,-10,-4.673802
16.02,-20,-4.662218
16.04,-20,-4.664309
16.06,-20,-4.627746
16.08,-20,-5.186258
16.1,-20,-6.183088
16.12,-20,-6.825519
16.14,-20,-7.214062
16.16,-20,-7.643203
16.18,-20,-8.083659
16.2,-20,-8.184851
16.22,-20,-8.034069
16.24,-20,-8.068316
16.26,-20,-8.165736
16.28,-20,-8.122977
16.3,-20,-8.144558
16.32,-20,-8.187402
16.34,-20,-8.145056
16.36,-20,-8.11311
16.38,-20,-8.108768
16.4,-20,-8.073442
16.42,-20,-8.071693
16.44,-20,-8.064233
16.46,-20,-8.05167
16.48,-20,-8.048202
16.5,-20,-8.023186
16.52,-20,-8.006777
16.54,-20,-7.999032
16.56,-20,-7.993428
16.58,-20,-7.989769
16.6,-20,-7.986076
16.62,-20,-7.978291
16.64,-20,-7.972185
16.66,-20,-7.956907
16.68,-20,-7.956623
16.7,-20,-7.955846
16.72,-20,-7.953103
16.74,-20,-7.948314
16.76,-20,-7.949497
16.78,-20,-7.956069
16.8,-20,-7.945809
16.82,-20,-7.932854
16.84,-20,-7.939543
16.86,-20,-7.932919
16.88,-20,-7.929784
16.9,-20,-7.921874
16.92,-20,-7.927365
16.94,-20,-7.931842
16.96,-20,-7.866765
16.98,-20,-7.874884
17,-20,-7.90618
17.02,-20,-7.87459
17.04,-20,-7.894916
17.06,-20,-7.880048
17.08,-20,-7.857863
17.1,-20,-7.888194
17.12,-20,-7.870328
17.14,-20,-7.870259
17.16,-20,-7.890743
17.18,-20,-7.875418
17.2,-20,-7.877062
17.22,-20,-7.878403
17.24,-20,-7.872941
17.26,-20,-7.872361
17.28,-20,-7.868321
17.3,-20,-7.865974
17.32,-20,-7.872559
17.34,-20,-7.867015
17.36,-20,-7.868704
17.38,-20,-7.871714
17.4,-20,-7.870892
17.42,-20,-7.864164
17.44,-20,-7.854536
17.46,-20,-7.86548
17.48,-20,-7.869143
17.5,-20,-7.859229
17.52,-20,-7.85925
17.54,-20,-7.86376
17.56,-20,-7.87138
17.58,-20,-7.869769
17.6,-20,-7.880823
17.62,-20,-7.87861
17.64,-20,-7.883635
17.66,-20,-7.885065
17.68,-20,-7.884202
17.7,-20,-7.879274
17.72,-20,-7.881911
17.74,-20,-7.867396
17.76,-20,-7.8691
17.78,-20,-7.866821
17.8,-20,-7.867753
17.82,-20,-7.882017
17.84,-20,-7.882161
17.86,-20,-7.885353
17.88,-20,-7.879694
17.9,-20,-7.874148
17.92,-20,-7.878909
17.94,-20,-7.865434
17.96,-20,-7.869517
17.98,-20,-7.876837
18,-20,-7.881072
18.02,-30,-7.882737
18.04,-30,-7.866002
18.06,-30,-8.202016
18.08,-30,-9.095731
18.1,-30,-9.842015
18.12,-30,-10.28314
18.14,-30,-10.62768
18.16,-30,-11.1072
18.18,-30,-11.33924
18.2,-30,-11.36133
18.22,-30,-11.35704
18.24,-30,-11.44528
18.26,-30,-11.46068
18.28,-30,-11.45783
18.3,-30,-11.47643
18.32,-30,-11.4629
18.34,-30,-11.42952
18.36,-30,-11.4502
18.38,-30,-11.43003
18.4,-30,-11.40582
18.42,-30,-11.40772
18.44,-30,-11.37525
18.46,-30,-11.38801
18.48,-30,-11.37109
18.5,-30,-11.36867
18.52,-30,-11.37693
18.54,-30,-11.36268
18.56,-30,-11.35605
18.58,-30,-11.34589
18.6,-30,-11.34231
18.62,-30,-11.3494
18.64,-30,-11.33015
18.66,-30,-11.32282
18.68,-30,-11.3271
18.7,-30,-11.32607
18.72,-30,-11.32131
18.74,-30,-11.30453
18.76,-30,-11.31259
18.78,-30,-11.31212
18.8,-30,-11.29968
18.82,-30,-11.30058
18.84,-30,-11.29989
18.86,-30,-11.29587
18.88,-30,-11.29784
18.9,-30,-11.29156
18.92,-30,-11.29518
18.94,-30,-11.29
18.96,-30,-11.28609
18.98,-30,-11.27771
19,-30,-11.2775
19.02,-30,-11.28154
19.04,-30,-11.28038
19.06,-30,-11.27354
19.08,-30,-11.2856
19.1,-30,-11.28387
19.12,-30,-11.28162
19.14,-30,-11.28102
19.16,-30,-11.28052
19.18,-30,-11.29732
19.2,-30,-11.29841
19.22,-30,-11.30231
19.24,-30,-11.30312
19.26,-30,-11.30865
19.28,-30,-11.30952
19.3,-30,-11.3035
19.32,-30,-11.29955
19.34,-30,-11.29116
19.36,-30,-11.296
19.38,-30,-11.29507
19.4,-30,-11.2988
19.42,-30,-11.30364
19.44,-30,-11.2972
19.46,-30,-11.29083
19.48,-30,-11.28605
19.5,-30,-11.27476
19.52,-30,-11.27945
19.54,-30,-11.27954
19.56,-30,-11.27453
19.58,-30,-11.27088
19.6,-30,-11.26579
19.62,-30,-11.26767
19.64,-30,-11.26597
19.66,-30,-11.26961
19.68,-30,-11.27376
19.7,-30,-11.27916
19.72,-30,-11.28075
19.74,-30,-11.27551
19.76,-30,-11.27054
19.78,-30,-11.26585
19.8,-30,-11.26357
19.82,-30,-11.25661
19.84,-30,-11.26505
19.86,-30,-11.27177
19.88,-30,-11.27211
19.9,-30,-11.27223
19.92,-30,-11.27959
19.94,-30,-11.28309
19.96,-30,-11.28099
19.98,-30,-11.28673
20,-30,-11.28182
20.02,-20,-11.28125
20.04,-20,-11.28686
20.06,-20,-11.25715
20.08,-20,-10.90536
20.1,-20,-10.20171
20.12,-20,-9.25775
20.14,-20,-8.015594
20.16,-20,-7.51757
20.18,-20,-8.248664
20.2,-20,-8.723986
20.22,-20,-8.637771
20.24,-20,-8.126694
20.26,-20,-7.392903
20.28,-20,-7.07723
20.3,-20,-7.675552
20.32,-20,-8.0654
20.34,-20,-7.992332
20.36,-20,-7.740538
20.38,-20,-7.364557
20.4,-20,-7.360208
20.42,-20,-7.571941
20.44,-20,-7.609734
20.46,-20,-7.666686
20.48,-20,-7.796885
20.5,-20,-7.837663
20.52,-20,-7.902775
20.54,-20,-8.011478
20.56,-20,-7.943329
20.58,-20,-7.91182
20.6,-20,-7.947223
20.62,-20,-7.925024
20.64,-20,-7.935077
20.66,-20,-7.935055
20.68,-20,-7.921459
20.7,-20,-7.94224
20.72,-20,-7.930805
20.74,-20,-7.938352
20.76,-20,-7.936594
20.78,-20,-7.937777
20.8,-20,-7.951153
20.82,-20,-7.939609
20.84,-20,-7.929038
20.86,-20,-7.937736
20.88,-20,-7.928842
20.9,-20,-7.930855
20.92,-20,-7.922449
20.94,-20,-7.9361
20.96,-20,-7.943894
20.98,-20,-7.941626
21,-20,-7.951695
21.02,-20,-7.94926
21.04,-20,-7.945385
21.06,-20,-7.940304
21.08,-20,-7.937493
21.1,-20,-7.94672
21.12,-20,-7.935006
21.14,-20,-7.934554
21.16,-20,-7.933668
21.18,-20,-7.923321
21.2,-20,-7.921824
21.22,-20,-7.925336
21.24,-20,-7.930017
21.26,-20,-7.926016
21.28,-20,-7.925929
21.3,-20,-7.926977
21.32,-20,-7.925182
21.34,-20,-7.921607
21.36,-20,-7.92992
21.38,-20,-7.931976
21.4,-20,-7.923745
21.42,-20,-7.921005
21.44,-20,-7.933534
21.46,-20,-7.937706
21.48,-20,-7.945891
21.5,-20,-7.936051
21.52,-20,-7.938608
21.54,-20,-7.935241
21.56,-20,-7.932328
21.58,-20,-7.945413
21.6,-20,-7.943902
21.62,-20,-7.932287
21.64,-20,-7.936176
21.66,-20,-7.941602
21.68,-20,-7.942799
21.7,-20,-7.933873
21.72,-20,-7.943851
21.74,-20,-7.948554
21.76,-20,-7.948594
21.78,-20,-7.946284
21.8,-20,-7.937728
21.82,-20,-7.928843
21.84,-20,-7.925416
21.86,-20,-7.926428
21.88,-20,-7.921914
21.9,-20,-7.923295
21.92,-20,-7.923796
21.94,-20,-7.918127
21.96,-20,-7.926382
21.98,-20,-7.926235
22,-20,-7.937464
22.02,-10,-7.933622
22.04,-10,-7.943896
22.06,-10,-7.779816
22.08,-10,-7.279098
22.1,-10,-6.371558
22.12,-10,-5.202794
