Tiempo,Control,Plataforma
5.58,20,4.786732
5.6,20,4.795729
5.62,20,4.807785
5.64,20,4.817492
5.66,20,4.818648
5.68,20,4.822036
5.7,20,4.809987
5.72,20,4.802627
5.74,20,4.800988
5.76,20,4.807768
5.78,20,4.80508
5.8,20,4.816161
5.82,20,4.824296
5.84,20,4.833919
5.86,20,4.823417
5.88,20,4.838612
5.9,20,4.814241
5.92,20,4.791609
5.94,20,4.78097
5.96,20,4.773339
5.98,20,4.795069
6,20,4.804674
6.02,30,4.804707
6.04,30,4.813991
6.06,30,4.884737
6.08,30,5.6127
6.1,30,6.288661
6.12,30,6.82203
6.14,30,7.239359
6.16,30,7.605796
6.18,30,7.921734
6.2,30,8.026755
6.22,30,8.113739
6.24,30,8.154176
6.26,30,8.142088
6.28,30,8.128098
6.3,30,8.113025
6.32,30,8.090791
6.34,30,8.054369
6.36,30,8.042457
6.38,30,8.034572
6.4,30,8.01174
6.42,30,8.003036
6.44,30,8.003967
6.46,30,8.006725
6.48,30,8.003947
6.5,30,7.985588
6.52,30,7.966595
6.54,30,7.949017
6.56,30,7.940593
6.58,30,7.949295
6.6,30,7.952133
6.62,30,7.965343
6.64,30,7.97124
6.66,30,7.970809
6.68,30,7.97768
6.7,30,7.961791
6.72,30,7.941663
6.74,30,7.923381
6.76,30,7.925502
6.78,30,7.930858
6.8,30,7.936558
6.82,30,7.946827
6.84,30,7.958721
6.86,30,7.969348
6.88,30,7.976006
6.9,30,7.959771
6.92,30,7.943254
6.94,30,7.930655
6.96,30,7.921525
6.98,30,7.917397
7,30,7.927881
7.02,30,7.946139
7.04,30,7.954658
7.06,30,7.948054
7.08,30,7.932333
7.1,30,7.925652
7.12,30,7.914209
7.14,30,7.905797
7.16,30,7.908217
7.18,30,7.908007
7.2,30,7.915161
7.22,30,7.920197
7.24,30,7.920103
7.26,30,7.928089
7.28,30,7.924976
7.3,30,7.897589
7.32,30,7.884691
7.34,30,7.88903
7.36,30,7.896187
7.38,30,7.908196
7.4,30,7.923584
7.42,30,7.934906
7.44,30,7.919801
7.46,30,7.896162
7.48,30,7.870136
7.5,30,7.876311
7.52,30,7.892385
7.54,30,7.909691
7.56,30,7.927787
7.58,30,7.929771
7.6,30,7.936131
7.62,30,7.934128
7.64,30,7.924837
7.66,30,7.896004
7.68,30,7.879303
7.7,30,7.878691
7.72,30,7.895963
7.74,30,7.906405
7.76,30,7.925987
7.78,30,7.926933
7.8,30,7.92441
7.82,30,7.915855
7.84,30,7.904713
7.86,30,7.903814
7.88,30,7.89679
7.9,30,7.903411
7.92,30,7.917897
7.94,30,7.923478
7.96,30,7.92154
7.98,30,7.918999
8,30,7.911356
8.02,20,7.902966
8.04,20,7.872688
8.06,20,7.555923
8.08,20,6.867888
8.1,20,6.202329
8.12,20,5.691875
8.14,20,5.194772
8.16,20,4.967525
8.18,20,4.970153
8.2,20,4.931463
8.22,20,4.91937
8.24,20,4.973564
8.26,20,4.978515
8.28,20,5.02241
8.3,20,5.050654
8.32,20,5.079681
8.34,20,5.095925
8.36,20,5.1032
8.38,20,5.106734
8.4,20,5.119688
8.42,20,5.125475
8.44,20,5.136796
8.46,20,5.140669
8.48,20,5.151788
8.5,20,5.157647
8.52,20,5.171319
8.54,20,5.181177
8.56,20,5.18382
8.58,20,5.192759
8.6,20,5.19877
8.62,20,5.204476
8.64,20,5.218897
8.66,20,5.227489
8.68,20,5.235648
8.7,20,5.256241
8.72,20,5.264981
8.74,20,5.254854
8.76,20,5.235788
8.78,20,5.216785
8.8,20,5.217011
8.82,20,5.229941
8.84,20,5.236488
8.86,20,5.24296
8.88,20,5.248481
8.9,20,5.264438
8.92,20,5.267674
8.94,20,5.265441
8.96,20,5.266565
8.98,20,5.247286
9,20,5.248703
9.02,20,5.255141
9.04,20,5.267528
9.06,20,5.278031
9.08,20,5.290873
9.1,20,5.293138
9.12,20,5.303036
9.14,20,5.295012
9.16,20,5.272354
9.18,20,5.259537
9.2,20,5.263276
9.22,20,5.256435
9.24,20,5.26746
9.26,20,5.277757
9.28,20,5.286295
9.3,20,5.289751
9.32,20,5.275445
9.34,20,5.266343
9.36,20,5.259272
9.38,20,5.251646
9.4,20,5.254615
9.42,20,5.269954
9.44,20,5.291318
9.46,20,5.295177
9.48,20,5.3021
9.5,20,5.314043
9.52,20,5.312174
9.54,20,5.29352
