Tiempo,Control,Plataforma
0,0,-0.1048456
0.02,0,-0.2073355
0.04,0,-0.2906637
0.06,0,-0.3660753
0.08,0,-0.4513813
0.1,0,-0.5234486
0.12,0,-0.5963649
0.14,0,-0.6515731
0.16,0,-0.7007979
0.18,0,-0.7526231
0.2,0,-0.7997456
0.22,0,-0.851742
0.24,0,-0.8954999
0.26,0,-0.939679
0.28,0,-0.9740156
0.3,0,-0.9991683
0.32,0,-1.026439
0.34,0,-1.060665
0.36,0,-1.085439
0.38,0,-1.108145
0.4,0,-1.131927
0.42,0,-1.154879
0.44,0,-1.178791
0.46,0,-1.202544
0.48,0,-1.220546
0.5,0,-1.232366
0.52,0,-1.253778
0.54,0,-1.26352
0.56,0,-1.277111
0.58,0,-1.277051
0.6,0,-1.297826
0.62,0,-1.306879
0.64,0,-1.316369
0.66,0,-1.314729
0.68,0,-1.331257
0.7,0,-1.345803
0.72,0,-1.356312
0.74,0,-1.355637
0.76,0,-1.367337
0.78,0,-1.369362
0.8,0,-1.374496
0.82,0,-1.373438
0.84,0,-1.378293
0.86,0,-1.38166
0.88,0,-1.378066
0.9,0,-1.37383
0.92,0,-1.38538
0.94,0,-1.39504
0.96,0,-1.402083
0.98,0,-1.398296
1,0,-1.397892
1.02,0,-1.403546
1.04,0,-1.412261
1.06,0,-1.418816
1.08,0,-1.435629
1.1,0,-1.434028
1.12,0,-1.444193
1.14,0,-1.441782
1.16,0,-1.437472
1.18,0,-1.447168
1.2,0,-1.447157
1.22,0,-1.449312
1.24,0,-1.45171
1.26,0,-1.453401
1.28,0,-1.448211
1.3,0,-1.459499
1.32,0,-1.456338
1.34,0,-1.454203
1.36,0,-1.440252
1.38,0,-1.436662
1.4,0,-1.443527
1.42,0,-1.454852
1.44,0,-1.451076
1.46,0,-1.447726
1.48,0,-1.449759
1.5,0,-1.445225
1.52,0,-1.44494
1.54,0,-1.426072
1.56,0,-1.423914
1.58,0,-1.421451
1.6,0,-1.430041
1.62,0,-1.432187
1.64,0,-1.440919
1.66,0,-1.446318
1.68,0,-1.443698
1.7,0,-1.44691
1.72,0,-1.456635
1.74,0,-1.457565
1.76,0,-1.458102
1.78,0,-1.453761
1.8,0,-1.459731
1.82,0,-1.469401
1.84,0,-1.46218
1.86,0,-1.462317
1.88,0,-1.463895
1.9,0,-1.462532
1.92,0,-1.44919
1.94,0,-1.447024
1.96,0,-1.444137
1.98,0,-1.450139
2,0,-1.450163
2.02,10,-1.451967
2.04,10,-1.455009
2.06,10,-1.465925
2.08,10,-0.6277711
2.1,10,-0.02868171
2.12,10,0.6482474
2.14,10,1.150322
2.16,10,1.496387
2.18,10,1.689945
2.2,10,1.785285
2.22,10,1.844949
2.24,10,1.824119
2.26,10,1.833487
2.28,10,1.834966
2.3,10,1.79115
2.32,10,1.787201
2.34,10,1.80902
2.36,10,1.802929
2.38,10,1.807262
2.4,10,1.795973
2.42,10,1.776336
2.44,10,1.770373
2.46,10,1.767677
2.48,10,1.767157
2.5,10,1.759492
2.52,10,1.757745
2.54,10,1.752946
2.56,10,1.749544
2.58,10,1.755576
2.6,10,1.74394
2.62,10,1.727728
2.64,10,1.725627
2.66,10,1.726114
2.68,10,1.727082
2.7,10,1.735027
2.72,10,1.738473
2.74,10,1.733505
2.76,10,1.729903
2.78,10,1.717113
2.8,10,1.712767
2.82,10,1.701091
2.84,10,1.69684
2.86,10,1.692622
2.88,10,1.683705
2.9,10,1.678509
2.92,10,1.692395
2.94,10,1.698844
2.96,10,1.697768
2.98,10,1.695392
3,10,1.695096
3.02,10,1.695443
3.04,10,1.701809
3.06,10,1.69249
3.08,10,1.692512
3.1,10,1.696312
3.12,10,1.696519
3.14,10,1.693812
3.16,10,1.698229
3.18,10,1.692686
3.2,10,1.695784
3.22,10,1.690655
3.24,10,1.686092
3.26,10,1.680161
3.28,10,1.679368
3.3,10,1.667029
3.32,10,1.669106
3.34,10,1.674697
3.36,10,1.672964
3.38,10,1.675301
3.4,10,1.686757
3.42,10,1.687476
3.44,10,1.688158
3.46,10,1.680606
3.48,10,1.679948
3.5,10,1.674748
3.52,10,1.681209
3.54,10,1.689455
3.56,10,1.688928
3.58,10,1.68216
3.6,10,1.68809
3.62,10,1.685343
3.64,10,1.700368
3.66,10,1.800719
3.68,10,1.799412
3.7,10,1.796322
3.72,10,1.807914
3.74,10,1.793935
3.76,10,1.793932
3.78,10,1.793017
3.8,10,1.790875
3.82,10,1.797656
3.84,10,1.7886
3.86,10,1.784637
3.88,10,1.779858
3.9,10,1.782619
3.92,10,1.778839
3.94,10,1.781714
3.96,10,1.786169
3.98,10,1.789335
4,10,1.787145
4.02,20,1.790311
4.04,20,1.806532
4.06,20,2.102715
4.08,20,2.846617
4.1,20,3.42198
4.12,20,3.917336
4.14,20,4.341031
4.16,20,4.589988
4.18,20,4.789232
4.2,20,4.963096
4.22,20,4.964866
4.24,20,5.014317
4.26,20,5.009356
4.28,20,5.019317
4.3,20,5.009257
4.32,20,4.992975
4.34,20,4.998396
4.36,20,4.996046
4.38,20,4.96723
4.4,20,4.964831
4.42,20,4.971421
4.44,20,4.968782
4.46,20,4.963271
4.48,20,4.94731
4.5,20,4.943639
4.52,20,4.938391
4.54,20,4.933794
4.56,20,4.929778
4.58,20,4.937288
4.6,20,4.918678
4.62,20,4.915529
4.64,20,4.896568
4.66,20,4.89978
4.68,20,4.910649
4.7,20,4.904925
4.72,20,4.902467
4.74,20,4.894092
4.76,20,4.896951
4.78,20,4.897644
4.8,20,4.904326
4.82,20,4.898785
4.84,20,4.901684
4.86,20,4.894743
