Tiempo,ControlPWM,Plataforma,Posicion,Error
0,0,-0.4986167,12.02783,-12.02783
0.02,0,-0.9750412,12.02783,-12.02783
0.04,0,-1.410305,12.02783,-12.02783
0.06,0,-1.638763,12.02783,-12.02783
0.08,0,-1.725958,12.02783,-12.02783
0.1,0,-0.4341944,13.30995,-13.30995
0.12,0,0.4256416,12.02783,-12.02783
0.14,0,1.292669,12.02783,-12.02783
0.16,0,1.833596,13.30995,-13.30995
0.18,0,2.283781,13.30995,-13.30995
0.2,0,2.508679,12.36523,-12.36523
0.22,0,2.242648,13.71483,-13.71483
0.24,0,2.067046,12.70263,-12.70263
0.26,0,1.90043,12.70263,-12.70263
0.28,0,1.665938,13.71483,-13.71483
0.3,0,1.535169,13.64735,-13.64735
0.32,0,1.306588,13.64735,-13.64735
0.34,0,1.162078,12.36523,-12.36523
0.36,0,0.9957138,12.16279,-12.16279
0.38,0,0.9374754,11.96035,-11.96035
0.4,0,0.8054032,12.02783,-12.02783
0.42,0,0.6892642,12.02783,-12.02783
0.44,0,0.568675,13.30995,-13.30995
0.46,0,0.4821979,12.02783,-12.02783
0.48,0,0.3676403,12.02783,-12.02783
0.5,0,0.2515796,12.09531,-12.09531
0.52,0,0.1618249,12.02783,-12.02783
0.54,0,0.06401946,12.02783,-12.02783
0.56,0,-0.01489246,12.02783,-12.02783
0.58,0,-0.09224842,12.09531,-12.09531
0.6,0,-0.1715403,12.02783,-12.02783
0.62,0,-0.2356363,12.02783,-12.02783
0.64,0,-0.3019202,12.02783,-12.02783
0.66,0,-0.3713957,12.02783,-12.02783
0.68,0,-0.4264299,13.37743,-13.37743
0.7,0,-0.4885785,13.57987,-13.57987
0.72,0,-0.533119,12.63515,-12.63515
0.74,0,-0.571871,15.25,-15.25
0.76,0,-0.5121846,15.25,-15.25
0.78,0,-0.5017171,15.25,-15.25
0.8,0,-0.5905795,15.25,-15.25
0.82,0,-0.5863215,15.25,-15.25
0.84,0,-0.638393,15.25,-15.25
0.86,0,-0.6402164,15.25,-15.25
