Tiempo,ControlPWM,Plataforma,Posicion,Error
0,1419.63,0.07156096,1.16379,-1.16379
0.02,1419.63,0.1359411,1.16379,-1.16379
0.04,1419.63,0.2000408,1.16379,-1.16379
0.06,1422.666,0.2636968,1.09631,-1.09631
0.08,1419.63,0.3173345,1.16379,-1.16379
0.1,1419.63,0.3666132,1.16379,-1.16379
0.12,1419.63,0.4089498,1.16379,-1.16379
0.14,1419.63,0.4549901,1.16379,-1.16379
0.16,1422.666,0.500959,1.09631,-1.09631
0.18,1419.63,0.5470138,1.16379,-1.16379
0.2,1419.63,0.5818385,1.16379,-1.16379
0.22,1422.666,0.6137332,1.09631,-1.09631
0.24,1419.63,0.6426265,1.16379,-1.16379
0.26,1422.666,0.6767874,1.09631,-1.09631
0.28,1419.63,0.7107743,1.16379,-1.16379
0.3,1419.63,0.7217271,1.16379,-1.16379
0.32,1419.63,0.7361709,1.16379,-1.16379
0.34,1419.63,0.7547574,1.16379,-1.16379
0.36,1425.703,0.7755706,1.02883,-1.02883
0.38,1419.63,0.7963149,1.16379,-1.16379
0.4,1422.666,0.8239001,1.09631,-1.09631
0.42,1419.63,0.8562714,1.16379,-1.16379
0.44,1419.63,0.879742,1.16379,-1.16379
0.46,1419.63,0.888926,1.16379,-1.16379
0.48,1422.666,0.9005564,1.09631,-1.09631
0.5,1422.666,0.916076,1.09631,-1.09631
0.52,1419.63,0.9312772,1.16379,-1.16379
0.54,1422.666,0.939532,1.09631,-1.09631
0.56,1419.63,0.9503099,1.16379,-1.16379
0.58,1419.63,0.9550749,1.16379,-1.16379
0.6,1422.666,0.9686393,1.09631,-1.09631
0.62,1419.63,0.9752366,1.16379,-1.16379
0.64,1419.63,0.9825968,1.16379,-1.16379
0.66,1422.666,0.9863492,1.09631,-1.09631
0.68,1419.63,0.9853038,1.16379,-1.16379
0.7,1422.666,0.9895872,1.09631,-1.09631
0.72,1419.63,1.002912,1.16379,-1.16379
0.74,1419.63,1.009002,1.16379,-1.16379
0.76,1422.666,1.00954,1.09631,-1.09631
0.78,1419.63,1.001556,1.16379,-1.16379
0.8,1422.666,1.009545,1.09631,-1.09631
0.82,1425.703,1.010269,1.02883,-1.02883
0.84,1422.666,1.014682,1.09631,-1.09631
0.86,1419.63,1.027287,1.16379,-1.16379
0.88,1419.63,1.031438,1.16379,-1.16379
0.9,1422.666,1.039554,1.09631,-1.09631
0.92,1425.703,1.041408,1.02883,-1.02883
0.94,1419.63,1.041515,1.16379,-1.16379
0.96,1419.63,1.028874,1.16379,-1.16379
0.98,1419.63,1.044345,1.16379,-1.16379
1,1419.63,1.052591,1.16379,-1.16379
1.02,1422.666,1.051811,1.09631,-1.09631
1.04,1419.63,1.047992,1.16379,-1.16379
1.06,1422.666,1.042957,1.09631,-1.09631
1.08,1419.63,1.049919,1.16379,-1.16379
1.1,1419.63,1.039009,1.16379,-1.16379
1.12,1419.63,1.051996,1.16379,-1.16379
1.14,1419.63,1.049885,1.16379,-1.16379
1.16,1422.666,1.055487,1.09631,-1.09631
1.18,1422.666,1.054114,1.09631,-1.09631
1.2,1419.63,1.059763,1.16379,-1.16379
1.22,1422.666,1.051018,1.09631,-1.09631
1.24,1419.63,1.04357,1.16379,-1.16379
1.26,1422.666,1.04336,1.09631,-1.09631
1.28,1419.63,1.044347,1.16379,-1.16379
1.3,1422.666,1.043112,1.09631,-1.09631
1.32,1419.63,1.042979,1.16379,-1.16379
1.34,1419.63,1.029736,1.16379,-1.16379
1.36,1422.666,1.036561,1.09631,-1.09631
1.38,1419.63,1.044046,1.16379,-1.16379
1.4,1419.63,1.043561,1.16379,-1.16379
1.42,1419.63,1.054262,1.16379,-1.16379
1.44,1419.63,1.056451,1.16379,-1.16379
1.46,1422.666,1.067639,1.09631,-1.09631
1.48,1422.666,1.075116,1.09631,-1.09631
1.5,1419.63,1.082112,1.16379,-1.16379
1.52,1422.666,1.083728,1.09631,-1.09631
1.54,1419.63,1.075221,1.16379,-1.16379
1.56,1425.703,1.070761,1.02883,-1.02883
1.58,1419.63,1.061441,1.16379,-1.16379
1.6,1422.666,1.062306,1.09631,-1.09631
1.62,1422.666,1.059854,1.09631,-1.09631
1.64,1422.666,1.064085,1.09631,-1.09631
1.66,1422.666,1.062886,1.09631,-1.09631
1.68,1419.63,1.04952,1.16379,-1.16379
1.7,1419.63,1.04012,1.16379,-1.16379
1.72,1419.63,1.034886,1.16379,-1.16379
1.74,1419.63,1.037502,1.16379,-1.16379
1.76,1419.63,1.032437,1.16379,-1.16379
1.78,1419.63,1.033424,1.16379,-1.16379
1.8,1422.666,1.044225,1.09631,-1.09631
1.82,1422.666,1.054711,1.09631,-1.09631
1.84,1419.63,1.061776,1.16379,-1.16379
