Tiempo,ControlPWM,Plataforma,Posicion,Error
0,0,-0.02657397,0.15135,-0.15135
0.02,0,-0.05500832,0.15135,-0.15135
0.04,0,-0.0551824,0.2188301,-0.2188301
0.06,0,-0.06019229,0.15135,-0.15135
0.08,0,-0.08197027,0.15135,-0.15135
0.1,0,-0.1676191,0.2188301,-0.2188301
0.12,0,-0.2167502,0.2188301,-0.2188301
0.14,0,-0.2941785,0.15135,-0.15135
0.16,0,-0.2685561,0.15135,-0.15135
0.18,0,-0.2852415,0.15135,-0.15135
0.2,0,-0.2652184,0.2188301,-0.2188301
0.22,0,-0.270569,0.2188301,-0.2188301
0.24,0,-0.2893309,0.15135,-0.15135
0.26,0,-0.2861924,0.2863102,-0.2863102
0.28,0,-0.2860671,0.15135,-0.15135
0.3,0,-0.2915458,0.2188301,-0.2188301
0.32,0,-0.2986452,0.2863102,-0.2863102
0.34,0,-0.3313934,0.15135,-0.15135
0.36,0,-0.3781644,0.2863102,-0.2863102
0.38,0,-0.3641385,0.2188301,-0.2188301
0.4,0,-0.3186219,0.15135,-0.15135
0.42,0,-0.3187656,0.15135,-0.15135
0.44,0,-0.3678551,0.2863102,-0.2863102
0.46,0,-0.4049012,0.2188301,-0.2188301
0.48,0,-0.4002035,0.2188301,-0.2188301
0.5,0,-0.3663197,0.15135,-0.15135
0.52,0,-0.3573065,0.15135,-0.15135
0.54,0,-0.3892122,0.2188301,-0.2188301
0.56,0,-0.4015346,0.2188301,-0.2188301
0.58,0,-0.390338,0.2188301,-0.2188301
0.6,0,-0.3654674,0.15135,-0.15135
0.62,0,-0.3640537,0.2188301,-0.2188301
0.64,0,-0.38399,0.15135,-0.15135
0.66,0,-0.385995,0.2188301,-0.2188301
0.68,0,-0.3648463,0.2188301,-0.2188301
0.7,0,-0.356778,0.2188301,-0.2188301
0.72,0,-0.3503735,0.15135,-0.15135
0.74,0,-0.3661034,0.15135,-0.15135
0.76,0,-0.3695261,0.2188301,-0.2188301
0.78,0,-0.349806,0.2188301,-0.2188301
0.8,0,-0.3433087,0.2188301,-0.2188301
0.82,0,-0.3414795,0.2188301,-0.2188301
0.84,0,-0.3499407,0.2188301,-0.2188301
0.86,0,-0.3453741,0.2188301,-0.2188301
0.88,0,-0.338644,0.2188301,-0.2188301
0.9,0,-0.3421974,0.15135,-0.15135
0.92,0,-0.3468926,0.2863102,-0.2863102
0.94,0,-0.3595405,0.15135,-0.15135
0.96,0,-0.3719833,0.15135,-0.15135
0.98,0,-0.3625927,0.15135,-0.15135
1,0,-0.3704219,0.2188301,-0.2188301
1.02,0,-0.3640817,0.2188301,-0.2188301
1.04,0,-0.3732474,0.15135,-0.15135
1.06,0,-0.3641537,0.15135,-0.15135
1.08,0,-0.3562416,0.15135,-0.15135
1.1,0,-0.3536085,0.15135,-0.15135
1.12,0,-0.3475098,0.2188301,-0.2188301
1.14,0,-0.3567658,0.15135,-0.15135
1.16,0,-0.3634546,0.2188301,-0.2188301
1.18,0,-0.3552516,0.2863102,-0.2863102
1.2,0,-0.3602504,0.2188301,-0.2188301
1.22,0,-0.3576224,0.2863102,-0.2863102
1.24,0,-0.352959,0.2188301,-0.2188301
1.26,0,-0.3621135,0.2188301,-0.2188301
1.28,0,-0.3666119,0.2188301,-0.2188301
1.3,0,-0.3634253,0.15135,-0.15135
1.32,0,-0.3611692,0.2188301,-0.2188301
1.34,0,-0.3629029,0.15135,-0.15135
1.36,0,-0.3699043,0.15135,-0.15135
1.38,0,-0.3684333,0.15135,-0.15135
1.4,0,-0.3673477,0.2188301,-0.2188301
1.42,0,-0.3712866,0.2863102,-0.2863102
1.44,0,-0.3727447,0.15135,-0.15135
1.46,0,-0.3658548,0.2863102,-0.2863102
1.48,0,-0.367664,0.2863102,-0.2863102
1.5,-150,-0.3781012,0.2863102,-0.2863102
1.52,-150,-0.3835319,0.2188301,-0.2188301
1.54,-150,-0.3248656,0.15135,-0.15135
1.56,-150,0.2595525,-0.05108929,0.05108929
1.58,-150,1.341602,-0.05108929,0.05108929
1.6,-150,2.044636,-0.1860495,0.1860495
1.62,-150,2.800746,-0.1185694,0.1185694
1.64,-150,3.36185,-0.05108929,0.05108929
1.66,-150,3.628387,0.2863102,-0.2863102
1.68,-150,3.652461,0.5562305,-0.5562305
1.7,-150,3.735268,-0.1185694,0.1185694
1.72,-150,3.800645,0.2863102,-0.2863102
1.74,-150,3.847687,-0.7933693,0.7933693
1.76,-150,3.877961,-0.3884897,0.3884897
1.78,-150,3.93753,-0.7933693,0.7933693
1.8,-150,3.963244,-1.805569,1.805569
1.82,-150,3.998343,-0.8608494,0.8608494
1.84,-150,3.982211,-0.7933693,0.7933693
1.86,-150,4.048352,-1.06329,1.06329
1.88,-150,4.049541,-0.7933693,0.7933693
1.9,-150,4.015406,-1.06329,1.06329
1.92,-150,4.048257,-1.805569,1.805569
1.94,-150,4.028636,-1.06329,1.06329
1.96,-150,4.042634,-2.75029,2.75029
1.98,-150,3.989686,-2.142969,2.142969
2,108.5801,4.021095,-2.412889,2.412889
2.02,123.7631,4.056516,-2.75029,2.75029
2.04,138.946,4.011195,-3.08769,3.08769
2.06,151.0924,3.67748,-3.357609,3.357609
2.08,151.0924,2.708633,-3.357609,3.357609
2.1,211.8243,1.44576,-4.707209,4.707209
2.12,223.9708,-0.007690191,-4.977129,4.977129
2.14,223.9708,-1.732784,-4.977129,4.977129
2.16,223.9708,-3.396548,-4.977129,4.977129
2.18,239.1538,-5.236999,-5.314529,5.314529
2.2,312.0322,-6.612992,-6.93405,6.93405
2.22,296.8492,-8.112418,-6.596649,6.596649
2.24,293.8126,-8.298532,-6.529169,6.529169
2.26,339.3616,-8.554124,-7.541368,7.541368
2.28,327.2152,-9.10418,-7.27145,7.27145
2.3,327.2152,-10.94352,-7.27145,7.27145
2.32,281.6663,-11.91662,-6.259249,6.259249
2.34,251.3003,-12.86223,-5.58445,5.58445
2.36,284.7028,-12.29376,-6.326729,6.326729
2.38,254.3368,-11.91634,-5.65193,5.65193
2.4,296.8492,-11.53372,-6.596649,6.596649
2.42,236.1172,-11.02709,-5.247049,5.247049
2.44,223.9708,-10.74183,-4.977129,4.977129
2.46,208.7878,-10.51378,-4.639729,4.639729
2.48,211.8243,-10.47368,-4.707209,4.707209
2.5,151.0924,-9.977613,-3.357609,3.357609
2.52,166.2754,-9.638844,-3.695009,3.695009
2.54,126.7997,-9.239775,-2.81777,2.81777
2.56,123.7631,-8.612336,-2.75029,2.75029
2.58,35.70166,-7.849125,-0.7933693,0.7933693
2.6,53.92126,-7.183274,-1.19825,1.19825
2.62,20.51868,-6.34075,-0.4559698,0.4559698
2.64,35.70166,-5.805326,-0.7933693,0.7933693
2.66,-9.847412,-4.797283,0.2188301,-0.2188301
2.68,-37.17676,-3.98716,0.8261509,-0.8261509
2.7,-25.0304,-3.044454,0.5562305,-0.5562305
2.72,-113.0918,-2.351628,2.51315,-2.51315
2.74,-103.9819,-1.610557,2.31071,-2.31071
2.76,-146.4944,-0.587669,3.25543,-3.25543
2.78,-210.2629,0.4829901,4.67251,-4.67251
2.8,-204.1897,1.027543,4.53755,-4.53755
2.82,-252.7754,1.993191,5.61723,-5.61723
2.84,-207.2263,2.964992,4.60503,-4.60503
2.86,-267.9584,4.099087,5.95463,-5.95463
2.88,-237.5923,4.859029,5.27983,-5.27983
2.9,-267.9584,5.577918,5.95463,-5.95463
2.92,-249.7388,6.190239,5.54975,-5.54975
2.94,-252.7754,6.586281,5.61723,-5.61723
2.96,-252.7754,6.958706,5.61723,-5.61723
2.98,-270.9949,6.999931,6.02211,-6.02211
3,-267.9584,7.136667,5.95463,-5.95463
3.02,-237.5923,7.030825,5.27983,-5.27983
3.04,-267.9584,7.220176,5.95463,-5.95463
3.06,-234.5558,7.217826,5.21235,-5.21235
3.08,-267.9584,7.283735,5.95463,-5.95463
3.1,-189.0068,7.260141,4.20015,-4.20015
3.12,-222.4094,7.1002,4.94243,-4.94243
3.14,-158.6407,7.009188,3.525351,-3.525351
3.16,-149.531,6.614983,3.32291,-3.32291
3.18,-189.0068,6.740685,4.20015,-4.20015
3.2,-131.3114,6.253066,2.918031,-2.918031
3.22,-134.348,5.718258,2.985511,-2.985511
3.24,-73.61597,5.492297,1.63591,-1.63591
3.26,-73.61597,4.850252,1.63591,-1.63591
3.28,-25.0304,4.35342,0.5562305,-0.5562305
3.3,-25.0304,3.576178,0.5562305,-0.5562305
3.32,-25.0304,2.969559,0.5562305,-0.5562305
3.34,23.5553,2.194783,-0.5234499,0.5234499
3.36,23.5553,1.365967,-0.5234499,0.5234499
3.38,63.03101,0.906855,-1.40069,1.40069
3.4,78.21399,0.3098927,-1.738089,1.738089
3.42,78.21399,-0.1946491,-1.738089,1.738089
3.44,78.21399,-0.6761357,-1.738089,1.738089
3.46,138.946,-1.265098,-3.08769,3.08769
3.48,93.39697,-1.804645,-2.075489,2.075489
3.5,111.6166,-2.287511,-2.48037,2.48037
3.52,166.2754,-2.905394,-3.695009,3.695009
3.54,196.6415,-3.395397,-4.36981,4.36981
3.56,163.2388,-3.664881,-3.627529,3.627529
3.58,193.6049,-4.030717,-4.30233,4.30233
3.6,181.4585,-4.508436,-4.03241,4.03241
3.62,166.2754,-5.129523,-3.695009,3.695009
3.64,208.7878,-5.816478,-4.639729,4.639729
3.66,251.3003,-6.356808,-5.58445,5.58445
3.68,251.3003,-6.374585,-5.58445,5.58445
3.7,211.8243,-6.337528,-4.707209,4.707209
