Tiempo,ControlPWM,ThetaMedido,ThetaObservado,OmegaMedido,OmegaObservado,PosicionMedido,PosicionObservado,VelocidadObservado
0,0,0.06820717,0.1521188,0.5030622,-0.2248135,3.99771,2.090493,3.294287
0.02,0,0.1351373,0.1913866,-0.2144953,-0.5776687,3.99771,3.155169,4.889285
0.04,0,0.2194982,0.212265,0.1671843,-1.076062,3.93023,3.659629,5.209954
0.06,0,0.2652768,0.2235532,0.1213828,-1.552073,3.99771,3.939343,4.870886
0.08,0,0.3110481,0.2333412,-0.183961,-2.013542,3.93023,4.033274,4.251941
0.1,0,0.3663633,0.2548826,0.1671843,-2.496053,3.93023,4.069539,3.62665
0.12,0,0.4146861,0.2798718,-0.04655629,-2.970422,3.93023,4.076303,3.003536
0.14,0,0.4648121,0.3063907,0.1366499,-3.444867,3.86275,4.034403,2.390823
0.16,0,0.5023707,0.3328521,0.07558119,-3.880108,3.93023,4.037852,1.874412
0.18,0,0.5317858,0.3525681,-0.03128911,-4.263183,3.93023,4.029846,1.393964
0.2,0,0.5731205,0.3761999,0.1977187,-4.649193,3.93023,4.019199,1.013701
0.22,0,0.6132721,0.4011245,0.1977187,-5.033346,3.93023,4.007978,0.6727396
0.24,0,0.6447913,0.4224376,0.1671843,-5.388986,3.93023,3.996163,0.3415467
0.26,0,0.6790726,0.4439027,0.1977187,-5.734375,3.93023,3.98537,0.06205118
0.28,0,0.7026815,0.460301,0.2282531,-6.039228,3.93023,3.974524,-0.2200596
0.3,0,0.7334527,0.478524,0.2282531,-6.339712,3.93023,3.965482,-0.4391152
0.32,0,0.7550344,0.4930824,0.2282531,-6.608229,3.93023,3.956754,-0.6638199
0.34,0,0.7693618,0.5028442,0.06031401,-6.832575,3.93023,3.948008,-0.8828169
0.36,0,0.7969462,0.517632,0.2587874,-7.069349,3.93023,3.941733,-1.024206
0.38,0,0.8306193,0.5375242,0.1213828,-7.333517,3.93023,3.937627,-1.13173
0.4,0,0.8501766,0.5523255,0.1061156,-7.571323,3.93023,3.932751,-1.283515
0.42,0,0.8557009,0.5582434,0.1366499,-7.747351,3.93023,3.92622,-1.465541
0.44,0,0.8697577,0.563264,-0.04655629,-7.909068,3.86275,3.885687,-1.640565
