Tiempo,ControlPWM,ThetaMedido,ThetaObservado,OmegaMedido,OmegaObservado,PosicionMedido,PosicionObservado,VelocidadObservado
0,0,0.06889348,0.01489697,0.06031401,-0.4895674,3.660311,1.881986,-3.35487
0.02,0,0.1377294,0.05358075,0.02977964,-0.9728777,3.592831,2.706806,-4.055305
0.04,0,0.2011828,0.09753248,-0.0007547362,-1.471316,3.592831,3.091173,-4.114729
0.06,0,0.2584824,0.1393441,-0.04655629,-1.974757,3.592831,3.275134,-3.932178
0.08,0,0.3130441,0.1778747,0.1671843,-2.483794,3.592831,3.367089,-3.675053
0.1,0,0.3647128,0.2132081,0.07558119,-2.989275,3.525351,3.381388,-3.355307
0.12,0,0.4259263,0.2502658,0.2129859,-3.546504,3.592831,3.42901,-3.147023
0.14,0,0.4673107,0.2792631,0.1366499,-4.04611,3.525351,3.42029,-2.943336
0.16,0,0.5032519,0.3020569,0.04504682,-4.499691,3.525351,3.419343,-2.823178
0.18,0,0.5427182,0.3236908,0.2282531,-4.946216,3.592831,3.455931,-2.792101
0.2,0,0.57367,0.3414995,-0.03128911,-5.348379,3.592831,3.473917,-2.768887
0.22,0,0.6144412,0.3623399,0.1366499,-5.765706,3.592831,3.483523,-2.721607
0.24,0,0.637348,0.3768127,0.09084838,-6.113948,3.525351,3.453361,-2.682864
0.26,0,0.6687427,0.392427,0.01451245,-6.462853,3.525351,3.439739,-2.671325
0.28,0,0.6954218,0.4065979,0.2129859,-6.790911,3.525351,3.433044,-2.702598
0.3,0,0.7118655,0.4155453,-0.0007547362,-7.068048,3.592831,3.463293,-2.843935
0.32,0,0.7446201,0.4303233,0.2740546,-7.376815,3.592831,3.476388,-2.888775
0.34,0,0.763494,0.4410742,0.02977964,-7.649282,3.660311,3.515643,-3.043548
0.36,0,0.795962,0.4567813,0.1213828,-7.951526,3.660311,3.532667,-3.103335
0.38,0,0.8198908,0.4712639,0.2587874,-8.227659,3.525351,3.469924,-3.055809
0.4,0,0.8189703,0.473265,-0.04655629,-8.402056,3.592831,3.473323,-3.241023
0.42,0,0.827599,0.4752708,0.1824515,-8.551757,3.592831,3.472427,-3.35184
0.44,0,0.8296257,0.4747316,0.1061156,-8.658225,3.592831,3.46959,-3.471788
0.46,0,0.849502,0.4815189,0.1671843,-8.811244,3.592831,3.466943,-3.525637
