Tiempo,ControlPWM,ThetaMedido,ThetaObservado,OmegaMedido,OmegaObservado,PosicionMedido,PosicionObservado,VelocidadObservado
0,0,0.02141771,0.2281584,0.1061156,0.398691,5.009911,4.064585,17.99893
0.02,0,0.03307796,0.1593279,0.1366499,0.1833013,5.009911,5.149125,18.77038
0.04,0,0.04934881,0.08688696,0.1824515,-0.08822179,4.94243,5.322065,15.42669
0.06,0,0.07560448,0.05985294,0.2282531,-0.3343208,4.94243,5.301965,12.04514
0.08,0,0.1009619,0.05967919,0.1213828,-0.558631,4.94243,5.239745,9.227796
0.1,0,0.1050311,0.06375071,0.1671843,-0.7079815,5.009911,5.229281,7.176377
0.12,0,0.1104918,0.06643376,0.1213828,-0.8234717,5.009911,5.189364,5.441677
0.14,0,0.1289063,0.07176855,0.2129859,-0.9617016,4.87495,5.042275,3.653211
0.16,0,0.1493101,0.09228358,0.1519171,-1.093248,4.94243,5.037221,2.882091
0.18,0,0.1604009,0.1049016,0.1519171,-1.21863,4.94243,5.02045,2.180705
0.2,0,0.1766773,0.117779,0.2435202,-1.35063,4.94243,5.00484,1.646713
0.22,0,0.1862133,0.1268496,0.1366499,-1.46842,4.94243,4.991217,1.206449
0.24,0,0.2088713,0.1418168,0.1671843,-1.612258,4.94243,4.982423,0.9234598
0.26,0,0.2203271,0.1494096,0.07558119,-1.75083,4.87495,4.919745,0.41703
0.28,0,0.2222112,0.1598016,0.1824515,-1.833187,5.009911,5.006804,0.6441344
0.3,0,0.2341781,0.162687,0.2129859,-1.93932,4.94243,4.973594,0.3209437
0.32,0,0.2458512,0.1700419,0.3351234,-2.040797,4.94243,4.962039,0.1619941
0.34,0,0.2893811,0.1990215,2.655735,-2.225466,5.009911,5.016651,0.4359942
0.36,0,0.273748,0.1909464,-0.8404495,-2.332383,4.87495,4.915063,-0.2600503
0.38,0,0.2801425,0.1967214,0.09084838,-2.403493,4.94243,4.940353,-0.1624365
0.4,0,0.2758518,0.1944277,0.07558119,-2.443303,4.94243,4.945453,-0.2144063
0.42,0,0.2773942,0.1934661,-0.1992282,-2.473907,4.94243,4.9462,-0.2516476
0.44,0,0.2879112,0.1954755,0.1824515,-2.529657,4.87495,4.892501,-0.4885142
0.46,0,0.2947971,0.1957009,0.2129859,-2.594268,4.73999,4.768692,-0.9964327
0.48,0,0.2964875,0.2097439,0.01451245,-2.612389,4.94243,4.899726,-0.2879679
0.5,0,0.3143651,0.2224092,0.2282531,-2.68501,5.009911,4.993721,0.150662
0.52,200,0.3018312,0.4271736,-0.01602192,17.68022,4.87495,4.909866,0.1763067
0.54,200,0.2929117,0.8504861,0.1671843,31.26033,4.94243,4.930205,0.9806023
0.56,200,0.6528739,1.451697,31.03743,39.19178,5.009911,5.007688,2.528708
0.58,200,1.676367,2.378707,50.19774,41.38591,4.60503,4.789007,4.11317
0.6,200,2.892077,3.539584,63.34278,39.28602,5.95463,5.897257,11.13524
0.62,200,4.044362,4.571311,53.40384,34.16313,5.887151,6.169933,11.92061
0.64,200,4.969289,5.357011,49.31224,27.66401,4.60503,5.168417,5.471675
0.66,200,5.862227,6.129059,45.00689,20.6888,5.009911,5.192058,4.375276
0.68,200,6.447036,6.665975,31.52597,14.15456,5.27983,5.358597,2.6554
0.7,200,6.827604,6.999786,18.42673,8.564456,5.684711,5.661044,0.9397224
0.72,200,6.888952,7.021259,5.938179,4.423675,4.67251,4.824476,-6.661243
0.74,200,6.852761,6.948197,2.961078,1.76489,3.99771,3.96964,-12.97044
0.76,200,6.764236,6.876318,0.9763447,0.369084,4.335111,3.961967,-14.25361
0.78,200,6.764334,6.809532,-0.2297625,-0.5698795,3.99771,3.676626,-16.09366
0.8,200,6.726306,6.731516,-0.5351062,-1.098043,3.39039,3.097163,-18.89581
0.82,200,6.717078,6.739782,-0.9320526,-1.284035,4.06519,3.490878,-16.63406
0.84,200,6.592336,6.624508,-0.4587703,-1.16049,3.39039,3.042217,-18.97541
0.86,200,6.63957,6.601686,-0.2908313,-1.179164,2.850551,2.501434,-20.54119
0.88,200,6.587348,6.562987,0.1824515,-1.037956,2.31071,1.923477,-22.26004
