Tiempo,ControlPWM,ThetaMedido,ThetaObservado,OmegaMedido,OmegaObservado,PosicionMedido,PosicionObservado,VelocidadObservado
1.14,-100,4.344702,1.853451,-64.7794,-80.23571,-7.473888,-7.948483,-48.73525
1.16,-100,2.910725,0.791371,-74.27559,-72.95681,-8.148689,-8.713495,-48.89792
1.18,-100,1.342571,-0.3249494,-82.10765,-63.17378,-8.958448,-9.538781,-51.39905
1.2,-100,-0.1845196,-1.412429,-79.14581,-51.84642,-8.62105,-10.09167,11.50432
1.22,-100,-1.485145,-2.364393,-69.08475,-40.20014,-10.24057,-10.67318,-41.38556
1.24,-100,-2.514157,-3.123346,-51.13054,-29.19231,-10.17309,-11.22624,-4.110945
1.26,-100,-2.644881,-3.413038,8.64047,-21.4344,-10.44301,-11.45061,16.2917
1.28,-100,-2.121358,-3.226202,22.56414,-17.90069,-11.38773,-11.62891,-15.77942
1.3,-100,-1.571465,-2.835957,21.78551,-17.26593,-11.05033,-11.66741,16.4277
1.32,-100,-1.500036,-2.580835,-6.840452,-17.06124,-11.38773,-11.61711,5.198438
1.34,-100,-2.347091,-2.789172,-44.73359,-14.2561,-10.64545,-11.45764,44.64646
1.36,-100,-3.001597,-3.129681,-31.32901,-10.32615,-11.92757,-11.52662,-29.09922
1.38,-100,-3.382707,-3.410412,-17.29847,-6.504786,-10.78041,-11.51696,36.2111
1.4,-100,-3.040267,-3.359377,20.85421,-5.033118,-13.07473,-11.79383,-83.26187
1.42,-100,-2.293865,-2.99635,35.87712,-6.396112,-12.19749,-12.12066,-22.38388
1.44,-100,-1.488089,-2.483907,36.53361,-9.836613,-12.26497,-12.10901,-6.550374
1.46,-100,-1.298234,-2.179858,-8.15343,-12.72651,-12.73733,-12.16862,-31.0303
1.48,-100,-1.939364,-2.326931,-31.68015,-12.63656,-11.92757,-12.16197,14.54159
1.5,-100,-2.423331,-2.607782,-20.99313,-11.0566,-12.87229,-12.27124,-35.64036
1.52,0,-2.451226,-2.638999,-2.046557,0.2853977,-12.73733,-12.47964,-23.27985
