Tiempo,ControlPWM,ReferenciaPosicion,ReferenciaTheta,ThetaMedido,ThetaObservado,OmegaMedido,OmegaObservado,PosicionMedido,PosicionObservado,VelocidadObservado,TiempoTranscurrido
0,436.0475,0,0,-0.2505789,0.07088292,0.5183294,1.146107,4.87495,3.915162,16.39883,0
0.02,393.9587,0,0,-0.5086663,0.269111,0.4725278,46.71154,4.60503,4.722608,16.7217,7484
0.04,347.7368,0,0,-0.6770046,0.9609671,1.022146,73.26131,5.27983,5.401037,17.4354,7660
0.06,209.3723,0,0,-0.8373319,1.492758,17.35803,86.39178,4.73999,5.003368,11.85831,7596
0.08,71.85146,0,0,-0.05373424,2.19937,45.29697,78.65084,3.99771,4.282811,8.030575,7628
0.1,-25.89951,0,0,0.7611643,2.666579,56.99163,56.93606,3.32291,3.524767,3.588186,7672
0.12,-3.600266,0,0,1.903846,3.07497,64.62522,29.20103,3.660311,3.64911,4.343544,7716
0.14,58.31158,0,0,2.603856,3.217108,39.72445,10.8904,4.267631,4.185474,5.142436,7700
0.16,-87.51316,0,0,2.411495,2.8359,-4.428237,5.254785,2.58063,2.865646,-4.932942,7648
0.18,-110.6197,0,0,2.147952,2.323172,7.968714,-12.43352,2.243231,2.170122,-10.06911,7760
0.2,-10.19087,0,0,2.307733,1.942603,8.396194,-26.75971,2.918031,2.578825,-7.725739,7768
0.22,-16.13823,0,0,1.711359,1.285275,-30.99313,-24.38065,2.37819,2.21018,-11.14814,7744
0.24,-58.06829,0,0,0.6433082,0.4351696,-58.85573,-20.23175,1.568431,1.367991,-16.67972,7796
0.26,8.564316,0,0,0.3489472,-0.002979714,21.54124,-20.5185,1.90583,1.477804,-13.75013,7824
0.28,-40.0262,0,0,0.3889655,-0.1380039,-5.099993,-13.97217,0.9611101,0.8498422,-13.20909,7796
0.3,6.279358,0,0,-0.2333456,-0.4453688,-14.0771,-12.68806,1.23103,0.8769611,-12.06795,7868
0.32,68.33301,0,0,0.1320872,-0.2798478,15.93818,-7.987844,1.63591,1.349658,-5.677719,7828
0.34,14.82386,0,0,0.01936207,-0.1788155,-8.993125,1.637957,0.9611101,0.9567046,-5.967405,7816
0.36,29.98802,0,0,0.421851,0.2167594,28.4878,1.514341,1.23103,1.149435,-1.990343,7856
0.38,23.06107,0,0,1.052794,0.7363059,30.3046,1.06474,1.23103,1.28648,1.185591,7832
0.4,45.48441,0,0,1.246949,1.053877,11.05268,-0.6362201,1.63591,1.641578,2.798691,7828
0.42,31.63623,0,0,1.557982,1.338055,20.12139,-0.4942624,1.63591,1.74457,3.189081,7812
0.44,-81.59604,0,0,1.611652,1.42063,6.47253,-2.16659,0.5562305,0.8594722,-1.904921,7832
0.46,8.315842,0,0,1.726975,1.45252,6.762606,-15.00649,1.63591,1.476388,0.5180219,7876
0.48,-65.47645,0,0,1.538424,1.175128,-12.73358,-14.04819,0.6237106,0.7824268,-4.410155,7812
0.5,-26.14119,0,0,0.8210957,0.6421533,-36.41298,-18.74397,0.9611101,0.7701763,-6.720692,7872
0.52,-35.86761,0,0,0.7610976,0.3383037,3.11375,-17.55713,0.5562305,0.4814338,-7.200512,7848
0.54,-17.66546,0,0,0.3892375,0.0283033,-23.20687,-16.58817,0.5562305,0.3965604,-7.402947,7876
0.56,11.03797,0,0,-0.1849561,-0.3759879,-11.17633,-12.36076,0.6237106,0.3980113,-7.664292,7888
0.58,21.27483,0,0,-0.1288984,-0.4120564,-2.306099,-6.633092,0.5562305,0.4197376,-5.224053,7880
0.6,33.20872,0,0,-0.2873931,-0.4069573,-2.428236,-1.30163,0.6237106,0.4979922,-3.737927,7884
0.62,122.444,0,0,-0.02340536,-0.1161366,13.69391,2.825395,1.63591,1.406455,2.510739,7856
0.64,109.5147,0,0,0.1636391,0.233543,10.13665,13.98328,1.63591,1.678004,4.346295,7812
0.66,38.61163,0,0,0.5292014,0.7222167,23.93818,18.91991,1.23103,1.443336,4.034919,7808
0.68,3.75174,0,0,1.347107,1.392749,42.31987,12.55698,1.23103,1.438719,5.634336,7824
0.7,-19.33839,0,0,1.955332,1.862895,27.83132,2.822399,1.23103,1.441485,5.412512,7828
0.72,-31.63766,0,0,2.058789,1.926425,2.258788,-6.48765,1.23103,1.37555,2.823556,7840
0.74,-30.42993,0,0,1.73943,1.609653,-16.24504,-13.08802,1.23103,1.261078,-0.8711765,7852
0.76,17.33144,0,0,1.381702,1.194896,-19.17633,-16.22197,1.63591,1.500374,-2.015299,7844
0.78,-64.0974,0,0,0.9104007,0.7055685,-24.2145,-12.10762,0.5562305,0.6443412,-7.613796,7808
0.8,-50.84057,0,0,0.4478732,0.2641011,-16.61145,-16.12919,0.5562305,0.3840836,-9.09292,7896
0.82,-22.04119,0,0,0.4889269,0.06500091,-3.099992,-17.40579,0.5562305,0.3801368,-7.295068,7864
0.84,7.784599,0,0,0.04513421,-0.2504498,-25.17634,-14.00725,0.6237106,0.4202081,-7.046507,7876
0.86,19.26223,0,0,-0.236167,-0.4521537,-7.00839,-7.810322,0.5562305,0.3941317,-6.204607,7888
0.88,34.2017,0,0,-0.3448,-0.475967,-4.382436,-2.117454,0.6237106,0.4778159,-4.277226,7860
0.9,119.4779,0,0,-0.1551315,-0.2322566,10.36566,2.768454,1.568431,1.329053,1.641737,7856
0.92,113.9645,0,0,0.04648476,0.119895,10.22826,14.01628,1.63591,1.64914,4.012543,7820
0.94,44.30231,0,0,0.4151055,0.6187516,21.92292,19.75577,1.23103,1.432618,3.947333,7816
0.96,9.00371,0,0,1.203131,1.290705,41.1901,14.13437,1.23103,1.430485,5.5689,7836
0.98,-15.4228,0,0,1.895298,1.81989,29.81605,4.61543,1.23103,1.447799,5.798551,7836
1,-30.64224,0,0,2.14271,1.989263,8.350393,-5.110271,1.23103,1.403106,3.746789,7848
1.02,-32.60982,0,0,1.851533,1.720566,-14.74885,-12.40287,1.23103,1.287966,-0.1081406,7836
1.04,13.72644,0,0,1.456181,1.28965,-17.75649,-16.23453,1.63591,1.512718,-1.710614,7852
1.06,16.6001,0,0,0.9786099,0.8184873,-23.51221,-12.62108,1.500951,1.414581,-4.145101,7828
1.08,-58.11285,0,0,0.5189047,0.3959769,-19.90916,-8.546741,0.5562305,0.5919937,-8.696571,7828
1.1,-45.98719,0,0,0.5241632,0.2475588,-1.206862,-13.24225,0.5562305,0.4158972,-7.785116,7876
1.12,-20.86272,0,0,0.377605,0.04803683,-7.267933,-14.66758,0.5562305,0.3886979,-7.028681,7876
1.14,0.6926804,0,0,0.1244645,-0.1698048,-15.11526,-12.2798,0.5562305,0.3907236,-6.368539,7876
1.16,16.35602,0,0,-0.1407945,-0.3437909,-11.68015,-7.670351,0.5562305,0.4012175,-5.568186,7908
1.18,115.6724,0,0,-0.2358391,-0.3312629,-3.206862,-2.575648,1.568431,1.256084,-0.4546704,7880
1.2,112.6507,0,0,-0.1152509,-0.1032893,5.922912,10.54223,1.568431,1.534969,2.003181,7812
1.22,84.55576,0,0,0.07113777,0.2962002,13.23589,18.37766,1.568431,1.629848,3.334843,7808
1.24,21.81075,0,0,0.8142066,0.9544025,40.27407,18.49757,1.23103,1.452727,4.542244,7812
1.26,-9.662079,0,0,1.63483,1.622407,37.83132,9.677498,1.23103,1.450466,5.727189,7848
1.28,-59.68099,0,0,2.187717,2.008965,29.61757,-1.229384,0.89363,1.167204,3.808112,7852
1.3,-36.79771,0,0,2.216038,1.974561,-4.290833,-13.77494,1.23103,1.28993,1.93772,7884
1.32,-24.1816,0,0,1.617474,1.438663,-34.18397,-18.15257,1.23103,1.198351,-2.50695,7852
1.34,29.75198,0,0,0.9964297,0.8357955,-28.56565,-17.82947,1.63591,1.428773,-4.017163,7844
1.36,-41.78149,0,0,0.4211646,0.2788566,-30.56565,-10.41388,0.6237106,0.6361017,-8.897738,7828
1.38,-35.08127,0,0,0.1029013,-0.05010346,-9.405337,-11.61165,0.5562305,0.3785671,-9.186295,7860
1.4,-11.89136,0,0,0.2893609,-0.08254527,8.503064,-12.11445,0.5562305,0.3973668,-6.481117,7892
1.42,4.822006,0,0,0.1425747,-0.1614884,-9.588544,-9.665361,0.5562305,0.4217146,-5.353492,7892
1.44,15.51212,0,0,-0.03058748,-0.2324917,-5.573276,-5.815263,0.5562305,0.438857,-4.434394,7880
1.46,20.80001,0,0,-0.03474985,-0.1891427,-2.122893,-2.117415,0.5562305,0.4748071,-2.969267,7892
1.48,117.0357,0,0,0.03626123,-0.01969314,4.671002,0.7759259,1.63591,1.38888,2.264633,7896
