Tiempo,ControlPWM,ReferenciaPosicion,ReferenciaTheta,ThetaMedido,ThetaObservado,OmegaMedido,OmegaObservado,PosicionMedido,PosicionObservado,VelocidadObservado,TiempoTranscurrido
0.9,54.75603,0,0,-0.6737478,-0.8384806,-4.596176,-4.227694,0.2863102,0.1229852,-3.379093,7892
0.92,-66.18008,0,0,-0.7579639,-0.8273829,4.68627,5.05336,-1.06329,-0.8859261,-6.369538,7888
0.94,10.58312,0,0,-0.1457951,-0.3752922,30.74735,-2.616666,-0.1185694,-0.2804449,0.3543189,7980
0.96,29.19458,0,0,0.2020209,-0.06037953,11.84658,-1.079133,0.0163908,0.03648031,2.947595,7916
0.98,8.611645,0,0,-0.1134499,-0.08073667,-17.84809,2.580374,-0.1185694,-0.05661917,1.01134,7916
1,0.1257153,0,0,-0.04206811,-0.007005019,16.25879,2.742286,-0.1185694,-0.07898748,1.101408,7916
1.02,-5.648602,0,0,0.2130032,0.159652,8.04505,1.249346,-0.1185694,-0.05740636,1.827278,7908
1.04,-3.282197,0,0,0.1285428,0.1518473,-3.22213,-0.1538497,-0.05108929,-0.0289247,1.105562,7920
1.06,-11.40349,0,0,0.3049794,0.2220465,6.319859,-1.349206,-0.1185694,-0.0586883,1.200866,7916
1.08,-13.11637,0,0,0.2020701,0.1661291,-4.443504,-2.71023,-0.1185694,-0.09457793,0.2441909,7900
1.1,-12.04273,0,0,0.2554717,0.1500569,1.32749,-3.921532,-0.1185694,-0.09908717,0.2011368,7932
1.12,-4.76074,0,0,0.2474751,0.1231994,-0.5656406,-4.587181,-0.05108929,-0.04839284,0.23289,7920
1.14,-10.42576,0,0,0.2995161,0.1329519,1.190086,-4.43623,-0.1185694,-0.08152184,0.1560224,7920
1.16,-5.546391,0,0,0.2873217,0.1308402,1.083215,-4.873323,-0.05108929,-0.04024488,0.2078021,7928
1.18,-11.39316,0,0,0.2717921,0.1146925,-0.8404495,-4.633512,-0.1185694,-0.08748731,-0.1543135,7924
1.2,-11.81896,0,0,0.2763509,0.1102688,0.5183294,-5.072667,-0.1185694,-0.09992197,-0.2033676,7920
1.22,-10.88764,0,0,0.2607374,0.09255042,-1.130526,-5.363358,-0.1185694,-0.105531,-0.2964018,7928
1.24,-9.891374,0,0,0.2680063,0.08577045,-0.03128911,-5.476413,-0.1185694,-0.104405,-0.2403041,7920
1.26,-3.262587,0,0,0.2647012,0.08322445,-0.1228922,-5.43273,-0.05108929,-0.04860545,0.02296907,7944
1.28,2.633778,0,0,0.2759424,0.09688259,-0.2144953,-4.756735,0.0163908,0.02384123,0.377914,7932
1.3,-11.37408,0,0,0.2789169,0.1128143,0.3351234,-3.735317,-0.1185694,-0.0666659,-0.06847513,7924
1.32,-7.857478,0,0,0.2840931,0.1307448,0.7320697,-4.48715,-0.05108929,-0.03890663,0.06238896,7924
1.34,-13.33031,0,0,0.2750696,0.1203119,-0.3060985,-4.620443,-0.1185694,-0.08969817,-0.280884,7932
1.36,-7.189322,0,0,0.2972729,0.1253377,0.9152762,-5.315528,-0.05108929,-0.04588675,-0.01421362,7916
1.38,-12.35291,0,0,0.2995285,0.1190016,0.3503905,-5.171758,-0.1185694,-0.08868017,-0.2514234,7924
1.4,-6.502954,0,0,0.2996051,0.1179733,0.1213828,-5.590437,-0.05108929,-0.04575644,-0.05268759,7912
1.42,-5.913457,0,0,0.3035666,0.1173256,0.2435202,-5.288086,-0.05108929,-0.03323639,-0.01398164,7940
1.44,-12.61227,0,0,0.3002577,0.117422,-0.03128911,-5.023736,-0.1185694,-0.0852821,-0.2713239,7916
1.46,-13.03051,0,0,0.298007,0.1155503,-0.09235785,-5.519457,-0.1185694,-0.1003533,-0.3291461,7920
1.48,0.02241659,0,0,0.3024171,0.1150358,-0.2602969,-5.891386,0.0163908,0.005928062,0.1642517,7916
1.5,-11.52427,0,0,0.2937636,0.1076287,-0.0007547362,-4.806029,-0.1185694,-0.0751573,-0.2756134,7924
1.52,-7.309244,0,0,0.3066264,0.1236076,0.4114593,-5.278471,-0.05108929,-0.04088666,-0.02994674,7948
1.54,-6.911471,0,0,0.3004255,0.121973,-0.7641136,-5.155427,-0.05108929,-0.03353573,-0.06364942,7920
1.56,-7.402836,0,0,0.3127218,0.1303066,0.7931387,-5.06708,-0.05108929,-0.03013799,-0.02478421,7920
1.58,-7.893721,0,0,0.2998378,0.1273319,0.1061156,-5.025308,-0.05108929,-0.03227747,-0.1134939,7924
1.6,-14.18064,0,0,0.3076626,0.1278085,0.1366499,-5.0743,-0.1185694,-0.08685685,-0.345152,7920
1.62,-8.103142,0,0,0.316588,0.1305876,0.4877952,-5.762357,-0.05108929,-0.04616716,-0.1226327,7916
1.64,-13.02465,0,0,0.3145247,0.1211081,-0.1992282,-5.607257,-0.1185694,-0.09000771,-0.3568696,7920
1.66,-6.894929,0,0,0.3099785,0.1167143,0.304589,-5.979594,-0.05108929,-0.04734799,-0.1508069,7924
1.68,-5.991912,0,0,0.299445,0.1077012,-0.107625,-5.576076,-0.05108929,-0.03627917,-0.1423293,7924
1.7,-0.6062679,0,0,0.3195026,0.1252874,0.1519171,-5.262078,0.0163908,0.02533792,0.2214645,7940
1.72,-7.963704,0,0,0.3256649,0.1414227,0.2587874,-4.537766,-0.05108929,-0.01301279,0.01783723,7916
1.74,-16.01517,0,0,0.3251249,0.150486,0.4725278,-4.810914,-0.1185694,-0.08100061,-0.3206349,7920
1.76,-9.839417,0,0,0.3205928,0.1442304,-0.107625,-5.79289,-0.05108929,-0.04747133,-0.2099322,7928
1.78,-14.10194,0,0,0.318468,0.1265548,-0.03128911,-5.820314,-0.1185694,-0.09295446,-0.4557592,7928
1.8,-7.262396,0,0,0.2985865,0.1080236,-0.7335792,-6.201645,-0.05108929,-0.0521601,-0.3000839,7928
1.82,-11.946,0,0,0.3042756,0.1000413,-0.2602969,-5.778254,-0.1185694,-0.09234061,-0.4239931,7920
1.84,0.09719992,0,0,0.2907559,0.09872856,0.2740546,-5.916612,0.0163908,0.005644308,0.03591579,7928
1.86,-11.47539,0,0,0.2779484,0.09181532,-0.9931214,-4.765534,-0.1185694,-0.07757934,-0.3823328,7924
1.88,-6.977576,0,0,0.2769022,0.1014064,1.159551,-5.157813,-0.05108929,-0.04526927,-0.1590809,7936
1.9,-6.085255,0,0,0.2485861,0.08656235,-1.680145,-4.888228,-0.05108929,-0.04053146,-0.2379399,7920
1.92,-6.077306,0,0,0.2547777,0.08916581,1.006879,-4.629723,-0.05108929,-0.03680933,-0.1567599,7924
1.94,-12.218,0,0,0.2307331,0.07806821,-0.519839,-4.396379,-0.1185694,-0.09362059,-0.4679531,7932
1.96,-6.016745,0,0,0.2429356,0.08286827,0.1061156,-4.885854,-0.05108929,-0.0514025,-0.1647053,7928
1.98,-10.95226,0,0,0.2366241,0.0752146,0.07558119,-4.574368,-0.1185694,-0.09462629,-0.3702903,7936
2,-4.96663,0,0,0.2412191,0.07921129,0.1671843,-4.869825,-0.05108929,-0.04997791,-0.09367156,7940
2.02,-4.314287,0,0,0.2356259,0.07741985,0.2435202,-4.44645,-0.05108929,-0.03791853,-0.05713761,7936
2.04,-4.917263,0,0,0.2288476,0.0801243,0.1213828,-4.078507,-0.05108929,-0.03525283,-0.05285501,7940
2.06,-5.676875,0,0,0.2344572,0.0896886,0.1977187,-3.910945,-0.05108929,-0.03390683,-0.02125108,7940
2.08,-0.2408314,0,0,0.2291318,0.0954501,0.1977187,-3.858765,0.0163908,0.019419,0.1792512,7932
2.1,-12.88174,0,0,0.2312804,0.09766194,0.2129859,-3.294491,-0.1185694,-0.07601474,-0.2867474,7932
2.12,-7.950819,0,0,0.2332096,0.1022789,0.5030622,-4.198225,-0.05108929,-0.04836635,-0.1362288,7932
2.14,-12.38555,0,0,0.2144113,0.07997172,-0.6877776,-4.256924,-0.1185694,-0.09856738,-0.4600343,7932
2.16,-17.55721,0,0,0.2238904,0.06956332,0.6404669,-4.76909,-0.1860495,-0.1637737,-0.6550326,7920
2.18,-9.659187,0,0,0.222606,0.05618578,-0.6114421,-5.619742,-0.1185694,-0.1249731,-0.4027025,7928
2.2,-7.409736,0,0,0.2479995,0.05765179,0.2282531,-5.452454,-0.1185694,-0.1074777,-0.1785249,7944
2.22,-1.169867,0,0,0.2351073,0.0584544,0.1213828,-5.071071,-0.05108929,-0.04841158,0.08595586,7944
2.24,-13.83173,0,0,0.2394424,0.06593972,-0.4129688,-4.209728,-0.1860495,-0.1403085,-0.2934283,7932
2.26,-9.317296,0,0,0.2533321,0.08413003,0.8389403,-4.952578,-0.1185694,-0.1094208,-0.04923242,7936
2.28,-2.340883,0,0,0.2488342,0.08324841,-0.2602969,-4.978732,-0.05108929,-0.04790727,0.1720091,7940
2.3,-2.624751,0,0,0.2543728,0.09047398,0.3809245,-4.305279,-0.05108929,-0.03040088,0.2281755,7928
2.32,-10.39704,0,0,0.2514815,0.09901989,0.1671843,-3.8863,-0.1185694,-0.08216221,-0.05150145,7952
2.34,-5.553493,0,0,0.2466862,0.1034909,0.1824515,-4.3778,-0.05108929,-0.04427897,0.07841033,7924
2.36,-11.21865,0,0,0.2514188,0.1005279,0.3503905,-4.236522,-0.1185694,-0.08893813,-0.1645724,7920
2.38,0.4854355,0,0,0.2487302,0.1017481,0.2435202,-4.695108,0.0163908,0.007239493,0.2449403,7928
2.4,-11.31903,0,0,0.260863,0.1041566,0.3503905,-3.863002,-0.1185694,-0.07435607,-0.1491504,7916
2.42,-7.080257,0,0,0.2693331,0.1172521,0.2893218,-4.522004,-0.05108929,-0.04213647,0.02991611,7932
2.44,-6.53546,0,0,0.2690438,0.1147472,0.1671843,-4.536572,-0.05108929,-0.03485806,-0.006659389,7920
2.46,-6.732079,0,0,0.2611655,0.109371,0.2893218,-4.468538,-0.05108929,-0.03468551,-0.06997049,7932
2.48,-6.880029,0,0,0.2515846,0.1027405,0.07558119,-4.414561,-0.05108929,-0.03625233,-0.1287606,7928
2.5,-13.03326,0,0,0.2634735,0.1045327,0.1519171,-4.430577,-0.1185694,-0.08943699,-0.3257813,7936
2.52,-12.87997,0,0,0.2606957,0.09905437,0.1213828,-5.057014,-0.1185694,-0.1046489,-0.3831096,7916
2.54,-11.35147,0,0,0.2570965,0.0852368,-0.4129688,-5.44674,-0.1185694,-0.1084454,-0.3904484,7936
2.56,-10.00309,0,0,0.2630447,0.07824868,0.4572606,-5.562856,-0.1185694,-0.1065715,-0.314222,7932
2.58,-3.15421,0,0,0.2568893,0.07433037,-0.06182348,-5.477332,-0.05108929,-0.05050801,-0.03868818,7952
2.6,-9.029878,0,0,0.253736,0.0745084,-0.03128911,-4.722623,-0.1185694,-0.08899897,-0.2021064,7940
2.62,-10.0909,0,0,0.2501335,0.08036271,0.304589,-4.80414,-0.1185694,-0.09983243,-0.2124177,7936
2.64,-9.766351,0,0,0.2397638,0.07494844,-0.07709067,-4.93889,-0.1185694,-0.1043472,-0.2484291,7940
2.66,-3.129507,0,0,0.2372042,0.07252973,0.06031401,-4.980265,-0.05108929,-0.05034138,0.01149827,7936
2.68,-2.993384,0,0,0.240266,0.07744832,0.1671843,-4.343502,-0.05108929,-0.03424767,0.09120399,7944
2.7,1.763119,0,0,0.2263108,0.08462273,0.1824515,-3.862029,0.0163908,0.02232357,0.286383,7948
2.72,-11.77777,0,0,0.2352178,0.09741867,0.1671843,-3.099827,-0.1185694,-0.07145996,-0.1459134,7936
2.74,-1.557779,0,0,0.2343118,0.1099395,0.1977187,-3.952734,0.0163908,0.009774243,0.2090278,7928
2.76,-12.93388,0,0,0.2412116,0.1065535,0.2435202,-3.523415,-0.1185694,-0.07794014,-0.2531857,7928
2.78,-7.787668,0,0,0.2442289,0.1082869,0.2282531,-4.390154,-0.05108929,-0.0478571,-0.1031585,7924
