Tiempo,ControlPWM,ReferenciaPosicion,ReferenciaTheta,ThetaMedido,ThetaObservado,OmegaMedido,OmegaObservado,PosicionMedido,PosicionObservado,VelocidadObservado,TiempoTranscurrido
0.9,21.18823,0,0,-0.2836587,-0.5278265,-7.60381,-7.753198,-0.3884897,-0.4533403,-0.4357987,7924
0.92,13.48382,0,0,-0.259694,-0.4665672,6.075583,-2.116134,-0.4559698,-0.4287916,0.4651097,7924
0.94,10.00234,0,0,-0.09477316,-0.2626525,9.052684,0.3877879,-0.3884897,-0.3384764,1.86341,7940
0.96,-0.7058048,0,0,0.1222585,-0.02439605,11.32749,1.022487,-0.3884897,-0.2954968,2.680338,7912
0.98,-42.27032,0,0,0.3647377,0.1907105,12.70154,-0.4385967,-0.7258892,-0.5467769,1.873091,7944
1,-56.007,0,0,0.5171837,0.3022048,4.319858,-6.137357,-0.7933693,-0.6774678,1.162088,7948
1.02,-52.87917,0,0,0.5298764,0.251116,-2.641977,-11.40868,-0.7933693,-0.7326505,0.2656731,7964
1.04,-19.40011,0,0,0.2903727,0.02681232,-13.89389,-13.8965,-0.5234499,-0.5690731,-0.2461567,7952
1.06,-2.389047,0,0,0.005798018,-0.2325431,-13.87862,-11.28157,-0.4559698,-0.4957798,-0.869354,7936
1.08,8.372127,0,0,-0.176391,-0.3786268,-5.527474,-7.20225,-0.3884897,-0.4225231,-0.6659008,7944
1.1,1.832315,0,0,-0.1714735,-0.362443,2.51833,-3.355198,-0.4559698,-0.4355088,-0.1101546,7916
1.12,-9.229726,0,0,-0.05892522,-0.2387931,7.571767,-1.77614,-0.5234499,-0.4700409,0.5376073,7936
1.14,-14.84387,0,0,0.1128107,-0.07685189,7.495431,-2.367787,-0.5234499,-0.4599282,1.258984,7924
1.16,-18.93198,0,0,0.1986002,0.02091625,4.380926,-3.631369,-0.5234499,-0.4584076,1.315166,7952
1.18,-15.25516,0,0,0.2346278,0.05847683,0.09084838,-5.02064,-0.4559698,-0.4109921,1.306343,7944
1.2,-16.28498,0,0,0.2524503,0.06270014,0.8389403,-5.640869,-0.4559698,-0.4043963,1.050812,7964
1.22,-11.56974,0,0,0.2594952,0.05957165,0.01451245,-6.175984,-0.3884897,-0.35289,1.03526,7948
1.24,-24.96731,0,0,0.3055627,0.07214649,1.617566,-6.197256,-0.5234499,-0.4457882,0.544275,7968
1.26,-20.657,0,0,0.3090126,0.07121032,0.5946653,-7.577509,-0.4559698,-0.4213173,0.5028903,7924
1.28,-13.48478,0,0,0.3180065,0.05948436,-0.2144953,-8.081105,-0.3884897,-0.361472,0.627784,7952
1.3,-25.24072,0,0,0.2884006,0.02923711,-1.222129,-7.617124,-0.5234499,-0.4601826,-0.04686111,7948
1.32,-19.15795,0,0,0.2284576,-0.01445732,-2.565641,-8.313478,-0.4559698,-0.4408796,-0.149932,7956
1.34,-16.76291,0,0,0.2409849,-0.0311528,-0.4282355,-8.180268,-0.4559698,-0.4297217,-0.00399816,7940
1.36,-15.65818,0,0,0.1824,-0.06628039,-1.451137,-7.67862,-0.4559698,-0.432383,-0.1520977,7924
1.38,-21.10241,0,0,0.1913857,-0.06894526,-0.5809073,-7.249783,-0.5234499,-0.4822044,-0.2134253,7932
1.4,-8.840313,0,0,0.1924677,-0.06026992,0.4725278,-7.503807,-0.3884897,-0.3839408,0.3463024,7928
1.42,-20.1853,0,0,0.1833364,-0.0627359,-0.6267089,-6.421377,-0.5234499,-0.4665371,-0.03766418,7928
1.44,-9.626814,0,0,0.1963013,-0.04152663,0.8389403,-6.87084,-0.3884897,-0.3772637,0.4964738,7948
1.46,-15.33185,0,0,0.192267,-0.0378139,-0.6877776,-6.104314,-0.4559698,-0.4088684,0.296849,7936
1.48,-17.14455,0,0,0.2249002,-0.01025021,1.449628,-6.263568,-0.4559698,-0.4136847,0.3970873,7936
1.5,-11.72846,0,0,0.220379,-0.002966672,-0.1686933,-6.545024,-0.3884897,-0.363714,0.5406723,7940
1.52,-24.14554,0,0,0.2370646,0.002551541,0.4114593,-6.246581,-0.5234499,-0.4587005,0.09545994,7944
1.54,-25.04758,0,0,0.2419592,0.003076509,0.8236728,-7.32076,-0.5234499,-0.4858766,-0.01753533,7940
1.56,-17.13979,0,0,0.2410462,-0.01193243,-0.6267089,-8.119657,-0.4559698,-0.4391006,0.1637663,7960
1.58,-21.57655,0,0,0.2607659,-0.01668173,0.9610775,-7.907287,-0.5234499,-0.4765076,0.05360663,7952
1.6,-15.44756,0,0,0.236182,-0.0290945,-0.2450293,-8.138115,-0.4559698,-0.4350152,0.1838583,7960
1.62,-20.73787,0,0,0.2482245,-0.0293386,-0.04655629,-7.706511,-0.5234499,-0.4749987,0.06520557,7956
1.64,-15.27036,0,0,0.2555564,-0.01931497,0.3198562,-7.968338,-0.4559698,-0.4297092,0.3352761,7960
1.66,-20.9353,0,0,0.2404977,-0.02685331,-0.183961,-7.557181,-0.5234499,-0.4745407,0.06226242,7964
1.68,-15.34809,0,0,0.2427945,-0.02315985,-0.07709067,-7.853913,-0.4559698,-0.4313836,0.3011185,7948
1.7,-8.920425,0,0,0.2446494,-0.01840624,0.1061156,-7.486428,-0.3884897,-0.364399,0.5863728,7948
1.72,-22.0859,0,0,0.2468706,-0.01084687,-0.1534266,-6.611373,-0.5234499,-0.4557444,0.1456826,7940
1.74,-17.93019,0,0,0.252353,0.002348214,0.5641309,-7.373027,-0.4559698,-0.4270039,0.3070646,7944
1.76,-22.98749,0,0,0.2349357,-0.01420872,-0.9473198,-7.422721,-0.5234499,-0.477779,-0.03720647,7956
1.78,-22.55318,0,0,0.2494704,-0.01703651,0.6862684,-8.002224,-0.5234499,-0.48872,-0.003524661,7948
1.8,-21.04986,0,0,0.2311025,-0.0370913,-0.2755641,-8.291948,-0.5234499,-0.4935077,-0.07062829,7956
1.82,-13.75926,0,0,0.2438135,-0.0382829,0.1061156,-8.354311,-0.4559698,-0.4357617,0.2874843,7952
1.84,-19.43709,0,0,0.2445782,-0.03685114,0.4114593,-7.665395,-0.5234499,-0.4731634,0.1378918,7956
1.86,-20.40248,0,0,0.2383303,-0.03287926,-0.09235785,-7.763834,-0.5234499,-0.4841976,0.1129965,7944
1.88,-8.181712,0,0,0.2508384,-0.02066931,0.1824515,-7.951037,-0.3884897,-0.3758696,0.6553087,7956
1.9,-20.47165,0,0,0.2471372,-0.01803423,0.2129859,-6.845449,-0.5234499,-0.4568261,0.216104,7944
1.92,-22.87632,0,0,0.27719,0.008240134,0.5030622,-7.437801,-0.5234499,-0.4760261,0.2543723,7956
1.94,-22.4278,0,0,0.253679,-0.005698889,-1.023656,-8.020481,-0.5234499,-0.4873562,0.06438047,7960
1.96,-14.9794,0,0,0.2345176,-0.02785657,-0.2755641,-8.298687,-0.4559698,-0.4380474,0.2110341,7956
1.98,-19.97128,0,0,0.2349928,-0.03822225,-0.2908313,-7.729247,-0.5234499,-0.4769379,0.05146611,7948
2,-14.46153,0,0,0.2377465,-0.03233127,-0.3519,-7.852391,-0.4559698,-0.4312035,0.322093,7944
