Tiempo,ControlPWM,ReferenciaPosicion,ReferenciaTheta,ThetaMedido,ThetaObservado,OmegaMedido,OmegaObservado,PosicionMedido,PosicionObservado,VelocidadObservado,TiempoTranscurrido
0,-70.67381,0,0,0.005902382,-0.03095611,0.06031401,-0.08909786,-0.7933693,-0.6423002,-2.812122,0
0.02,-60.93241,0,0,0.00789058,-0.09028471,0.2282531,-7.288895,-0.7258892,-0.7601679,-2.899433,7824
0.04,-48.75784,0,0,0.008519609,-0.2209082,0.1519171,-11.08397,-0.7933693,-0.8333024,-2.867079,7968
0.06,-33.38328,0,0,-0.05620644,-0.3570267,-5.87862,-12.14655,-0.7933693,-0.8400662,-2.515454,7952
0.08,-20.61182,0,0,-0.2806259,-0.538369,-9.496941,-10.61459,-0.7933693,-0.8490695,-2.577605,7944
0.1,-5.124413,0,0,-0.4191941,-0.6472231,-6.336635,-7.832315,-0.7258892,-0.786234,-1.804219,7940
0.12,-6.485,0,0,-0.4310181,-0.6410289,0.8542075,-4.334839,-0.7933693,-0.798422,-0.9656915,7944
0.14,-7.335642,0,0,-0.3710438,-0.5480312,3.617567,-2.304688,-0.7933693,-0.7777458,0.07143652,7960
0.16,-4.344421,0,0,-0.2250919,-0.3938826,7.480164,-1.46956,-0.7258892,-0.6925251,1.345031,7960
0.18,-8.879177,0,0,-0.1448646,-0.2726134,4.075583,-0.8903643,-0.7258892,-0.6650823,1.733833,7952
0.2,-8.561119,0,0,-0.02407459,-0.1492611,4.930544,-1.340718,-0.6584091,-0.5966753,2.256947,7956
0.22,-19.70137,0,0,0.04952666,-0.07072164,3.938178,-1.869062,-0.7258892,-0.6369085,1.923401,7964
0.24,-30.17949,0,0,0.1166966,-0.0232004,3.480163,-3.575419,-0.7933693,-0.7072048,1.428769,7968
0.26,-31.32669,0,0,0.1468369,-0.0236197,0.7778715,-5.878659,-0.7933693,-0.7336996,1.026508,7964
0.28,-23.35714,0,0,0.1280688,-0.06964257,-1.588542,-7.473853,-0.7258892,-0.6951771,0.827868,7964
0.3,-26.85033,0,0,0.1030236,-0.1248126,-1.954954,-7.651071,-0.7933693,-0.7431839,0.3556222,7964
0.32,-19.07683,0,0,0.0235441,-0.1934318,-3.130527,-7.87462,-0.7258892,-0.710677,0.2229266,7944
0.34,-22.85249,0,0,0.02865411,-0.2182701,-0.01602192,-7.231156,-0.7933693,-0.7494994,0.1595013,7948
0.36,-22.46497,0,0,0.01511729,-0.2277444,0.2129859,-7.136524,-0.7933693,-0.7580847,0.2077107,7944
0.38,-21.61204,0,0,0.02619961,-0.223094,-0.2450293,-7.060705,-0.7933693,-0.7558427,0.3672273,7944
0.4,-15.11703,0,0,0.0251118,-0.2167924,0.4572606,-6.915583,-0.7258892,-0.6990688,0.689916,7964
0.42,-15.14814,0,0,0.01357022,-0.2136117,-0.09235785,-6.131064,-0.7258892,-0.6844281,0.7359109,7944
0.44,-16.6712,0,0,0.02822567,-0.1917994,0.6099325,-5.653275,-0.7258892,-0.6782737,0.8351595,7948
0.46,-18.10168,0,0,0.01584758,-0.1837504,-0.04655629,-5.462712,-0.7258892,-0.6804473,0.7516299,7944
0.48,-19.02019,0,0,0.02708877,-0.1724944,0.07558119,-5.515217,-0.7258892,-0.6809852,0.7536977,7952
0.5,-19.54388,0,0,0.02758548,-0.1694527,0.2435202,-5.649165,-0.7258892,-0.6828231,0.6961293,7960
0.52,-19.70232,0,0,0.0249401,-0.1723919,-0.06182348,-5.785586,-0.7258892,-0.6849127,0.6338963,7944
0.54,-19.57586,0,0,0.01639413,-0.1807001,0.1213828,-5.867867,-0.7258892,-0.6872168,0.5660459,7964
0.56,-25.41391,0,0,0.02324414,-0.1843309,0.1213828,-5.93224,-0.7933693,-0.7412436,0.345619,7964
0.58,-19.07277,0,0,0.03029876,-0.1840671,0.1519171,-6.578217,-0.7258892,-0.7000085,0.5812772,7960
0.6,-23.8687,0,0,0.02732249,-0.1941241,-0.3519,-6.364745,-0.7933693,-0.7432784,0.3645273,7960
0.62,-17.80602,0,0,0.0343954,-0.1912046,0.304589,-6.717571,-0.7258892,-0.6983886,0.6357114,7944
0.64,-23.0647,0,0,0.02126179,-0.2014268,0.07558119,-6.309447,-0.7933693,-0.7422041,0.3887335,7948
0.66,-17.32749,0,0,0.02808928,-0.1959625,0.4572606,-6.578599,-0.7258892,-0.6975292,0.6651834,7940
0.68,-22.82845,0,0,0.01874138,-0.2019909,-0.1686933,-6.159174,-0.7933693,-0.7410597,0.4317762,7960
0.7,-23.23785,0,0,0.02241427,-0.1995655,0.1061156,-6.444303,-0.7933693,-0.7519158,0.4431626,7944
0.72,-16.42947,0,0,0.01294209,-0.2056403,0.2129859,-6.643823,-0.7258892,-0.7011482,0.6566662,7944
0.74,-21.90861,0,0,0.01714142,-0.2067961,0.1061156,-6.103072,-0.7933693,-0.7402098,0.5020645,7944
0.76,-16.72895,0,0,0.02922851,-0.1929329,0.4419934,-6.324275,-0.7258892,-0.6941534,0.7876018,7940
0.78,-22.73817,0,0,0.02541164,-0.1923107,-0.03128911,-5.948107,-0.7933693,-0.737613,0.5464601,7944
0.8,-17.50111,0,0,0.03466818,-0.1824123,0.1366499,-6.325677,-0.7258892,-0.6940566,0.783588,7956
0.82,-17.2965,0,0,0.03558642,-0.1802893,0.304589,-6.053637,-0.7258892,-0.6828558,0.7869198,7952
0.84,-12.11662,0,0,0.03180466,-0.1743605,0.06031401,-5.835956,-0.6584091,-0.6265511,0.9890126,7956
0.86,-19.17315,0,0,0.02723011,-0.170573,0.2740546,-5.16258,-0.7258892,-0.6678562,0.7211823,7968
0.88,-20.93283,0,0,0.0368182,-0.1584077,0.2587874,-5.456735,-0.7258892,-0.6795532,0.6761773,7960
0.9,-27.00877,0,0,0.03115456,-0.1657784,0.04504682,-5.826255,-0.7933693,-0.7402624,0.3321715,7960
0.92,-20.2471,0,0,0.03805523,-0.1721654,0.1671843,-6.698131,-0.7258892,-0.7013585,0.5328867,7952
0.94,-24.41739,0,0,0.01830949,-0.1974745,-0.6725109,-6.543423,-0.7933693,-0.7473983,0.2394282,7952
0.96,-17.78371,0,0,0.02502305,-0.2011795,0.7473372,-6.865272,-0.7258892,-0.701938,0.5382698,7936
0.98,-22.74048,0,0,0.01238461,-0.21273,-0.183961,-6.377384,-0.7933693,-0.7444015,0.3282325,7952
1,-16.96347,0,0,0.02428481,-0.2033921,0.1366499,-6.57627,-0.7258892,-0.6979643,0.6540066,7948
1.02,-16.6148,0,0,0.02221985,-0.1997324,0.1061156,-6.121466,-0.7258892,-0.6851832,0.7045726,7948
1.04,-17.4497,0,0,0.01438373,-0.1952235,0.01451245,-5.762455,-0.7258892,-0.6830489,0.6918535,7940
1.06,-24.28238,0,0,0.01504985,-0.1909624,0.1519171,-5.617453,-0.7933693,-0.7376665,0.4490025,7956
1.08,-18.54284,0,0,0.0172006,-0.1877788,0.06031401,-6.21389,-0.7258892,-0.6982611,0.6483191,7960
