Tiempo,ControlPWM,ThetaSimulado,ThetaObservado,OmegaSimulado,OmegaObservado,PosicionSimulado,PosicionObservado,VelocidadSimulado,VelocidadObservado
0,1010,0,0,0,0,0,0,0,0
0.0001,1008.70846097275,3.10256552764217e-05,3.10256552764217e-05,0.620194773448406,0.620194773448406,3.16268875e-11,3.16268875e-11,1.25416241294728e-06,1.25416241294728e-06
0.0002,1007.41773686618,0.000123975334337089,0.000123975334337089,1.23848093630685,1.23848093630685,4.99537103869683e-10,4.99537103869683e-10,9.9479612522607e-06,9.9479612522607e-06
0.0003,1006.12782965162,0.000278658314307072,0.000278658314307072,1.85486125223071,1.85486125223071,2.51014640740526e-09,2.51014640740526e-09,3.32887175909054e-05,3.32887175909054e-05
0.0004,1004.83874129281,0.000494884148669029,0.000494884148669029,2.46933848471472,2.46933848471472,7.87821272045027e-09,7.87821272045027e-09,7.82371989555639e-05,7.82371989555639e-05
0.0005,1003.55047374591,0.000772462667246657,0.000772462667246657,3.08191539708339,3.08191539708339,1.91025506325366e-08,1.91025506325366e-08,0.00015151497966424,0.00015151497966424
0.0006,1002.26302895947,0.0011112039761872,0.0011112039761872,3.69259475248143,3.69259475248143,3.93424710024205e-08,3.93424710024205e-08,0.000259611583554674,0.000259611583554674
0.0007,1000.97640887452,0.00151091845794298,0.00151091845794298,4.30137931386425,4.30137931386425,7.23949242212655e-08,7.23949242212655e-08,0.000408791415534831,0.000408791415534831
0.0008,999.690615424521,0.00197141677125199,0.00197141677125199,4.90827184398839,4.90827184398839,1.226723263328e-07,1.226723263328e-07,0.000605100488196664,0.000605100488196664
0.0009,998.405650535384,0.00249250985111756,0.00249250985111756,5.51327510540204,5.51327510540204,1.9518104782113e-07,1.9518104782113e-07,0.000854372949549879,0.000854372949549879
0.001,997.121516125505,0.00307400890878701,0.00307400890878701,6.11639186043562,6.11639186043562,2.95500545473558e-07,2.95500545473558e-07,0.00116223741775345,0.00116223741775345
0.0011,995.838214105759,0.00371572543172943,0.00371572543172943,6.71762487119228,6.71762487119228,4.29763118304817e-07,4.29763118304817e-07,0.0015341231285489,0.0015341231285489
0.0012,994.55574637952,0.00441747118361246,0.00441747118361246,7.31697689953853,7.31697689953853,6.04634269091049e-07,6.04634269091049e-07,0.00197526590093078,0.00197526590093078
0.0013,993.274114842666,0.00517905820427817,0.00517905820427817,7.91445070709482,7.91445070709482,8.27293653607183e-07,8.27293653607183e-07,0.00249071392642623,0.00249071392642623
0.0014,991.993321383598,0.00600029880971798,0.00600029880971798,8.51004905522617,8.51004905522617,1.10541660019058e-06,1.10541660019058e-06,0.00308533338719666,0.00308533338719666
0.0015,990.713367883246,0.00688100559204666,0.00688100559204666,9.10377470503285,9.10377470503285,1.44715618276737e-06,1.44715618276737e-06,0.00376381390802061,0.00376381390802061
0.0016,989.434256215085,0.00782099141947538,0.00782099141947538,9.69563041734104,9.69563041734104,1.86112583097629e-06,1.86112583097629e-06,0.00453067384706724,0.00453067384706724
0.0017,988.155988245145,0.00882006943628382,0.00882006943628382,10.2856189526936,10.2856189526936,2.35638246150857e-06,2.35638246150857e-06,0.00539026543022492,0.00539026543022492
0.0018,986.878565832022,0.0098780530627914,0.0098780530627914,10.8737430713406,10.8737430713406,2.94241011525154e-06,2.94241011525154e-06,0.00634677973360843,0.00634677973360843
0.0019,985.601990826892,0.0109947559953276,0.0109947559953276,11.4600055332305,11.4600055332305,3.62910408527952e-06,3.62910408527952e-06,0.0074042515187318,0.0074042515187318
0.002,984.326265073521,0.012169992206201,0.012169992206201,12.0444090980003,12.0444090980003,4.42675552117717e-06,4.42675552117717e-06,0.00856656392470108,0.00856656392470108
0.0021,983.051390408279,0.0134035759436684,0.0134035759436684,12.6269565249669,12.6269565249669,5.34603649560973e-06,5.34603649560973e-06,0.00983745302165267,0.00983745302165267
0.0022,981.777368660149,0.0146953217319015,0.0146953217319015,13.2076505731178,13.2076505731178,6.39798551947074e-06,6.39798551947074e-06,0.011220512229538,0.011220512229538
