Tiempo,ControlPWM,ThetaSimulado,ThetaObservado,OmegaSimulado,OmegaObservado,PosicionSimulado,PosicionObservado,VelocidadSimulado,VelocidadObservado
3.444,0.516784602374525,0.026352001543117,0.026352001543117,-0.143373505666706,-0.143373505666706,0.13136150815434,0.13136150815434,-0.685400141264308,-0.685400141264308
3.4441,0.516503638786764,0.0263376680959566,0.0263376680959566,-0.143295444629537,-0.143295444629537,0.131292985737419,0.131292985737419,-0.685048226575301,-0.685048226575301
3.4442,0.51622282775503,0.0263233424527737,0.0263233424527737,-0.14321742611177,-0.14321742611177,0.131224498503143,0.131224498503143,-0.68469648835181,-0.68469648835181
3.4443,0.515942169196814,0.0263090246093177,0.0263090246093177,-0.143139450090477,-0.143139450090477,0.13115604643387,0.13115604643387,-0.684344926508569,-0.684344926508569
3.4444,0.515661663029663,0.0262947145613399,0.0262947145613399,-0.143061516542743,-0.143061516542743,0.131087629511965,0.131087629511965,-0.683993540960353,-0.683993540960353
3.4445,0.515381309171165,0.0262804123045941,0.0262804123045941,-0.142983625445666,-0.142983625445666,0.131019247719804,0.131019247719804,-0.683642331621975,-0.683642331621975
3.4446,0.515101107538944,0.0262661178348365,0.0262661178348365,-0.142905776776353,-0.142905776776353,0.13095090103977,0.13095090103977,-0.683291298408283,-0.683291298408283
3.4447,0.514821058050686,0.0262518311478253,0.0262518311478253,-0.142827970511924,-0.142827970511924,0.130882589454254,0.130882589454254,-0.68294044123417,-0.68294044123417
3.4448,0.514541160624102,0.0262375522393213,0.0262375522393213,-0.142750206629511,-0.142750206629511,0.130814312945658,0.130814312945658,-0.682589760014563,-0.682589760014563
3.4449,0.514261415176959,0.0262232811050875,0.0262232811050875,-0.142672485106257,-0.142672485106257,0.130746071496389,0.130746071496389,-0.682239254664429,-0.682239254664429
3.445,0.51398182162707,0.0262090177408889,0.0262090177408889,-0.142594805919316,-0.142594805919316,0.130677865088865,0.130677865088865,-0.681888925098775,-0.681888925098775
3.4451,0.51370237989228,0.0261947621424931,0.0261947621424931,-0.142517169045856,-0.142517169045856,0.130609693705513,0.130609693705513,-0.681538771232645,-0.681538771232645
3.4452,0.513423089890489,0.02618051430567,0.02618051430567,-0.142439574463055,-0.142439574463055,0.130541557328765,0.130541557328765,-0.681188792981122,-0.681188792981122
3.4453,0.513143951539643,0.0261662742261916,0.0261662742261916,-0.142362022148102,-0.142362022148102,0.130473455941065,0.130473455941065,-0.680838990259329,-0.680838990259329
3.4454,0.512864964757721,0.0261520418998322,0.0261520418998322,-0.1422845120782,-0.1422845120782,0.130405389524865,0.130405389524865,-0.680489362982426,-0.680489362982426
3.4455,0.512586129462761,0.0261378173223686,0.0261378173223686,-0.142207044230561,-0.142207044230561,0.130337358062624,0.130337358062624,-0.680139911065613,-0.680139911065613
3.4456,0.51230744557283,0.0261236004895795,0.0261236004895795,-0.142129618582411,-0.142129618582411,0.130269361536809,0.130269361536809,-0.679790634424126,-0.679790634424126
3.4457,0.512028913006047,0.0261093913972462,0.0261093913972462,-0.142052235110985,-0.142052235110985,0.130201399929899,0.130201399929899,-0.679441532973244,-0.679441532973244
3.4458,0.511750531680576,0.0260951900411521,0.0260951900411521,-0.141974893793532,-0.141974893793532,0.130133473224378,0.130133473224378,-0.67909260662828,-0.67909260662828
3.4459,0.511472301514624,0.0260809964170831,0.0260809964170831,-0.141897594607312,-0.141897594607312,0.130065581402739,0.130065581402739,-0.678743855304588,-0.678743855304588
3.446,0.511194222426441,0.0260668105208271,0.0260668105208271,-0.141820337529596,-0.141820337529596,0.129997724447486,0.129997724447486,-0.678395278917561,-0.678395278917561
3.4461,0.510916294334324,0.0260526323481743,0.0260526323481743,-0.141743122537667,-0.141743122537667,0.129929902341127,0.129929902341127,-0.67804687738263,-0.67804687738263
3.4462,0.510638517156607,0.0260384618949174,0.0260384618949174,-0.14166594960882,-0.14166594960882,0.129862115066184,0.129862115066184,-0.677698650615262,-0.677698650615262
3.4463,0.510360890811677,0.0260242991568512,0.0260242991568512,-0.141588818720361,-0.141588818720361,0.129794362605182,0.129794362605182,-0.677350598530967,-0.677350598530967
3.4464,0.510083415217963,0.0260101441297728,0.0260101441297728,-0.141511729849607,-0.141511729849607,0.129726644940657,0.129726644940657,-0.677002721045289,-0.677002721045289
3.4465,0.509806090293928,0.0259959968094815,0.0259959968094815,-0.141434682973889,-0.141434682973889,0.129658962055155,0.129658962055155,-0.676655018073815,-0.676655018073815
3.4466,0.509528915958089,0.0259818571917789,0.0259818571917789,-0.141357678070546,-0.141357678070546,0.129591313931228,0.129591313931228,-0.676307489532167,-0.676307489532167
3.4467,0.50925189212901,0.025967725272469,0.025967725272469,-0.141280715116933,-0.141280715116933,0.129523700551437,0.129523700551437,-0.675960135336006,-0.675960135336006
3.4468,0.508975018725287,0.025953601047358,0.025953601047358,-0.141203794090412,-0.141203794090412,0.129456121898352,0.129456121898352,-0.675612955401032,-0.675612955401032
3.4469,0.508698295665571,0.0259394845122541,0.0259394845122541,-0.14112691496836,-0.14112691496836,0.129388577954551,0.129388577954551,-0.675265949642984,-0.675265949642984
3.447,0.508421722868555,0.0259253756629682,0.0259253756629682,-0.141050077728165,-0.141050077728165,0.129321068702621,0.129321068702621,-0.674919117977638,-0.674919117977638
3.4471,0.508145300252961,0.0259112744953132,0.0259112744953132,-0.140973282347224,-0.140973282347224,0.129253594125156,0.129253594125156,-0.67457246032081,-0.67457246032081
3.4472,0.507869027737579,0.0258971810051042,0.0258971810051042,-0.140896528802948,-0.140896528802948,0.129186154204759,0.129186154204759,-0.674225976588353,-0.674225976588353
3.4473,0.507592905241228,0.0258830951881588,0.0258830951881588,-0.14081981707276,-0.14081981707276,0.129118748924043,0.129118748924043,-0.673879666696158,-0.673879666696158
3.4474,0.507316932682768,0.0258690170402966,0.0258690170402966,-0.140743147134092,-0.140743147134092,0.129051378265628,0.129051378265628,-0.673533530560157,-0.673533530560157
3.4475,0.507041109981113,0.0258549465573397,0.0258549465573397,-0.140666518964391,-0.140666518964391,0.128984042212142,0.128984042212142,-0.673187568096316,-0.673187568096316
3.4476,0.506765437055218,0.0258408837351122,0.0258408837351122,-0.140589932541112,-0.140589932541112,0.128916740746222,0.128916740746222,-0.672841779220644,-0.672841779220644
3.4477,0.506489913824073,0.0258268285694407,0.0258268285694407,-0.140513387841724,-0.140513387841724,0.128849473850515,0.128849473850515,-0.672496163849184,-0.672496163849184
3.4478,0.506214540206726,0.0258127810561538,0.0258127810561538,-0.140436884843707,-0.140436884843707,0.128782241507672,0.128782241507672,-0.67215072189802,-0.67215072189802
3.4479,0.50593931612225,0.0257987411910826,0.0257987411910826,-0.140360423524551,-0.140360423524551,0.128715043700357,0.128715043700357,-0.671805453283274,-0.671805453283274
3.448,0.505664241489784,0.0257847089700603,0.0257847089700603,-0.14028400386176,-0.14028400386176,0.12864788041124,0.12864788041124,-0.671460357921105,-0.671460357921105
3.4481,0.50538931622849,0.0257706843889225,0.0257706843889225,-0.140207625832848,-0.140207625832848,0.128580751623001,0.128580751623001,-0.671115435727711,-0.671115435727711
3.4482,0.505114540257587,0.0257566674435067,0.0257566674435067,-0.140131289415341,-0.140131289415341,0.128513657318325,0.128513657318325,-0.670770686619329,-0.670770686619329
3.4483,0.504839913496335,0.0257426581296531,0.0257426581296531,-0.140054994586775,-0.140054994586775,0.12844659747991,0.12844659747991,-0.670426110512232,-0.670426110512232
3.4484,0.504565435864032,0.0257286564432038,0.0257286564432038,-0.1399787413247,-0.1399787413247,0.128379572090459,0.128379572090459,-0.670081707322733,-0.670081707322733
3.4485,0.504291107280025,0.0257146623800034,0.0257146623800034,-0.139902529606676,-0.139902529606676,0.128312581132684,0.128312581132684,-0.669737476967182,-0.669737476967182
3.4486,0.504016927663704,0.0257006759358984,0.0257006759358984,-0.139826359410275,-0.139826359410275,0.128245624589307,0.128245624589307,-0.669393419361969,-0.669393419361969
3.4487,0.503742896934497,0.025686697106738,0.025686697106738,-0.139750230713079,-0.139750230713079,0.128178702443056,0.128178702443056,-0.669049534423519,-0.669049534423519
3.4488,0.503469015011884,0.0256727258883733,0.0256727258883733,-0.139674143492685,-0.139674143492685,0.12811181467667,0.12811181467667,-0.668705822068299,-0.668705822068299
3.4489,0.503195281815378,0.0256587622766577,0.0256587622766577,-0.139598097726697,-0.139598097726697,0.128044961272893,0.128044961272893,-0.668362282212811,-0.668362282212811
3.449,0.502921697264547,0.0256448062674469,0.0256448062674469,-0.139522093392735,-0.139522093392735,0.12797814221448,0.12797814221448,-0.668018914773595,-0.668018914773595
3.4491,0.502648261278994,0.0256308578565988,0.0256308578565988,-0.139446130468425,-0.139446130468425,0.127911357484193,0.127911357484193,-0.667675719667232,-0.667675719667232
3.4492,0.502374973778368,0.0256169170399736,0.0256169170399736,-0.139370208931411,-0.139370208931411,0.127844607064805,0.127844607064805,-0.667332696810339,-0.667332696810339
3.4493,0.502101834682358,0.0256029838134337,0.0256029838134337,-0.139294328759343,-0.139294328759343,0.127777890939093,0.127777890939093,-0.66698984611957,-0.66698984611957
3.4494,0.501828843910708,0.0255890581728436,0.0255890581728436,-0.139218489929885,-0.139218489929885,0.127711209089845,0.127711209089845,-0.666647167511618,-0.666647167511618
3.4495,0.501556001383188,0.0255751401140704,0.0255751401140704,-0.139142692420712,-0.139142692420712,0.127644561499857,0.127644561499857,-0.666304660903216,-0.666304660903216
3.4496,0.501283307019625,0.0255612296329829,0.0255612296329829,-0.13906693620951,-0.13906693620951,0.127577948151933,0.127577948151933,-0.665962326211131,-0.665962326211131
3.4497,0.501010760739881,0.0255473267254526,0.0255473267254526,-0.138991221273977,-0.138991221273977,0.127511369028887,0.127511369028887,-0.665620163352172,-0.665620163352172
3.4498,0.500738362463867,0.025533431387353,0.025533431387353,-0.138915547591823,-0.138915547591823,0.127444824113538,0.127444824113538,-0.665278172243183,-0.665278172243183
