Tiempo,ControlPWM,ThetaMedido,ThetaEstimado,VelocidadMedida,VelocidadEstimada
1.96,0,-0.01187102,-0.0004511736,-3.923666,0.9757499
1.98,0,-0.0116263,-0.01182421,-3.923666,0.06647062
2,0,-0.01256253,-0.0125355,-3.938933,0.09086266
2.02,200,-0.02007886,-0.03156809,-3.877864,42.92442
2.04,200,-0.04356714,0.7937549,-1.969466,109.3825
2.06,200,0.766404,2.905806,43.6336,205.3513
2.08,200,2.122849,4.848741,64.54964,241.5564
2.1,200,3.501015,5.954757,62.82445,210.552
2.12,200,4.418507,5.919601,48.73284,129.6636
2.14,200,5.357505,6.959239,42.5191,130.9081
2.16,200,5.776157,6.307364,20.16795,44.32922
2.18,200,5.889531,6.039058,2.106871,13.7343
2.2,200,5.972435,6.129598,3.511451,13.75192
2.22,200,6.037241,6.149361,0.503817,9.775606
2.24,200,6.092245,6.187005,0.8244278,8.031767
2.26,200,6.1117,6.139498,-1.038168,2.664262
2.28,200,6.127364,6.159244,-1.67939,2.873627
2.3,200,6.150299,6.191994,-2.717558,3.478144
2.32,200,6.143415,6.127286,-2.534352,-0.9900336
2.34,200,6.108311,6.055037,-4.396948,-3.642392
2.36,200,6.095407,6.093773,-4.076337,0.4830122
2.38,200,6.085389,6.08026,-3.664123,0.2798557
2.4,200,6.059461,6.028369,-3.770993,-1.564835
2.42,200,6.029943,6.00142,-4.015268,-1.155092
2.44,200,6.012401,6.008669,-4.06107,0.9051224
2.46,200,5.996625,5.993484,-3.893131,1.062199
2.48,200,5.988317,6.000446,-3.847329,2.313753
2.5,200,5.975089,5.976635,-3.893131,1.580234
2.52,200,5.958655,5.958544,-3.9542,1.567084
2.54,200,5.945735,5.954482,-3.877864,2.350315
2.56,200,5.943431,5.970944,-3.832062,3.832247
2.58,200,5.934064,5.945652,-3.877864,2.654237
2.6,200,5.926945,5.947029,-3.9542,3.368412
2.62,200,5.919207,5.937496,-3.9542,3.282727
2.64,200,5.913144,5.935843,-3.893131,3.669976
2.66,200,5.912082,5.943569,-3.938933,4.363835
2.68,200,5.908,5.932532,-3.984734,3.849364
2.7,200,5.911409,5.951136,-3.9542,5.012194
2.72,200,5.907566,5.930952,-3.923666,3.762744
2.74,200,5.899572,5.919474,-3.938933,3.54727
2.76,200,5.902758,5.944216,-3.877864,5.208681
2.78,200,5.894666,5.911434,-3.893131,3.336893
2.8,200,5.892923,5.927008,-4.030536,4.702253
2.82,200,5.891,5.921527,-3.908398,4.437644
2.84,200,5.874679,5.880792,-3.969467,2.645967
2.86,200,5.862908,5.884282,-3.923666,3.921579
