Tiempo,ControlPWM,Plataforma,Posicion,Error,TiempoTranscurrido
0,3.319942,-0.008829497,-0.1185694,0.1185694,0
0.02,3.319942,-0.02089766,-0.1185694,0.1185694,6880
0.04,3.319942,-0.02191075,-0.1185694,0.1185694,6884
0.06,-0.4589424,-0.01989653,0.0163908,-0.0163908,6892
0.08,1.4305,-0.02182522,-0.05108929,0.05108929,6912
0.1,3.319942,-0.02618777,-0.1185694,0.1185694,6904
0.12,5.209385,-0.02558442,-0.1860495,0.1860495,6912
0.14,3.319942,-0.0262306,-0.1185694,0.1185694,6912
0.16,3.319942,-0.02007457,-0.1185694,0.1185694,6912
0.18,1.4305,-0.02224087,-0.05108929,0.05108929,6904
0.2,1.4305,-0.0196356,-0.05108929,0.05108929,6912
0.22,3.319942,-0.02395635,-0.1185694,0.1185694,6904
0.24,1.4305,-0.01622633,-0.05108929,0.05108929,6908
0.26,3.319942,-0.02955121,-0.1185694,0.1185694,6912
0.28,3.319942,-0.0258186,-0.1185694,0.1185694,6900
0.3,3.319942,-0.02090037,-0.1185694,0.1185694,6900
0.32,1.4305,-0.02481383,-0.05108929,0.05108929,6912
0.34,3.319942,-0.02640376,-0.1185694,0.1185694,6908
0.36,3.319942,-0.02436964,-0.1185694,0.1185694,6904
0.38,3.319942,-0.02365213,-0.1185694,0.1185694,6896
0.4,3.319942,-0.02825751,-0.1185694,0.1185694,6900
0.42,3.319942,-0.03164056,-0.1185694,0.1185694,6892
0.44,3.319942,-0.03037266,-0.1185694,0.1185694,6892
0.46,1.4305,-0.0224769,-0.05108929,0.05108929,6908
0.48,3.319942,-0.0242671,-0.1185694,0.1185694,6920
0.5,3.319942,-0.02855705,-0.1185694,0.1185694,6920
0.52,3.319942,-0.03424762,-0.1185694,0.1185694,6896
0.54,3.319942,-0.03369123,-0.1185694,0.1185694,6908
0.56,3.319942,-0.03927917,-0.1185694,0.1185694,6904
0.58,3.319942,-0.04335236,-0.1185694,0.1185694,6900
0.6,3.319942,-0.0348314,-0.1185694,0.1185694,6884
0.62,3.319942,-0.02716499,-0.1185694,0.1185694,6908
0.64,3.319942,-0.03237014,-0.1185694,0.1185694,6776
0.66,3.319942,-0.03975228,-0.1185694,0.1185694,6888
0.68,3.319942,-0.04497989,-0.1185694,0.1185694,6888
0.7,3.319942,-0.04261702,-0.1185694,0.1185694,6892
0.72,3.319942,-0.0335537,-0.1185694,0.1185694,6896
0.74,3.319942,-0.04056922,-0.1185694,0.1185694,6772
0.76,3.319942,-0.04334718,-0.1185694,0.1185694,6896
0.78,3.319942,-0.04747199,-0.1185694,0.1185694,6888
0.8,3.319942,-0.04689183,-0.1185694,0.1185694,6888
0.82,1.4305,-0.04514904,-0.05108929,0.05108929,6896
0.84,3.319942,-0.04848709,-0.1185694,0.1185694,6912
0.86,1.4305,-0.04547507,-0.05108929,0.05108929,6912
0.88,-0.4589424,-0.04322188,0.0163908,-0.0163908,6912
0.9,3.319942,-0.05345324,-0.1185694,0.1185694,6908
0.92,3.319942,-0.05772834,-0.1185694,0.1185694,6896
0.94,3.319942,-0.06721105,-0.1185694,0.1185694,6892
0.96,3.319942,-0.05733487,-0.1185694,0.1185694,6884
0.98,3.319942,-0.06629436,-0.1185694,0.1185694,6916
1,3.319942,-0.07518186,-0.1185694,0.1185694,6892
1.02,3.319942,-0.07379153,-0.1185694,0.1185694,6888
1.04,3.319942,-0.07195765,-0.1185694,0.1185694,6908
1.06,3.319942,-0.07721582,-0.1185694,0.1185694,6892
1.08,3.319942,-0.06952886,-0.1185694,0.1185694,6896
1.1,3.319942,-0.05478497,-0.1185694,0.1185694,6912
1.12,3.319942,-0.05749492,-0.1185694,0.1185694,6912
1.14,3.319942,-0.04769965,-0.1185694,0.1185694,6888
1.16,3.319942,-0.04063461,-0.1185694,0.1185694,6908
1.18,3.319942,-0.03434984,-0.1185694,0.1185694,6912
1.2,3.319942,-0.03790797,-0.1185694,0.1185694,6908
1.22,3.319942,-0.04442413,-0.1185694,0.1185694,6892
1.24,3.319942,-0.04869591,-0.1185694,0.1185694,6900
1.26,3.319942,-0.04951238,-0.1185694,0.1185694,6896
1.28,3.319942,-0.05227292,-0.1185694,0.1185694,6896
1.3,3.319942,-0.04958205,-0.1185694,0.1185694,6896
1.32,3.319942,-0.04446927,-0.1185694,0.1185694,6908
1.34,3.319942,-0.04753873,-0.1185694,0.1185694,6908
1.36,3.319942,-0.04954947,-0.1185694,0.1185694,6900
1.38,3.319942,-0.05852488,-0.1185694,0.1185694,6896
1.4,3.319942,-0.04661289,-0.1185694,0.1185694,6896
1.42,3.319942,-0.04340243,-0.1185694,0.1185694,6904
1.44,3.319942,-0.04070336,-0.1185694,0.1185694,6908
1.46,3.319942,-0.03703618,-0.1185694,0.1185694,6904
1.48,3.319942,-0.04180017,-0.1185694,0.1185694,6916
1.5,1.4305,-0.03602129,-0.05108929,0.05108929,6888
1.52,3.319942,-0.03680596,-0.1185694,0.1185694,6924
1.54,3.319942,-0.0434166,-0.1185694,0.1185694,6900
1.56,3.319942,-0.03924949,-0.1185694,0.1185694,6896
1.58,3.319942,-0.04712632,-0.1185694,0.1185694,6908
1.6,3.319942,-0.04796906,-0.1185694,0.1185694,6888
1.62,1.4305,-0.03209304,-0.05108929,0.05108929,6900
1.64,1.4305,-0.03727724,-0.05108929,0.05108929,6916
1.66,5.209385,-0.03504685,-0.1860495,0.1860495,6892
1.68,1.4305,-0.04410414,-0.05108929,0.05108929,6908
1.7,3.319942,-0.04817596,-0.1185694,0.1185694,6896
1.72,3.319942,-0.06462267,-0.1185694,0.1185694,6896
1.74,3.319942,-0.07041325,-0.1185694,0.1185694,6896
1.76,3.319942,-0.06794114,-0.1185694,0.1185694,6892
1.78,3.319942,-0.06036116,-0.1185694,0.1185694,6892
1.8,3.319942,-0.0547326,-0.1185694,0.1185694,6904
1.82,3.319942,-0.0536031,-0.1185694,0.1185694,6908
1.84,1.4305,-0.05754334,-0.05108929,0.05108929,6900
1.86,3.319942,-0.05217008,-0.1185694,0.1185694,6904
1.88,3.319942,-0.04390776,-0.1185694,0.1185694,6912
1.9,3.319942,-0.04878975,-0.1185694,0.1185694,6904
1.92,1.4305,-0.05126478,-0.05108929,0.05108929,6892
1.94,3.319942,-0.05710962,-0.1185694,0.1185694,6916
1.96,3.319942,-0.06252068,-0.1185694,0.1185694,6896
1.98,3.319942,-0.05763949,-0.1185694,0.1185694,6904
2,3.319942,-0.06427619,-0.1185694,0.1185694,6904
2.02,3.319942,-0.06074163,-0.1185694,0.1185694,6904
2.04,3.319942,-0.05917423,-0.1185694,0.1185694,6904
2.06,3.319942,-0.06063488,-0.1185694,0.1185694,6896
2.08,3.319942,-0.0576931,-0.1185694,0.1185694,6904
2.1,1.4305,-0.05784032,-0.05108929,0.05108929,6896
2.12,3.319942,-0.05387627,-0.1185694,0.1185694,6908
2.14,3.319942,-0.05399221,-0.1185694,0.1185694,6908
2.16,3.319942,-0.05000141,-0.1185694,0.1185694,6900
2.18,3.319942,-0.04627782,-0.1185694,0.1185694,6900
2.2,3.319942,-0.04427853,-0.1185694,0.1185694,6904
2.22,3.319942,-0.05561664,-0.1185694,0.1185694,6896
2.24,3.319942,-0.06204859,-0.1185694,0.1185694,6896
2.26,3.319942,-0.05399427,-0.1185694,0.1185694,6896
2.28,3.319942,-0.05263226,-0.1185694,0.1185694,6904
2.3,3.319942,-0.06101494,-0.1185694,0.1185694,6904
2.32,1.4305,-0.07204726,-0.05108929,0.05108929,6892
2.34,3.319942,-0.06444663,-0.1185694,0.1185694,6900
2.36,1.4305,-0.05911288,-0.05108929,0.05108929,6916
2.38,3.319942,-0.06149775,-0.1185694,0.1185694,6908
2.4,1.4305,-0.05992521,-0.05108929,0.05108929,6920
2.42,3.319942,-0.05583473,-0.1185694,0.1185694,6904
2.44,1.4305,-0.03882371,-0.05108929,0.05108929,6912
2.46,3.319942,-0.0390995,-0.1185694,0.1185694,6908
2.48,1.4305,-0.04318571,-0.05108929,0.05108929,6912
2.5,1.4305,-0.04584135,-0.05108929,0.05108929,6896
2.52,1.4305,-0.04181342,-0.05108929,0.05108929,6896
2.54,3.319942,-0.06899033,-0.1185694,0.1185694,6900
2.56,3.319942,-0.06453542,-0.1185694,0.1185694,6912
2.58,3.319942,-0.06205415,-0.1185694,0.1185694,6900
2.6,3.319942,-0.06538119,-0.1185694,0.1185694,6912
2.62,5.209385,-0.06653201,-0.1860495,0.1860495,6900
2.64,3.319942,-0.07273927,-0.1185694,0.1185694,6908
2.66,3.319942,-0.04868595,-0.1185694,0.1185694,6908
2.68,1.4305,-0.0671871,-0.05108929,0.05108929,6908
2.7,1.4305,-0.05309906,-0.05108929,0.05108929,6908
2.72,1.4305,-0.05175202,-0.05108929,0.05108929,6900
2.74,3.319942,-0.04550295,-0.1185694,0.1185694,6904
2.76,3.319942,-0.04124638,-0.1185694,0.1185694,6920
2.78,1.4305,-0.04474718,-0.05108929,0.05108929,6912
2.8,1.4305,-0.04674301,-0.05108929,0.05108929,6916
2.82,3.319942,-0.04675011,-0.1185694,0.1185694,6888
2.84,1.4305,-0.04265945,-0.05108929,0.05108929,6908
2.86,3.319942,-0.0427529,-0.1185694,0.1185694,6920
2.88,1.4305,-0.03958205,-0.05108929,0.05108929,6912
2.9,3.319942,-0.04131578,-0.1185694,0.1185694,6912
2.92,1.4305,-0.05514045,-0.05108929,0.05108929,6908
2.94,3.319942,-0.05397855,-0.1185694,0.1185694,6900
2.96,3.319942,-0.05760565,-0.1185694,0.1185694,6928
2.98,3.319942,-0.06569038,-0.1185694,0.1185694,6892
3,5.209385,-0.06409708,-0.1860495,0.1860495,6900
3.02,3.319942,-0.05151589,-0.1185694,0.1185694,6916
3.04,1.4305,-0.04856819,-0.05108929,0.05108929,6920
3.06,3.319942,-0.05446784,-0.1185694,0.1185694,6908
3.08,3.319942,-0.04443689,-0.1185694,0.1185694,6912
3.1,3.319942,-0.0248467,-0.1185694,0.1185694,6908
3.12,3.319942,-0.04068641,-0.1185694,0.1185694,6900
3.14,3.319942,-0.03431396,-0.1185694,0.1185694,6896
3.16,3.319942,-0.03589836,-0.1185694,0.1185694,6772
3.18,3.319942,-0.03755156,-0.1185694,0.1185694,6892
3.2,3.319942,-0.03477784,-0.1185694,0.1185694,6896
3.22,3.319942,-0.03358354,-0.1185694,0.1185694,6900
3.24,3.319942,-0.02790307,-0.1185694,0.1185694,6896
3.26,3.319942,-0.02008461,-0.1185694,0.1185694,6904
3.28,3.319942,-0.01832821,-0.1185694,0.1185694,6896
3.3,3.319942,-0.01597254,-0.1185694,0.1185694,6908
3.32,3.319942,-0.01821005,-0.1185694,0.1185694,6916
3.34,3.319942,-0.01464275,-0.1185694,0.1185694,6896
3.36,3.319942,-0.004386716,-0.1185694,0.1185694,6908
3.38,3.319942,-0.00489711,-0.1185694,0.1185694,6900
3.4,3.319942,-0.001651578,-0.1185694,0.1185694,6908
3.42,1.4305,-0.006316893,-0.05108929,0.05108929,6924
3.44,3.319942,-0.004802011,-0.1185694,0.1185694,6924
3.46,3.319942,-0.006022833,-0.1185694,0.1185694,6932
3.48,-23.13223,0.01795838,0.8261509,-0.8261509,6916
3.5,-26.91108,-0.06388906,0.9611101,-0.9611101,6868
3.52,-62.81046,0.069931,2.243231,-2.243231,6852
3.54,-72.25764,0.3431934,2.58063,-2.58063,6760
3.56,-83.5943,0.5341402,2.985511,-2.985511,6728
3.58,-130.8303,0.8687059,4.67251,-4.67251,6736
3.6,-149.7247,1.332212,5.34731,-5.34731,6624
3.62,-168.6191,1.910733,6.02211,-6.02211,6608
3.64,-193.1818,2.392738,6.89935,-6.89935,6552
3.66,-185.624,2.882411,6.62943,-6.62943,6484
3.68,-210.1868,3.644674,7.50667,-7.50667,6508
3.7,-240.4178,4.262185,8.58635,-8.58635,6448
3.72,-213.9656,4.813889,7.64163,-7.64163,6372
3.74,-249.865,5.376251,8.92375,-8.92375,6448
3.76,-257.4228,5.864209,9.19367,-9.19367,6380
