Tiempo,ControlPWM,Plataforma,Posicion,Error,TiempoTranscurrido
1.86,-44.15721,4.929417,6.29203,-1.29203,6464
1.88,-19.93398,4.135172,5.54975,-0.5497503,6532
1.9,3.011307,3.381833,4.94243,0.0575695,6576
1.92,34.55613,2.592,3.99771,1.00229,6600
1.94,28.41753,2.006754,4.20015,0.7998495,6676
1.96,61.10951,1.28979,3.25543,1.74457,6644
1.98,96.94346,0.4037968,2.243231,2.756769,6708
2,84.0527,-0.2865335,2.58063,2.41937,6768
2.02,123.6318,-0.8538681,1.500951,3.499049,6752
2.04,118.9061,-1.489562,1.568431,3.431569,6804
2.06,154.8413,-1.976216,0.6237106,4.376289,6832
2.08,165.8722,-2.523771,0.2188301,4.78117,6868
2.1,171.2052,-3.046108,0.15135,4.84865,6900
2.12,177.7824,-3.603505,-0.1185694,5.118569,6900
2.14,194.8907,-4.240524,-0.5234499,5.52345,6912
2.16,203.7285,-4.730606,-0.8608494,5.860849,6928
2.18,228.0909,-5.26602,-1.46817,6.46817,6940
2.2,210.3078,-5.699934,-1.06329,6.06329,6984
2.22,204.5403,-6.131092,-0.7933693,5.793369,6952
2.24,200.9955,-6.530331,-0.7933693,5.793369,6948
2.26,204.5403,-6.753438,-0.7933693,5.793369,6936
2.28,210.5777,-6.805495,-1.06329,6.06329,6936
2.3,228.2258,-6.786422,-1.46817,6.46817,6968
2.32,236.5237,-6.790768,-1.805569,6.805569,6992
2.34,203.933,-6.776212,-0.7933693,5.793369,7012
2.36,192.0207,-6.799487,-0.5234499,5.52345,6944
2.38,204.2029,-6.949893,-0.7933693,5.793369,6936
2.4,177.3775,-6.931979,-0.1185694,5.118569,6960
2.42,202.4822,-6.871938,-0.7258892,5.725889,6880
2.44,191.1435,-6.820518,-0.5234499,5.52345,6936
2.46,166.7515,-6.625149,0.2863102,4.71369,6920
2.48,153.6246,-6.571985,0.5562305,4.443769,6896
2.5,145.4616,-6.405182,0.89363,4.10637,6868
2.52,130.0066,-6.283495,1.23103,3.76897,6848
2.54,121.8436,-5.987614,1.568431,3.431569,6836
2.56,106.3886,-5.555149,1.90583,3.09417,6820
2.58,100.6211,-5.269187,2.175751,2.824249,6792
2.6,82.70311,-4.859723,2.58063,2.41937,6768
2.62,41.13752,-4.464538,3.86275,1.13725,6744
2.64,36.07443,-4.096427,3.93023,1.06977,6656
2.66,26.83175,-3.765046,4.267631,0.7323694,6668
2.68,26.82966,-3.110641,4.20015,0.7998495,6656
2.7,14.78658,-2.486646,4.60503,0.3949699,6640
2.72,-32.65397,-2.025784,5.887151,-0.8871508,6620
2.74,-31.84209,-1.509347,5.95463,-0.9546299,6528
2.76,-46.95972,-1.027508,6.29203,-1.29203,6572
2.78,-7.549294,-0.504532,5.27983,-0.27983,6540
2.8,-57.55409,0.07351767,6.561951,-1.561951,6604
2.82,-75.73785,0.4960955,7.236751,-2.236751,6524
2.84,-95.20791,0.7602847,7.64163,-2.64163,6500
2.86,-68.14635,0.9961638,7.03431,-2.03431,6452
2.88,-95.81523,1.410047,7.64163,-2.64163,6476
2.9,-110.6587,1.860975,8.24895,-3.24895,6444
2.92,-92.81237,2.227975,7.57415,-2.57415,6416
2.94,-120.9157,2.517012,8.51887,-3.51887,6436
2.96,-115.823,2.800698,8.24895,-3.24895,6380
2.98,-99.62576,2.914417,7.91155,-2.91155,6404
3,-140.1158,3.142542,8.92375,-3.92375,6420
3.02,-132.1511,3.240956,8.85627,-3.85627,6360
3.04,-137.7878,3.445275,8.85627,-3.85627,6364
3.06,-101.0091,3.668334,7.97903,-2.97903,6352
