Tiempo,ControlPWM,Plataforma,Posicion,Error,TiempoTranscurrido
0,-2.7243,-0.01012939,0.15135,-0.15135,0
0.02,-3.938942,-0.02064501,0.2188301,-0.2188301,6868
0.04,-3.938942,-0.03653544,0.2188301,-0.2188301,6880
0.06,-3.938942,-0.04889827,0.2188301,-0.2188301,6880
0.08,-5.153584,-0.053019,0.2863102,-0.2863102,6880
0.1,-2.7243,-0.01346248,0.15135,-0.15135,6896
0.12,-3.938942,-0.008421026,0.2188301,-0.2188301,6884
0.14,-5.153584,0.005534329,0.2863102,-0.2863102,6884
0.16,-3.938942,0.001365364,0.2188301,-0.2188301,6892
0.18,-5.153584,0.009393319,0.2863102,-0.2863102,6888
0.2,-3.938942,0.008589186,0.2188301,-0.2188301,6904
0.22,-2.7243,0.02249496,0.15135,-0.15135,6888
0.24,-2.7243,0.04028513,0.15135,-0.15135,6896
0.26,-5.153584,0.05958918,0.2863102,-0.2863102,6888
0.28,-2.7243,0.05605289,0.15135,-0.15135,6888
0.3,-2.7243,0.03076549,0.15135,-0.15135,6884
0.32,-2.7243,0.02505821,0.15135,-0.15135,6880
0.34,-3.938942,0.008987594,0.2188301,-0.2188301,6888
0.36,-2.7243,0.001648106,0.15135,-0.15135,6876
0.38,-3.938942,0.008518107,0.2188301,-0.2188301,6900
0.4,-3.938942,-0.006338812,0.2188301,-0.2188301,6900
0.42,-3.938942,-0.004441381,0.2188301,-0.2188301,6868
0.44,-3.938942,-0.009184957,0.2188301,-0.2188301,6884
0.46,-5.153584,-0.02500848,0.2863102,-0.2863102,6888
0.48,-3.938942,-0.0304139,0.2188301,-0.2188301,6876
0.5,-3.938942,-0.02402688,0.2188301,-0.2188301,6880
0.52,-3.938942,-0.0309593,0.2188301,-0.2188301,6888
0.54,-2.7243,-0.03304284,0.15135,-0.15135,6884
0.56,-3.938942,-0.03756913,0.2188301,-0.2188301,6888
0.58,-5.153584,-0.03792655,0.2863102,-0.2863102,6892
0.6,-2.7243,-0.04681349,0.15135,-0.15135,6904
0.62,-3.938942,-0.04229927,0.2188301,-0.2188301,6884
0.64,-3.938942,-0.04315837,0.2188301,-0.2188301,6900
0.66,-3.938942,-0.0504947,0.2188301,-0.2188301,6884
0.68,-2.7243,-0.06395056,0.15135,-0.15135,6884
0.7,-2.7243,-0.05316635,0.15135,-0.15135,6892
0.72,-3.938942,-0.05835731,0.2188301,-0.2188301,6896
0.74,-2.7243,-0.06719625,0.15135,-0.15135,6884
0.76,-3.938942,-0.06526308,0.2188301,-0.2188301,6892
0.78,-3.938942,-0.06160953,0.2188301,-0.2188301,6888
0.8,-2.7243,-0.06349125,0.15135,-0.15135,6884
0.82,-5.153584,-0.05744138,0.2863102,-0.2863102,6884
