Tiempo,ControlPWM,Plataforma,Posicion,Error,TiempoTranscurrido
0,-0.6403885,-0.0139364,-4.977129,-0.02287102,0
0.02,25.81181,-0.03553858,-5.92185,0.9218502,7172
0.04,29.59064,-0.05801702,-6.056808,1.056808,7256
0.06,25.81181,-0.07779266,-5.92185,0.9218502,7252
0.08,1.249054,-0.1006504,-5.044609,0.04460907,7248
0.1,27.70119,-0.1429241,-5.989328,0.9893284,7208
0.12,27.70119,-0.1466748,-5.989328,0.9893284,7264
0.14,27.70119,-0.1018011,-5.989328,0.9893284,7240
0.16,25.81181,-0.1440634,-5.92185,0.9218502,7248
0.18,25.81181,-0.1322303,-5.92185,0.9218502,7252
0.2,27.70119,-0.1552929,-5.989328,0.9893284,7232
0.22,27.70119,-0.1613601,-5.989328,0.9893284,7248
0.24,25.81181,-0.171665,-5.92185,0.9218502,7260
0.26,25.81181,-0.1852729,-5.92185,0.9218502,7256
0.28,25.81181,-0.1941941,-5.92185,0.9218502,7252
0.3,23.92236,-0.2038826,-5.85437,0.8543701,7244
0.32,27.70119,-0.2166766,-5.989328,0.9893284,7256
0.34,27.70119,-0.2283932,-5.989328,0.9893284,7260
0.36,27.70119,-0.2353055,-5.989328,0.9893284,7252
0.38,23.92236,-0.2649521,-5.85437,0.8543701,7272
0.4,27.70119,-0.2595244,-5.989328,0.9893284,7260
0.42,27.70119,-0.2698497,-5.989328,0.9893284,7272
0.44,27.70119,-0.2758049,-5.989328,0.9893284,7244
0.46,25.81181,-0.2836369,-5.92185,0.9218502,7252
0.48,27.70119,-0.2811791,-5.989328,0.9893284,7252
0.5,27.70119,-0.2838836,-5.989328,0.9893284,7252
0.52,27.70119,-0.2815474,-5.989328,0.9893284,7248
0.54,27.70119,-0.2884426,-5.989328,0.9893284,7248
0.56,25.81181,-0.2989736,-5.92185,0.9218502,7260
0.58,25.81181,-0.2991085,-5.92185,0.9218502,7252
0.6,25.81181,-0.2944339,-5.92185,0.9218502,7248
0.62,25.81181,-0.2909203,-5.92185,0.9218502,7240
0.64,25.81181,-0.3008025,-5.92185,0.9218502,7248
0.66,25.81181,-0.302716,-5.92185,0.9218502,7256
0.68,25.81181,-0.2936929,-5.92185,0.9218502,7248
0.7,25.81181,-0.2971438,-5.92185,0.9218502,7252
0.72,27.70119,-0.2995567,-5.989328,0.9893284,7240
0.74,27.70119,-0.2991139,-5.989328,0.9893284,7252
0.76,25.81181,-0.3008362,-5.92185,0.9218502,7248
0.78,27.70119,-0.294444,-5.989328,0.9893284,7252
0.8,25.81181,-0.3018943,-5.92185,0.9218502,7252
0.82,27.70119,-0.2997709,-5.989328,0.9893284,7284
0.84,25.81181,-0.3011665,-5.92185,0.9218502,7260
0.86,27.70119,-0.2978409,-5.989328,0.9893284,7256
0.88,23.92236,-0.3031557,-5.85437,0.8543701,7268
0.9,27.70119,-0.3128619,-5.989328,0.9893284,7248
0.92,27.70119,-0.3095461,-5.989328,0.9893284,7260
0.94,27.70119,-0.3155236,-5.989328,0.9893284,7248
0.96,27.70119,-0.3203357,-5.989328,0.9893284,7272
0.98,27.70119,-0.3179063,-5.989328,0.9893284,7260
1,25.81181,-0.3144458,-5.92185,0.9218502,7260
1.02,27.70119,-0.3189024,-5.989328,0.9893284,7256
1.04,27.70119,-0.3262478,-5.989328,0.9893284,7260
1.06,27.70119,-0.3240218,-5.989328,0.9893284,7248
1.08,23.92236,-0.3231054,-5.85437,0.8543701,7244
1.1,27.70119,-0.3324447,-5.989328,0.9893284,7268
1.12,-0.6403885,-0.3341529,-4.977129,-0.02287102,7264
1.14,25.81181,-0.3428516,-5.92185,0.9218502,7212
1.16,27.70119,-0.3136385,-5.989328,0.9893284,7256
1.18,25.81181,-0.2463117,-5.92185,0.9218502,7256
1.2,25.81181,-0.306573,-5.92185,0.9218502,7256
1.22,23.92236,-0.2684124,-5.85437,0.8543701,7244
1.24,25.81181,-0.2907161,-5.92185,0.9218502,7260
1.26,27.70119,-0.2843812,-5.989328,0.9893284,7260
1.28,27.70119,-0.270232,-5.989328,0.9893284,7260
1.3,1.249054,-0.2887435,-5.044609,0.04460907,7240
1.32,25.81181,-0.2977364,-5.92185,0.9218502,7212
1.34,25.81181,-0.2928178,-5.92185,0.9218502,7276
