Tiempo,ControlPWM,Plataforma,Posicion,Error,TiempoTranscurrido
0,54.15339,-0.1093879,-6.93405,1.93405,0
0.02,54.15339,-0.2136323,-6.93405,1.93405,7292
0.04,52.26395,-0.3050492,-6.86657,1.86657,7280
0.06,54.15339,-0.4034967,-6.93405,1.93405,7308
0.08,54.15339,-0.4906711,-6.93405,1.93405,7292
0.1,54.15339,-0.564117,-6.93405,1.93405,7284
0.12,54.15339,-0.6356506,-6.93405,1.93405,7296
0.14,52.26395,-0.7058978,-6.86657,1.86657,7300
0.16,54.15339,-0.7667037,-6.93405,1.93405,7312
0.18,54.15339,-0.8228807,-6.93405,1.93405,7308
0.2,54.15339,-0.8725063,-6.93405,1.93405,7312
0.22,54.15339,-0.9286246,-6.93405,1.93405,7296
0.24,52.26395,-0.974408,-6.86657,1.86657,7284
0.26,54.15339,-1.027475,-6.93405,1.93405,7312
0.28,54.15339,-1.062693,-6.93405,1.93405,7304
0.3,54.15339,-1.106594,-6.93405,1.93405,7304
0.32,54.15339,-1.137613,-6.93405,1.93405,7292
0.34,54.15339,-1.169463,-6.93405,1.93405,7292
0.36,54.15339,-1.20233,-6.93405,1.93405,7304
0.38,54.15339,-1.234776,-6.93405,1.93405,7300
0.4,56.04283,-1.262366,-7.00153,2.00153,7296
0.42,54.15339,-1.28398,-6.93405,1.93405,7340
0.44,54.15339,-1.312308,-6.93405,1.93405,7308
0.46,52.26395,-1.3264,-6.86657,1.86657,7304
0.48,56.04283,-1.345774,-7.00153,2.00153,7308
0.5,54.15339,-1.358377,-6.93405,1.93405,7304
0.52,52.26395,-1.376481,-6.86657,1.86657,7300
0.54,54.15339,-1.387889,-6.93405,1.93405,7304
0.56,54.15339,-1.401462,-6.93405,1.93405,7312
0.58,52.26395,-1.420351,-6.86657,1.86657,7300
0.6,54.15339,-1.431587,-6.93405,1.93405,7316
0.62,54.15339,-1.449028,-6.93405,1.93405,7308
0.64,54.15339,-1.459573,-6.93405,1.93405,7296
0.66,54.15339,-1.465172,-6.93405,1.93405,7292
0.68,56.04283,-1.480681,-7.00153,2.00153,7288
0.7,56.04283,-1.483099,-7.00153,2.00153,7300
0.72,56.04283,-1.495638,-7.00153,2.00153,7296
0.74,54.15339,-1.502995,-6.93405,1.93405,7288
0.76,52.26395,-1.507847,-6.86657,1.86657,7312
0.78,54.15339,-1.515465,-6.93405,1.93405,7300
0.8,54.15339,-1.520402,-6.93405,1.93405,7312
0.82,54.15339,-1.531002,-6.93405,1.93405,7304
0.84,54.15339,-1.53182,-6.93405,1.93405,7296
0.86,54.15339,-1.530328,-6.93405,1.93405,7316
0.88,54.15339,-1.535415,-6.93405,1.93405,7308
0.9,56.04283,-1.535355,-7.00153,2.00153,7288
0.92,54.15339,-1.541561,-6.93405,1.93405,7324
0.94,54.15339,-1.544851,-6.93405,1.93405,7324
0.96,54.15339,-1.54064,-6.93405,1.93405,7300
0.98,56.04283,-1.538596,-7.00153,2.00153,7296
1,56.04283,-1.541001,-7.00153,2.00153,7308
1.02,54.15339,-1.536252,-6.93405,1.93405,7308
1.04,54.15339,-1.536389,-6.93405,1.93405,7336
1.06,54.15339,-1.537647,-6.93405,1.93405,7300
1.08,54.15339,-1.543798,-6.93405,1.93405,7320
1.1,54.15339,-1.538831,-6.93405,1.93405,7300
1.12,52.26395,-1.540234,-6.86657,1.86657,7296
1.14,56.04283,-1.540422,-7.00153,2.00153,7312
1.16,54.15339,-1.537303,-6.93405,1.93405,7304
1.18,56.04283,-1.545289,-7.00153,2.00153,7304
1.2,52.26395,-1.550545,-6.86657,1.86657,7300
1.22,52.26395,-1.547624,-6.86657,1.86657,7304
1.24,54.15339,-1.554212,-6.93405,1.93405,7308
1.26,54.15339,-1.562016,-6.93405,1.93405,7308
1.28,54.15339,-1.564213,-6.93405,1.93405,7296
1.3,54.15339,-1.577575,-6.93405,1.93405,7300
1.32,54.15339,-1.587109,-6.93405,1.93405,7304
1.34,54.15339,-1.580795,-6.93405,1.93405,7284
1.36,54.15339,-1.580165,-6.93405,1.93405,7304
1.38,54.15339,-1.584034,-6.93405,1.93405,7296
1.4,54.15339,-1.576578,-6.93405,1.93405,7296
1.42,54.15339,-1.582791,-6.93405,1.93405,7300
1.44,54.15339,-1.574547,-6.93405,1.93405,7292
1.46,54.15339,-1.584357,-6.93405,1.93405,7304
1.48,54.15339,-1.581965,-6.93405,1.93405,7304
1.5,54.15339,-1.572189,-6.93405,1.93405,7304
1.52,54.15339,-1.566261,-6.93405,1.93405,7324
1.54,54.15339,-1.57269,-6.93405,1.93405,7312
1.56,56.04283,-1.56387,-7.00153,2.00153,7292
1.58,52.26395,-1.562014,-6.86657,1.86657,7312
1.6,54.15339,-1.562301,-6.93405,1.93405,7308
1.62,56.04283,-1.557875,-7.00153,2.00153,7300
1.64,54.15339,-1.559998,-6.93405,1.93405,7312
1.66,52.26395,-1.564117,-6.86657,1.86657,7320
1.68,56.04283,-1.571186,-7.00153,2.00153,7316
1.7,54.15339,-1.57949,-6.93405,1.93405,7308
1.72,54.15339,-1.571126,-6.93405,1.93405,7324
1.74,54.15339,-1.565206,-6.93405,1.93405,7308
1.76,54.15339,-1.565379,-6.93405,1.93405,7308
1.78,54.15339,-1.57812,-6.93405,1.93405,7296
1.8,52.26395,-1.565868,-6.86657,1.86657,7292
1.82,56.04283,-1.557622,-7.00153,2.00153,7312
1.84,54.15339,-1.569488,-6.93405,1.93405,7312
1.86,54.15339,-1.573881,-6.93405,1.93405,7304
1.88,54.15339,-1.565816,-6.93405,1.93405,7296
1.9,52.26395,-1.568943,-6.86657,1.86657,7304
1.92,54.15339,-1.563491,-6.93405,1.93405,7308
1.94,52.26395,-1.566463,-6.86657,1.86657,7320
1.96,54.15339,-1.563448,-6.93405,1.93405,7308
1.98,54.15339,-1.566449,-6.93405,1.93405,7320
2,334.1534,-1.563982,-6.93405,11.93405,7300
2.02,334.1534,-1.565551,-6.93405,11.93405,7304
2.04,332.2639,-1.566104,-6.86657,11.86657,7296
2.06,334.1534,-2.010196,-6.93405,11.93405,7320
2.08,358.7161,-2.845277,-7.811289,12.81129,7300
2.1,351.1583,-4.686079,-7.541368,12.54137,7348
2.12,315.259,-6.278746,-6.259249,11.25925,7336
2.14,315.259,-7.748013,-6.259249,11.25925,7268
2.16,326.5956,-8.991242,-6.664129,11.66413,7288
2.18,334.1534,-10.15575,-6.93405,11.93405,7312
2.2,313.3695,-10.96625,-6.191769,11.19177,7320
2.22,305.8118,-10.64831,-5.92185,10.92185,7276
2.24,324.7062,-10.39889,-6.596649,11.59665,7252
2.26,290.6963,-10.5303,-5.38201,10.38201,7296
2.28,279.3596,-10.6766,-4.977129,9.977129,7224
2.3,279.3596,-10.90873,-4.977129,9.977129,7208
2.32,279.3596,-11.15176,-4.977129,9.977129,7204
2.34,252.9075,-10.84952,-4.03241,9.03241,7200
2.36,251.018,-10.37584,-3.96493,8.96493,7132
2.38,235.9025,-10.1767,-3.425089,8.425089,7148
2.4,207.5609,-9.851562,-2.412889,7.412889,7112
2.42,186.777,-9.557749,-1.670609,6.670609,7012
2.44,173.551,-9.17331,-1.19825,6.19825,7016
2.46,162.2143,-8.525682,-0.7933693,5.793369,6968
2.48,152.7672,-8.117826,-0.4559698,5.45597,6940
2.5,105.5311,-7.486941,1.23103,3.76897,6928
2.52,94.19452,-6.888185,1.63591,3.36409,6828
2.54,77.18954,-6.408989,2.243231,2.756769,6812
2.56,41.29018,-5.677206,3.525351,1.474649,6768
2.58,29.95356,-4.810538,3.93023,1.06977,6688
2.6,-17.28245,-4.124499,5.61723,-0.6172304,6652
2.62,-24.84022,-3.338133,5.887151,-0.8871508,6564
2.64,-26.72964,-2.462115,5.95463,-0.9546299,6548
2.66,-72.0762,-1.759918,7.57415,-2.57415,6556
2.68,-81.5234,-1.081919,7.91155,-2.91155,6444
2.7,-90.9706,-0.2241855,8.24895,-3.24895,6428
2.72,-136.3172,0.2541493,9.86847,-4.86847,6412
2.74,-153.3221,0.7560841,10.47579,-5.47579,6304
2.76,-172.2165,1.445927,11.15059,-6.15059,6300
2.78,-189.2215,2.030877,11.75791,-6.75791,6240
2.8,-206.2265,2.799177,12.36523,-7.365231,6216
2.82,-236.4575,3.34659,13.44491,-8.44491,6152
2.84,-234.568,4.105541,13.37743,-8.37743,6104
2.86,-232.6786,4.76563,13.30995,-8.30995,6104
2.88,-230.7892,5.286832,13.24247,-8.24247,6120
2.9,-240.2364,5.938767,13.57987,-8.57987,6100
2.92,-223.2314,6.404359,12.97255,-7.97255,6104
2.94,-242.1258,6.793487,13.64735,-8.64735,6124
2.96,-287,6.88179,15.25,-10.25,6084
2.98,-287,7.013352,15.25,-10.25,17424
3,-287,7.23042,15.25,-10.25,3696
3.02,-90.9706,7.566412,8.24895,-3.24895,3700
3.04,-244.0153,7.974579,13.71483,-8.71483,6412
3.06,-287,7.723186,15.25,-10.25,6104
3.08,-287,7.469849,15.25,-10.25,17432
3.1,-287,6.995732,15.25,-10.25,3712
3.12,-225.1208,7.140231,13.04003,-8.04003,3688
3.14,-187.332,7.361626,11.69043,-6.69043,6128
3.16,-225.1208,7.600983,13.04003,-8.04003,6208
3.18,-242.1258,7.312545,13.64735,-8.64735,6128
3.2,-223.2314,6.974928,12.97255,-7.97255,6084
3.22,-244.0153,6.777706,13.71483,-8.71483,6120
3.24,-232.6786,6.761886,13.30995,-8.30995,6088
3.26,-223.2314,6.729258,12.97255,-7.97255,6112
3.28,-215.6736,6.777473,12.70263,-7.70263,6132
3.3,-204.337,6.761301,12.29775,-7.29775,6132
3.32,-196.7792,6.856041,12.02783,-7.02783,6180
3.34,-196.7792,6.87049,12.02783,-7.02783,6200
3.36,-162.7693,6.705511,10.81319,-5.81319,6172
3.38,-162.7693,6.575858,10.81319,-5.81319,6252
3.4,-162.7693,6.337047,10.81319,-5.81319,6248
3.42,-134.4277,5.954659,9.80099,-4.80099,6248
3.44,-136.3172,5.655957,9.86847,-4.86847,6320
3.46,-109.865,5.394501,8.92375,-3.92375,6316
3.48,-81.5234,4.967734,7.91155,-2.91155,6392
3.5,-53.1818,4.543494,6.89935,-1.89935,6448
3.52,-64.51845,3.982835,7.30423,-2.30423,6492
3.54,-36.17685,3.234966,6.29203,-1.29203,6472
3.56,-17.28245,2.565832,5.61723,-0.6172304,6548
3.58,-15.39301,2.113809,5.54975,-0.5497503,6544
3.6,11.05916,1.539596,4.60503,0.3949699,6568
3.62,39.40074,1.101071,3.592831,1.407169,6652
3.64,67.74236,0.7560028,2.58063,2.41937,6688
3.66,28.06411,0.06885485,3.99771,1.00229,6728
3.68,65.85291,-0.3927661,2.64811,2.35189,6660
3.7,67.74236,-0.9461914,2.58063,2.41937,6760
3.72,105.5311,-1.554117,1.23103,3.76897,6768
3.74,114.9784,-1.57386,0.89363,4.10637,6824
3.76,124.4255,-1.8999,0.5562305,4.443769,6852
3.78,133.8728,-2.187134,0.2188301,4.78117,6892
3.8,141.4305,-2.623029,-0.05108929,5.051089,6904
3.82,126.315,-3.116063,0.4887505,4.51125,6924
3.84,141.4305,-3.616824,-0.05108929,5.051089,6880
3.86,135.7622,-4.061471,0.15135,4.84865,6920
3.88,162.2143,-4.297394,-0.7933693,5.793369,6896
3.9,162.2143,-4.464631,-0.7933693,5.793369,6968
3.92,150.8777,-4.686984,-0.3884897,5.38849,6928
3.94,162.2143,-4.920599,-0.7933693,5.793369,6948
3.96,162.2143,-5.060421,-0.7933693,5.793369,6948
3.98,131.9833,-5.172784,0.2863102,4.71369,6952
4,143.3199,-5.321539,-0.1185694,5.118569,6904
4.02,143.3199,-5.242357,-0.1185694,5.118569,6932
4.04,124.4255,-5.076906,0.5562305,4.443769,6920
4.06,133.8728,-5.030766,0.2188301,4.78117,6852
