Tiempo,ControlPWM,Plataforma,Posicion,Error,TiempoTranscurrido
1.72,19.7426,-0.1927294,-0.4559698,0.4559698,6936
1.74,21.21952,-0.1942705,-0.5234499,0.5234499,6924
1.76,19.99724,-0.188664,-0.4559698,0.4559698,6928
1.78,20.1158,-0.1876322,-0.4559698,0.4559698,6932
1.8,21.59272,-0.1780653,-0.5234499,0.5234499,6916
1.82,21.72882,-0.1774914,-0.5234499,0.5234499,6940
1.84,21.86492,-0.176086,-0.5234499,0.5234499,6928
1.86,22.00101,-0.1757855,-0.5234499,0.5234499,6920
1.88,22.13711,-0.1615938,-0.5234499,0.5234499,6916
1.9,20.91483,-0.1656611,-0.4559698,0.4559698,6932
1.92,19.67501,-0.1722898,-0.3884897,0.3884897,6920
1.94,21.13439,-0.1732428,-0.4559698,0.4559698,6928
1.96,21.25294,-0.1638137,-0.4559698,0.4559698,6920
1.98,20.01312,-0.1619045,-0.3884897,0.3884897,6924
2,21.4725,-0.1588883,-0.4559698,0.4559698,6920
2.02,21.59106,-0.1654988,-0.4559698,0.4559698,6916
2.04,21.70961,-0.167226,-0.4559698,0.4559698,6912
2.06,21.82816,-0.1710963,-0.4559698,0.4559698,6912
2.08,23.30509,-0.1736417,-0.5234499,0.5234499,6904
2.1,20.72444,-0.1738445,-0.3884897,0.3884897,6920
2.12,23.54219,-0.1717496,-0.5234499,0.5234499,6916
2.14,22.31992,-0.1750861,-0.4559698,0.4559698,6932
2.16,22.43847,-0.1805069,-0.4559698,0.4559698,6916
2.18,22.55702,-0.1984566,-0.4559698,0.4559698,6916
2.2,22.67557,-0.2061104,-0.4559698,0.4559698,6920
2.22,21.43575,-0.208808,-0.3884897,0.3884897,6920
2.24,24.2535,-0.1957612,-0.5234499,0.5234499,6932
2.26,24.3896,-0.2041582,-0.5234499,0.5234499,6932
2.28,24.5257,-0.1998783,-0.5234499,0.5234499,6920
2.3,21.94505,-0.2023869,-0.3884897,0.3884897,6920
2.32,23.40443,-0.2088133,-0.4559698,0.4559698,6924
2.34,23.52298,-0.2012938,-0.4559698,0.4559698,6928
2.36,24.9999,-0.204623,-0.5234499,0.5234499,6916
2.38,25.136,-0.2094194,-0.5234499,0.5234499,6928
2.4,22.55535,-0.2039506,-0.3884897,0.3884897,6920
2.42,25.37311,-0.2070781,-0.5234499,0.5234499,6936
2.44,25.5092,-0.2061405,-0.5234499,0.5234499,6928
2.46,24.28693,-0.1947291,-0.4559698,0.4559698,6924
2.48,24.40548,-0.1888861,-0.4559698,0.4559698,6928
2.5,25.8824,-0.1856972,-0.5234499,0.5234499,6928
2.52,26.0185,-0.1871869,-0.5234499,0.5234499,6928
2.54,24.79622,-0.1955621,-0.4559698,0.4559698,6932
2.56,24.91478,-0.1985855,-0.4559698,0.4559698,6944
2.58,25.03333,-0.1947586,-0.4559698,0.4559698,6928
2.6,23.79351,-0.1944675,-0.3884897,0.3884897,6928
2.62,23.89451,-0.2003063,-0.3884897,0.3884897,6916
2.64,25.3539,-0.198099,-0.4559698,0.4559698,6920
2.66,26.83082,-0.1978039,-0.5234499,0.5234499,6916
2.68,25.60855,-0.1998851,-0.4559698,0.4559698,6924
