Tiempo,ControlPWM,Plataforma,Posicion,Error,TiempoTranscurrido
0,18.58247,-0.01756388,-0.5234499,0.5234499,0
0.02,15.66348,-0.02740468,-0.4559698,0.4559698,6912
0.04,16.25441,-0.03344542,-0.4559698,0.4559698,6920
0.06,18.05902,-0.04406869,-0.5234499,0.5234499,6912
0.08,16.18693,-0.06305076,-0.4559698,0.4559698,6924
0.1,18.1265,-0.0774409,-0.5234499,0.5234499,6924
0.12,16.11945,-0.07591794,-0.4559698,0.4559698,6936
0.14,15.79844,-0.08708304,-0.4559698,0.4559698,6944
0.16,18.51499,-0.1013445,-0.5234499,0.5234499,6924
0.18,18.1265,-0.1022738,-0.5234499,0.5234499,6940
0.2,16.11945,-0.10282,-0.4559698,0.4559698,6916
0.22,18.19398,-0.1088668,-0.5234499,0.5234499,6924
0.24,16.05197,-0.1203548,-0.4559698,0.4559698,6924
0.26,13.47038,-0.136802,-0.3884897,0.3884897,6928
0.28,18.51499,-0.155545,-0.5234499,0.5234499,6940
0.3,15.73096,-0.1511772,-0.4559698,0.4559698,6940
0.32,18.58247,-0.1672556,-0.5234499,0.5234499,6928
0.34,18.05902,-0.1682999,-0.5234499,0.5234499,6948
0.36,16.18693,-0.1668039,-0.4559698,0.4559698,6924
0.38,13.33541,-0.1569842,-0.3884897,0.3884897,6936
0.4,18.64995,-0.1613218,-0.5234499,0.5234499,6944
0.42,15.596,-0.1661368,-0.4559698,0.4559698,6928
0.44,16.32189,-0.1598212,-0.4559698,0.4559698,6932
0.46,15.596,-0.1598233,-0.4559698,0.4559698,6924
0.48,13.92634,-0.1592674,-0.3884897,0.3884897,6916
0.5,18.05902,-0.1619139,-0.5234499,0.5234499,6928
0.52,13.79138,-0.1621501,-0.3884897,0.3884897,6920
0.54,18.19398,-0.1683742,-0.5234499,0.5234499,6924
0.56,18.44751,-0.1728037,-0.5234499,0.5234499,6932
0.58,15.79844,-0.1880072,-0.4559698,0.4559698,6932
0.6,18.51499,-0.1823196,-0.5234499,0.5234499,6940
0.62,13.33542,-0.1841343,-0.3884897,0.3884897,6932
0.64,13.85886,-0.1876642,-0.3884897,0.3884897,6928
0.66,15.73096,-0.1901808,-0.4559698,0.4559698,6928
0.68,16.18693,-0.1964614,-0.4559698,0.4559698,6936
0.7,18.1265,-0.189038,-0.5234499,0.5234499,6928
0.72,18.51499,-0.1876579,-0.5234499,0.5234499,6932
0.74,18.1265,-0.1866037,-0.5234499,0.5234499,6916
0.76,18.51499,-0.1838922,-0.5234499,0.5234499,6916
0.78,18.1265,-0.1895826,-0.5234499,0.5234499,6924
0.8,18.51499,-0.1870225,-0.5234499,0.5234499,6928
0.82,15.73096,-0.1918405,-0.4559698,0.4559698,6924
0.84,18.58247,-0.1920995,-0.5234499,0.5234499,6940
0.86,13.26794,-0.2020505,-0.3884897,0.3884897,6932
0.88,13.92634,-0.2086951,-0.3884897,0.3884897,6944
0.9,15.66348,-0.2028539,-0.4559698,0.4559698,6940
0.92,16.25441,-0.2023014,-0.4559698,0.4559698,6928
0.94,18.05902,-0.2046926,-0.5234499,0.5234499,6916
0.96,18.58247,-0.2133736,-0.5234499,0.5234499,6948
0.98,18.05902,-0.2029517,-0.5234499,0.5234499,6928
1,16.18693,-0.198484,-0.4559698,0.4559698,6916
1.02,13.33542,-0.1995818,-0.3884897,0.3884897,6928
1.04,13.85886,-0.2098373,-0.3884897,0.3884897,6932
1.06,15.73096,-0.2068776,-0.4559698,0.4559698,6928
1.08,16.18693,-0.1998378,-0.4559698,0.4559698,6936
1.1,18.1265,-0.2121869,-0.5234499,0.5234499,6932
1.12,13.7239,-0.2079118,-0.3884897,0.3884897,6944
1.14,18.26146,-0.1995463,-0.5234499,0.5234499,6932
1.16,15.98449,-0.1916986,-0.4559698,0.4559698,6932
1.18,15.9334,-0.1956222,-0.4559698,0.4559698,6928
1.2,15.98449,-0.1899226,-0.4559698,0.4559698,6920
1.22,18.32894,-0.1981619,-0.5234499,0.5234499,6916
1.24,13.52146,-0.2027214,-0.3884897,0.3884897,6936
1.26,13.67282,-0.2010296,-0.3884897,0.3884897,6932
1.28,13.52146,-0.1937519,-0.3884897,0.3884897,6928
1.3,16.06836,-0.203251,-0.4559698,0.4559698,6928
1.32,15.84953,-0.2008218,-0.4559698,0.4559698,6948
1.34,16.06836,-0.1976761,-0.4559698,0.4559698,6924
1.36,15.84953,-0.1982497,-0.4559698,0.4559698,6932
1.38,16.06836,-0.197981,-0.4559698,0.4559698,6924
1.4,15.84953,-0.1924133,-0.4559698,0.4559698,6924
1.42,18.4639,-0.1893135,-0.5234499,0.5234499,6924
1.44,18.17759,-0.1913825,-0.5234499,0.5234499,6932
1.46,16.06836,-0.1894655,-0.4559698,0.4559698,6920
1.48,18.24507,-0.1880146,-0.5234499,0.5234499,6928
1.5,18.39642,-0.1845972,-0.5234499,0.5234499,6920
1.52,15.84953,-0.190205,-0.4559698,0.4559698,6912
1.54,16.06836,-0.2024387,-0.4559698,0.4559698,6940
1.56,18.24507,-0.2097807,-0.5234499,0.5234499,6932
1.58,18.39642,-0.2007213,-0.5234499,0.5234499,6940
1.6,15.84953,-0.1987496,-0.4559698,0.4559698,6932
1.62,18.4639,-0.194303,-0.5234499,0.5234499,6928
1.64,15.78205,-0.1979917,-0.4559698,0.4559698,6932
1.66,18.53138,-0.1951106,-0.5234499,0.5234499,6932
1.68,18.11011,-0.1903375,-0.5234499,0.5234499,6928
1.7,13.7403,-0.1891796,-0.3884897,0.3884897,6924
1.72,15.84953,-0.1945787,-0.4559698,0.4559698,6928
1.74,13.67282,-0.1933402,-0.3884897,0.3884897,6936
