Tiempo,ControlPWM,Plataforma,Posicion,Error,TiempoTranscurrido
0,-3.046676,-0.0346165,0.15135,-0.15135,0
0.02,-5.802775,-0.06915605,0.2863102,-0.2863102,6888
0.04,-4.518842,-0.1088303,0.2188301,-0.2188301,6888
0.06,-4.575737,-0.1053305,0.2188301,-0.2188301,6896
0.08,-4.632633,-0.01743616,0.2188301,-0.2188301,6884
0.1,-3.331155,0.0692592,0.15135,-0.15135,6876
0.12,-3.370506,0.1539386,0.15135,-0.15135,6896
0.14,-3.409857,0.23665,0.15135,-0.15135,6880
0.16,-4.807582,0.2719383,0.2188301,-0.2188301,6876
0.18,15.5111,0.3145199,-0.7933693,0.7933693,6888
0.2,15.71737,0.33266,-0.7933693,0.7933693,6972
0.22,14.56527,0.322332,-0.7258892,0.7258892,6828
0.24,16.11238,0.3204145,-0.7933693,0.7933693,6936
0.26,16.31866,0.2819304,-0.7933693,0.7933693,6964
0.28,16.52493,0.2782531,-0.7933693,0.7933693,6952
0.3,16.73121,0.2520028,-0.7933693,0.7933693,6952
0.32,16.93748,0.2427998,-0.7933693,0.7933693,6940
0.34,17.14376,0.2189964,-0.7933693,0.7933693,6944
0.36,17.35003,0.2032155,-0.7933693,0.7933693,6932
0.38,17.55631,0.2008017,-0.7933693,0.7933693,6808
0.4,17.76259,0.1799693,-0.7933693,0.7933693,6948
0.42,17.96886,0.1675339,-0.7933693,0.7933693,6932
0.44,18.17514,0.1547632,-0.7933693,0.7933693,6944
0.46,17.02304,0.1523308,-0.7258892,0.7258892,6936
0.48,18.57015,0.143281,-0.7933693,0.7933693,6960
0.5,18.77642,0.129391,-0.7933693,0.7933693,6952
0.52,18.9827,0.1272127,-0.7933693,0.7933693,6936
0.54,19.18897,0.119628,-0.7933693,0.7933693,6948
0.56,19.39525,0.1105957,-0.7933693,0.7933693,6948
0.58,19.60153,0.1035653,-0.7933693,0.7933693,6940
0.6,19.8078,0.07911032,-0.7933693,0.7933693,6956
0.62,20.01408,0.0344203,-0.7933693,0.7933693,6828
0.64,20.22035,-0.04657274,-0.7933693,0.7933693,6940
0.66,20.42663,-0.08563743,-0.7933693,0.7933693,6948
0.68,20.63291,-0.1269064,-0.7933693,0.7933693,6944
0.7,20.83918,-0.1126822,-0.7933693,0.7933693,6948
0.72,21.04546,-0.1149907,-0.7933693,0.7933693,6936
0.74,19.89336,-0.1230278,-0.7258892,0.7258892,6944
0.76,21.44047,-0.1134473,-0.7933693,0.7933693,6940
0.78,21.64674,-0.1251173,-0.7933693,0.7933693,6940
0.8,21.85302,-0.1235386,-0.7933693,0.7933693,6924
0.82,22.05929,-0.131795,-0.7933693,0.7933693,6936
0.84,22.26557,-0.1307717,-0.7933693,0.7933693,6940
0.86,22.47185,-0.1338252,-0.7933693,0.7933693,6936
0.88,22.67812,-0.1350124,-0.7933693,0.7933693,6932
0.9,22.8844,-0.1333838,-0.7933693,0.7933693,6936
0.92,23.09068,-0.1435292,-0.7933693,0.7933693,6932
0.94,23.29695,-0.1493663,-0.7933693,0.7933693,6940
0.96,23.50323,-0.1423016,-0.7933693,0.7933693,6936
0.98,23.7095,-0.1462206,-0.7933693,0.7933693,6940
1,23.91578,-0.1544568,-0.7933693,0.7933693,6936
