Tiempo,ControlPWM,ReferenciaPosicion,ThetaMedido,ThetaObservado,OmegaMedido,OmegaObservado,PosicionMedido,PosicionObservado
1.32,110.1343,-5,2.392034,1.938129,-47.51222,-15.44241,-1.13077,-1.601683
1.34,101.1598,-5,1.803579,1.74765,-9.832819,-4.547162,-1.19825,-1.653506
1.36,121.2054,-5,2.2684,1.93596,18.73207,0.2598351,-1.06329,-1.484799
1.38,87.31982,-5,3.01617,2.352922,33.2817,2.964705,-1.06329,-1.307431
1.4,-121.4609,-5,3.863752,2.741976,37.63285,-1.89768,-2.075489,-1.772472
1.42,-48.45447,-5,4.24168,2.869762,17.63284,-27.4288,-2.008009,-1.974159
1.44,188.7788,-5,4.102461,2.742647,-5.023657,-36.00779,-0.7933693,-1.416573
1.46,-44.60046,-5,3.568991,2.447621,-31.25267,-16.3224,-1.738089,-1.814677
1.48,72.00366,-5,2.685813,2.152534,-48.22978,-23.80421,-1.46817,-1.930211
1.5,102.9808,-5,2.404209,1.895298,-4.336633,-15.96172,-1.40069,-1.934981
1.52,92.43811,-5,2.331181,1.853541,-1.832817,-7.40343,-1.46817,-1.931662
1.54,96.4519,-5,2.313498,1.949883,5.907644,-2.711452,-1.46817,-1.898225
1.56,35.49902,-5,2.997969,2.250612,31.73972,-1.578685,-1.738089,-1.94197
1.58,90.70789,-5,3.239887,2.514541,9.709172,-7.664917,-1.46817,-1.794505
1.6,69.2196,-5,3.547464,2.723376,16.18246,-7.130113,-1.46817,-1.720962
1.62,74.9491,-5,3.554056,2.854617,-2.596175,-8.934423,-1.40069,-1.679055
1.64,64.09375,-5,3.414865,2.870841,-4.947321,-9.089308,-1.46817,-1.742862
1.66,-78.44727,-5,3.505101,2.796736,4.68627,-10.90658,-2.345409,-2.295759
1.68,-13.97485,-5,3.479753,2.610296,1.174818,-26.41515,-2.412889,-2.59659
1.7,33.89221,-5,3.496349,2.341902,-0.3060985,-30.17041,-2.345409,-2.684528
1.72,91.3468,-5,3.243912,2.118731,-17.00839,-26.87655,-2.075489,-2.574739
1.74,86.64673,-5,2.630469,1.900374,-34.59619,-16.83032,-2.075489,-2.576949
1.76,148.8832,-5,1.947795,1.755691,-34.33664,-8.233113,-1.805569,-2.459829
1.78,125.505,-5,2.361778,1.965424,18.79314,2.374091,-1.805569,-2.297051
1.8,116.7163,-5,2.676501,2.33622,24.79315,6.029091,-1.738089,-2.12934
1.82,75.55286,-5,3.424668,2.82139,42.67102,5.044358,-1.805569,-2.018476
1.84,69.073,-5,4.009303,3.251362,26.85421,-1.686831,-1.738089,-1.907737
1.86,-115.191,-5,4.157771,3.339072,6.564133,-7.657075,-2.75029,-2.515833
