Tiempo,ControlPWM,ReferenciaPosicion,ThetaMedido,ThetaObservado,OmegaMedido,OmegaObservado,PosicionMedido,PosicionObservado,VelocidadObservado,TiempoTranscurrido
0,-1216.185,-5,0.1902989,-0.7952099,0.2740546,-3.339767,-7.20397,-4.313951,-14.30273,0
0.02,-652.8735,-5,0.3776012,-2.174138,-0.0007547362,-128.9054,-7.27145,-6.290906,-22.6455,8316
0.04,-415.0211,-5,0.5507109,-4.311455,-0.2297625,-155.5434,-7.20397,-7.074502,-28.432,8456
0.06,-375.1159,-5,0.6709387,-5.849944,-3.771748,-149.7604,-7.20397,-7.265996,-30.05819,8452
0.08,-398.5343,-5,0.5923356,-6.775302,-16.47404,-141.8921,-7.20397,-7.267727,-31.97057,8448
0.1,-413.5147,-5,-0.6902066,-7.670263,-80.61147,-134.9359,-7.27145,-7.442139,-37.0332,8440
0.12,-322.2661,-5,-2.191723,-8.54216,-87.68018,-126.7609,-6.93405,-7.454483,-39.80982,8460
0.14,-279.8331,-5,-3.71845,-9.31204,-85.3901,-106.9784,-6.799089,-7.470046,-40.21862,8444
0.16,-206.5043,-5,-5.155211,-9.830925,-82.29086,-84.64539,-6.529169,-7.357102,-37.83735,8428
0.18,-184.2449,-5,-6.625105,-10.15595,-88.29086,-57.4259,-6.529169,-7.337009,-34.23801,8412
0.2,-203.415,-5,-8.270385,-10.40594,-87.6191,-31.62058,-6.93405,-7.610887,-30.4005,8420
0.22,-212.5493,-5,-9.763986,-10.62019,-67.19162,-11.44813,-7.541368,-8.097445,-25.46945,8456
0.24,-79.13341,-5,-9.131145,-10.17365,35.70918,-0.7958627,-7.20397,-7.820718,-13.43905,8492
0.26,7.450211,-5,-8.614894,-9.362163,31.03743,18.42276,-6.596649,-7.135582,-3.154479,8476
0.28,-2.45137,-5,-8.167995,-8.305506,16.50307,38.66698,-6.259249,-6.505386,5.195919,8436
0.3,-64.35394,-5,-7.515935,-7.144033,20.83895,49.01563,-6.259249,-6.129279,11.6592,8412
0.32,105.2448,-5,-5.971536,-5.70561,69.37332,45.0172,-4.977129,-5.025848,20.39856,8412
0.34,4.747559,-5,-4.172389,-4.188318,81.63287,53.63078,-4.639729,-4.193536,25.9296,8328
0.36,-104.1071,-5,-3.029034,-2.888504,68.12141,45.34134,-4.639729,-3.833406,26.32593,8300
0.38,66.13457,-5,-1.550358,-1.722716,69.52599,24.38741,-3.290129,-2.852062,28.01018,8340
0.4,-263.0974,-5,-0.08524132,-0.9107221,60.65575,22.33817,-4.30233,-3.021074,24.43697,8244
0.42,-47.17274,-5,0.7317967,-0.3539955,37.64811,-14.66261,-3.08769,-2.462884,20.99147,8280
0.44,-217.8572,-5,0.5925148,-0.5144858,-12.2145,-17.15321,-3.627529,-2.73336,12.89045,8204
0.46,-87.96176,-5,-0.1239707,-0.9536417,-37.37481,-33.53713,-3.08769,-2.719532,7.046834,8256
0.48,32.82491,-5,-1.225348,-1.612198,-55.81757,-27.36353,-2.412889,-2.476524,3.327112,8236
0.5,-49.99453,-5,-2.346169,-2.209776,-63.02368,-7.499389,-2.75029,-2.667445,0.9970292,8184
0.52,-56.77312,-5,-3.318187,-2.659833,-36.61145,0.4408903,-3.02021,-2.964918,0.3265595,8204
0.54,248.7508,-5,-2.946576,-2.519986,30.74735,4.391921,-1.40069,-1.991818,7.021635,8224
0.56,3.993576,-5,-2.39982,-2.061237,26.22826,35.79126,-2.008009,-1.808969,10.23544,8124
0.58,82.43538,-5,-1.786697,-1.271069,32.59467,30.00388,-1.40069,-1.306039,13.48164,8156
0.6,54.53942,-5,-0.803481,-0.4924791,44.97636,30.92109,-1.13077,-0.8685733,15.43302,8104
0.62,-54.90705,-5,-0.03891053,0.1579148,41.75499,26.03273,-1.40069,-0.8374212,14.55327,8092
0.64,-27.34906,-5,0.9790975,0.7151561,44.15193,8.403751,-1.13077,-0.6458297,13.7512,8104
0.66,-105.4391,-5,1.388106,0.896439,16.91528,-1.981181,-1.40069,-0.7952251,9.637627,8080
0.68,-96.08251,-5,1.195877,0.7217457,-14.90152,-16.15716,-1.46817,-1.02616,4.642761,8108
0.7,-107.6472,-5,0.6283455,0.2157257,-30.50458,-22.81015,-1.738089,-1.415147,-0.3623598,8112
0.72,110.9266,-5,-0.1345792,-0.3098325,-41.34428,-25.48038,-0.7933693,-1.111927,-1.695416,8124
0.74,75.3178,-5,-0.9204687,-0.731243,-43.02367,-2.549284,-0.7933693,-1.023361,-2.033716,8088
0.76,72.1982,-5,-1.517053,-0.8553154,-24.64198,11.02509,-0.7933693,-0.9901,-0.7809441,8060
0.78,72.88515,-5,-1.097949,-0.6006563,33.31223,18.3357,-0.7258892,-0.8263738,2.827973,8060
0.8,-17.61734,-5,-0.2467273,-0.1280322,37.87712,20.28074,-1.06329,-0.8412313,5.140288,8068
0.82,-70.64102,-5,0.6179678,0.3399667,43.08323,9.440466,-1.33321,-0.9495465,5.316311,8092
0.84,96.11992,-5,1.368559,0.7560574,32.45727,-5.245656,-0.3884897,-0.4146824,6.008389,8128
0.86,10.43968,-5,1.535719,0.9570602,2.182452,1.269109,-0.4559698,-0.2759811,3.897005,8060
0.88,-163.748,-5,1.271328,0.911285,-23.83282,-2.572074,-1.40069,-0.8802842,-0.7287371,8040
0.9,91.41869,-5,1.212843,0.8004189,11.34276,-22.11896,-0.3884897,-0.5914114,-1.453883,8092
