Tiempo,ControlPWM,ReferenciaPosicion,ThetaMedido,ThetaObservado,OmegaMedido,OmegaObservado,PosicionMedido,PosicionObservado,VelocidadObservado,TiempoTranscurrido
0.98,158.6621,-5,2.076806,2.554914,-2.000756,17.06676,-0.1185694,-0.5184058,-7.147626,8048
1,134.428,-5,2.817255,3.044212,33.57178,18.84951,-0.1185694,-0.3637441,-4.095148,8040
1.02,119.4897,-5,3.144152,3.457694,24.28933,16.52983,-0.1185694,-0.2913742,-3.680233,8040
1.04,105.5656,-5,3.757175,3.848765,29.75498,11.45577,-0.1185694,-0.2278659,-3.166891,8052
1.06,102.1396,-5,3.88626,4.048219,7.541233,6.28523,-0.1185694,-0.2416129,-4.512526,8032
1.08,-56.88184,-5,4.000072,4.018549,4.182453,1.798167,-1.06329,-0.8458178,-7.593592,8024
1.1,72.01697,-5,3.973492,3.846049,-0.596175,-17.01478,-0.7933693,-0.9892894,-9.365657,8104
1.12,103.1237,-5,3.747594,3.517678,-12.3519,-15.6373,-0.7258892,-1.04892,-10.91132,8072
1.14,-39.19275,-5,2.965641,3.028644,-41.35955,-9.305239,-1.670609,-1.721151,-14.41925,8080
1.16,271.3613,-5,2.265813,2.670322,-24.35191,-16.63944,-0.4559698,-1.330881,-12.99324,8128
1.18,192.6304,-5,2.646721,2.688876,16.41146,8.582244,-0.5234499,-1.070342,-9.198603,8052
1.2,54.84924,-5,2.297377,2.82876,-18.56565,18.24811,-1.19825,-1.36938,-9.291907,8052
1.22,229.0045,-5,2.470824,3.106056,31.89239,10.4889,-0.4559698,-1.025418,-6.50456,8124
1.24,163.6854,-5,3.622875,3.634016,55.20538,19.10266,-0.4559698,-0.723272,-2.785125,8044
1.26,-55.89343,-5,3.852599,3.971936,2.594666,17.03826,-1.53565,-1.261335,-5.303157,8044
1.28,112.0933,-5,3.677311,4.003657,-2.94732,-5.680547,-1.06329,-1.306824,-7.265101,8120
1.3,79.89355,-5,4.755187,4.124184,43.80079,-7.386624,-1.13077,-1.252323,-6.114963,8116
1.32,132.8663,-5,4.574382,4.128085,-9.634345,-11.06022,-0.7933693,-1.093351,-8.066953,8116
1.34,-18.60095,-5,3.616348,3.743216,-48.10764,-5.243937,-1.670609,-1.703264,-13.06573,8068
1.36,116.983,-5,2.677889,3.246791,-35.20687,-13.42025,-1.46817,-1.949064,-14.76054,8132
1.38,189.4451,-5,3.17589,3.119817,27.83132,-6.656754,-1.13077,-1.718917,-11.08241,8104
1.4,228.6237,-5,3.093035,3.220774,-8.626713,5.569247,-0.7258892,-1.342444,-8.977946,8108
1.42,22.80762,-5,2.543781,3.222387,-34.1229,19.11002,-1.738089,-1.837744,-10.5513,8080
1.44,154.4489,-5,2.607725,3.339619,33.4649,7.256982,-1.40069,-1.828537,-8.790229,8140
1.46,146.5256,-5,3.641751,3.657511,48.79315,9.306372,-1.33321,-1.637835,-5.474039,8124
