Tiempo (0.02),Señal de control,Theta
0,30.0,0.01734691978311359
0.02,-30.0,0.02098432357188556
0.04,-30.0,0.005363538305467375
0.06,-30.0,0.9657254871095154
0.08,-30.0,0.8581678539799896
0.1,-30.0,-0.6877463916736091
0.12000000000000001,-30.0,-2.572278132821256
0.14,-30.0,-4.564990932557585
0.16,-30.0,-6.2990967016733945
0.18,-30.0,-7.548540116782027
0.19999999999999998,-30.0,-9.032555314702263
0.21999999999999997,-30.0,-10.323568431334568
0.23999999999999996,-30.0,-10.636189241388372
0.25999999999999995,-30.0,-10.856081063767526
0.27999999999999997,-30.0,-10.94963096670192
0.3,-30.0,-10.79795024616025
0.32,-30.0,-10.864112235700253
0.34,-30.0,-10.795831104356637
0.36000000000000004,-30.0,-10.747180735209522
0.38000000000000006,-30.0,-10.687192756497895
0.4000000000000001,-30.0,-10.579011744110986
0.4200000000000001,-30.0,-10.518014301544191
0.4400000000000001,-30.0,-10.444127470566885
0.46000000000000013,-30.0,-10.382769849686488
0.48000000000000015,-30.0,-10.325282803195815
0.5000000000000001,-30.0,-10.304689503918475
0.5200000000000001,-30.0,-10.208065746146618
0.5400000000000001,-30.0,-10.18983910462223
0.5600000000000002,-30.0,-10.151923936400372
0.5800000000000002,-30.0,-10.125609717521812
0.6000000000000002,-30.0,-10.071965427006825
0.6200000000000002,-30.0,-10.057542440858079
0.6400000000000002,-30.0,-10.045028762140133
0.6600000000000003,-30.0,-10.024975314372785
0.6800000000000003,-30.0,-10.030085701740123
0.7000000000000003,-30.0,-10.042176601980042
0.7200000000000003,-30.0,-10.023122903231922
0.7400000000000003,-30.0,-10.011215948681347
0.7600000000000003,-30.0,-9.997375299288318
0.7800000000000004,-30.0,-10.002021367590606
0.8000000000000004,-30.0,-9.995269137664756
0.8200000000000004,-30.0,-9.990978105361872
0.8400000000000004,-30.0,-9.975287057051258
0.8600000000000004,-30.0,-9.958436503694593
0.8800000000000004,-30.0,-9.954901257204419
0.9000000000000005,-30.0,-9.951960910672698
0.9200000000000005,-30.0,-9.95113178560886
0.9400000000000005,-30.0,-9.937864675552683
0.9600000000000005,-30.0,-9.935574499578435
0.9800000000000005,-30.0,-9.917114523961832
1.0000000000000004,30.0,-9.920873005535146
1.0200000000000005,30.0,-9.99389105905595
1.0400000000000005,30.0,-10.331565326161174
