Tiempo,ControlPWM,Plataforma,Posicion,Error
0,1728,-0.03445618,10.27359,-10.27359
0.02,1728,-0.05375439,10.27359,-10.27359
0.04,1730,-0.09433071,10.34107,-10.34107
0.06,1754,0.140044,11.28579,-11.28579
0.08,1722,1.277589,10.00367,-10.00367
0.1,1745,2.532531,10.94839,-10.94839
0.12,1745,3.84812,10.94839,-10.94839
0.14,1745,5.000182,10.94839,-10.94839
0.16,1720,5.930971,9.93619,-9.93619
0.18,1730,6.853435,10.34107,-10.34107
0.2,1737,7.254203,10.61099,-10.61099
0.22,1723,7.293686,10.07115,-10.07115
0.24,1737,7.386946,10.61099,-10.61099
0.26,1732,7.259076,10.40855,-10.40855
0.28,1691,7.179435,8.78903,-8.78903
0.3,1691,7.111754,8.78903,-8.78903
0.32,1681,7.057616,8.38415,-8.38415
0.34,1681,6.890257,8.38415,-8.38415
0.36,1657,6.699535,7.439429,-7.439429
0.38,1630,6.471424,6.35975,-6.35975
0.4,1632,6.328778,6.42723,-6.42723
0.42,1615,6.036112,5.75243,-5.75243
0.44,1598,5.634508,5.07763,-5.07763
0.46,1573,5.15366,4.06543,-4.06543
0.48,1556,4.604457,3.39063,-3.39063
0.5,1546,4.106814,2.98575,-2.98575
0.52,1531,3.543444,2.37843,-2.37843
0.54,1512,2.82535,1.63615,-1.63615
0.56,1475,2.270673,0.1515903,-0.1515903
0.58,1489,1.665312,0.6914301,-0.6914301
0.6,1456,1.124696,-0.6581707,0.6581707
0.62,1448,0.5215722,-0.9955692,0.9955692
0.64,1432,-0.1634756,-1.60289,1.60289
0.66,1424,-0.7138471,-1.94029,1.94029
0.68,1417,-1.130022,-2.210211,2.210211
0.7,1368,-1.677895,-4.16713,4.16713
0.72,1384,-2.005722,-3.559811,3.559811
0.74,1336,-2.286134,-5.449249,5.449249
0.76,1343,-2.72876,-5.179329,5.179329
0.78,1328,-3.140442,-5.78665,5.78665
0.8,1289,-3.73422,-7.33869,7.33869
0.82,1289,-4.772835,-7.33869,7.33869
0.84,1274,-5.914028,-7.946011,7.946011
0.86,1252,-6.714611,-8.82325,8.82325
0.88,1254,-7.174836,-8.75577,8.75577
0.9,1232,-7.883487,-9.633009,9.633009
0.92,1208,-8.502382,-10.57773,10.57773
0.94,1223,-8.845787,-9.970409,9.970409
0.96,1210,-9.188934,-10.51025,10.51025
0.98,1225,-9.641589,-9.902929,9.902929
1,1210,-9.935993,-10.51025,10.51025
1.02,1208,-10.22354,-10.57773,10.57773
1.04,1208,-10.43934,-10.57773,10.57773
1.06,1208,-10.39532,-10.57773,10.57773
1.08,1201,-10.4399,-10.84765,10.84765
1.1,1193,-10.43578,-11.18505,11.18505
1.12,1232,-10.40141,-9.633009,9.633009
1.14,1223,-10.44991,-9.970409,9.970409
1.16,1232,-10.552,-9.633009,9.633009
1.18,1238,-10.39069,-9.363091,9.363091
1.2,1247,-10.20733,-9.02569,9.02569
1.22,1252,-10.20121,-8.82325,8.82325
1.24,1276,-10.00752,-7.878531,7.878531
1.26,1276,-9.877413,-7.878531,7.878531
1.28,1276,-9.650117,-7.878531,7.878531
1.3,1311,-9.353004,-6.461451,6.461451
1.32,1335,-9.292993,-5.516729,5.516729
1.34,1326,-8.768857,-5.85413,5.85413
1.36,1377,-8.12409,-3.829729,3.829729
1.38,1360,-7.322556,-4.50453,4.50453
1.4,1377,-6.665988,-3.829729,3.829729
1.42,1416,-5.91033,-2.277691,2.277691
1.44,1399,-5.242264,-2.95249,2.95249
1.46,1449,-4.735435,-0.9280891,0.9280891
1.48,1458,-4.15853,-0.5906906,0.5906906
1.5,1474,-3.86976,0.08411026,-0.08411026
1.52,1459,-3.18788,-0.5232105,0.5232105
1.54,1472,-2.601789,0.01663017,-0.01663017
1.56,1489,-2.036051,0.6914301,-0.6914301
1.58,1514,-1.720403,1.703629,-1.703629
1.6,1531,-1.297085,2.37843,-2.37843
1.62,1558,-1.144288,3.45811,-3.45811
1.64,1548,-0.7715675,3.05323,-3.05323
1.66,1573,-0.2313344,4.06543,-4.06543
1.68,1598,0.3608667,5.07763,-5.07763
1.7,1597,0.8286012,5.01015,-5.01015
1.72,1624,1.429818,6.089829,-6.089829
1.74,1624,1.897699,6.089829,-6.089829
1.76,1632,2.372893,6.42723,-6.42723
1.78,1639,2.758031,6.69715,-6.69715
1.8,1641,3.157744,6.764629,-6.764629
1.82,1649,3.445163,7.10203,-7.10203
1.84,1664,3.720839,7.70935,-7.70935
1.86,1679,3.971974,8.316669,-8.316669
1.88,1673,4.150831,8.04675,-8.04675
1.9,1691,4.418418,8.78903,-8.78903
1.92,1681,4.696848,8.38415,-8.38415
1.94,1679,4.978887,8.316669,-8.316669
1.96,1683,5.200084,8.45163,-8.45163
1.98,1683,5.346905,8.45163,-8.45163
2,1657,5.496877,7.439429,-7.439429
2.02,1666,5.496532,7.77683,-7.77683
2.04,1676,5.496345,8.181709,-8.181709
2.06,1657,5.305189,7.439429,-7.439429
2.08,1639,5.243659,6.69715,-6.69715
2.1,1649,5.258702,7.10203,-7.10203
2.12,1641,5.234603,6.764629,-6.764629
2.14,1656,5.076765,7.37195,-7.37195
2.16,1649,4.925405,7.10203,-7.10203
2.18,1641,4.728485,6.764629,-6.764629
2.2,1630,4.681612,6.35975,-6.35975
2.22,1624,4.577157,6.089829,-6.089829
2.24,1590,4.468489,4.74023,-4.74023
2.26,1580,4.374631,4.33535,-4.33535
2.28,1582,4.261194,4.40283,-4.40283
2.3,1580,3.809498,4.33535,-4.33535
2.32,1555,3.535004,3.32315,-3.32315
2.34,1556,3.20355,3.39063,-3.39063
2.36,1523,2.977796,2.04103,-2.04103
2.38,1529,2.556979,2.31095,-2.31095
2.4,1506,2.101537,1.36623,-1.36623
2.42,1474,1.599741,0.08411026,-0.08411026
2.44,1479,1.198096,0.2865496,-0.2865496
2.46,1463,0.6568891,-0.3882504,0.3882504
2.48,1466,0.07919821,-0.2532902,0.2532902
2.5,1448,-0.3564383,-0.9955692,0.9955692
2.52,1424,-0.7926467,-1.94029,1.94029
2.54,1424,-1.054981,-1.94029,1.94029
2.56,1402,-1.352992,-2.81753,2.81753
2.58,1400,-1.803196,-2.88501,2.88501
2.6,1377,-2.092737,-3.829729,3.829729
2.62,1377,-2.460026,-3.829729,3.829729
2.64,1375,-2.74732,-3.897209,3.897209
2.66,1345,-3.046092,-5.111851,5.111851
2.68,1346,-3.346838,-5.044371,5.044371
2.7,1335,-3.67117,-5.516729,5.516729
2.72,1306,-3.916903,-6.663889,6.663889
2.74,1328,-4.261574,-5.78665,5.78665
2.76,1319,-4.749057,-6.12405,6.12405
2.78,1311,-5.505089,-6.461451,6.461451
2.8,1296,-6.165168,-7.068769,7.068769
2.82,1313,-6.511288,-6.39397,6.39397
2.84,1297,-6.412995,-7.001289,7.001289
2.86,1297,-6.185352,-7.001289,7.001289
2.88,1282,-5.993501,-7.60861,7.60861
2.9,1282,-6.058658,-7.60861,7.60861
2.92,1282,-6.374138,-7.60861,7.60861
2.94,1281,-6.703305,-7.67609,7.67609
2.96,1281,-7.01018,-7.67609,7.67609
2.98,1281,-7.315485,-7.67609,7.67609
3,1297,-7.404116,-7.001289,7.001289
3.02,1276,-7.500373,-7.878531,7.878531
3.04,1313,-7.554451,-6.39397,6.39397
3.06,1304,-7.513797,-6.731369,6.731369
3.08,1297,-7.504649,-7.001289,7.001289
3.1,1282,-7.509364,-7.60861,7.60861
3.12,1319,-7.422576,-6.12405,6.12405
3.14,1311,-7.415392,-6.461451,6.461451
3.16,1345,-7.476311,-5.111851,5.111851
3.18,1328,-7.37787,-5.78665,5.78665
3.2,1377,-7.262941,-3.829729,3.829729
3.22,1377,-6.996233,-3.829729,3.829729
3.24,1350,-6.546449,-4.90941,4.90941
3.26,1384,-5.984378,-3.559811,3.559811
3.28,1385,-5.441907,-3.492331,3.492331
3.3,1392,-4.937824,-3.22241,3.22241
3.32,1394,-4.556176,-3.15493,3.15493
3.34,1402,-4.21629,-2.81753,2.81753
3.36,1410,-4.080568,-2.480129,2.480129
3.38,1441,-3.897976,-1.26549,1.26549
3.4,1417,-3.628857,-2.210211,2.210211
3.42,1449,-3.3771,-0.9280891,0.9280891
3.44,1451,-3.07567,-0.8606091,0.8606091
3.46,1458,-2.818772,-0.5906906,0.5906906
3.48,1459,-2.631615,-0.5232105,0.5232105
3.5,1466,-2.309052,-0.2532902,0.2532902
3.52,1472,-1.97557,0.01663017,-0.01663017
3.54,1471,-1.696626,-0.05084991,0.05084991
3.56,1480,-1.429237,0.3540297,-0.3540297
3.58,1489,-1.25002,0.6914301,-0.6914301
3.6,1506,-1.062513,1.36623,-1.36623
3.62,1516,-0.9887739,1.77111,-1.77111
3.64,1499,-0.9687547,1.09631,-1.09631
3.66,1539,-0.8101745,2.71583,-2.71583
3.68,1523,-0.4738845,2.04103,-2.04103
3.7,1539,-0.1629447,2.71583,-2.71583
3.72,1556,0.03639493,3.39063,-3.39063
3.74,1539,0.2228974,2.71583,-2.71583
3.76,1565,0.4704367,3.72803,-3.72803
3.78,1555,0.6760309,3.32315,-3.32315
3.8,1573,0.9168867,4.06543,-4.06543
3.82,1571,1.100431,3.99795,-3.99795
3.84,1563,1.324854,3.66055,-3.66055
3.86,1563,1.495185,3.66055,-3.66055
3.88,1563,1.641507,3.66055,-3.66055
3.9,1541,1.598489,2.78331,-2.78331
3.92,1573,1.662301,4.06543,-4.06543
3.94,1573,1.569893,4.06543,-4.06543
3.96,1548,1.643478,3.05323,-3.05323
3.98,1558,1.684927,3.45811,-3.45811
4,1556,1.668481,3.39063,-3.39063
4.02,1565,1.681075,3.72803,-3.72803
4.04,1536,1.613522,2.58087,-2.58087
4.06,1548,1.590217,3.05323,-3.05323
4.08,1555,1.498755,3.32315,-3.32315
4.1,1529,1.431265,2.31095,-2.31095
4.12,1514,1.448029,1.703629,-1.703629
4.14,1523,1.375085,2.04103,-2.04103
4.16,1531,1.230729,2.37843,-2.37843
4.18,1512,0.9580203,1.63615,-1.63615
4.2,1523,0.7952514,2.04103,-2.04103
4.22,1531,0.769846,2.37843,-2.37843
4.24,1514,0.5998595,1.703629,-1.703629
4.26,1523,0.6351388,2.04103,-2.04103
4.28,1496,0.6096264,0.9613495,-0.9613495
4.3,1514,0.5667138,1.703629,-1.703629
4.32,1489,0.4774706,0.6914301,-0.6914301
4.34,1472,0.3380932,0.01663017,-0.01663017
4.36,1480,0.2401461,0.3540297,-0.3540297
4.38,1489,-0.0385861,0.6914301,-0.6914301
4.4,1472,-0.2799207,0.01663017,-0.01663017
4.42,1480,-0.532198,0.3540297,-0.3540297
4.44,1489,-0.5506442,0.6914301,-0.6914301
4.46,1472,-0.6889809,0.01663017,-0.01663017
4.48,1480,-0.6918026,0.3540297,-0.3540297
4.5,1464,-0.7108578,-0.3207703,0.3207703
4.52,1472,-0.7492002,0.01663017,-0.01663017
4.54,1472,-0.7937246,0.01663017,-0.01663017
4.56,1482,-0.9466566,0.4215097,-0.4215097
4.58,1456,-1.002249,-0.6581707,0.6581707
4.6,1464,-1.020479,-0.3207703,0.3207703
4.62,1474,-1.060347,0.08411026,-0.08411026
4.64,1472,-1.176563,0.01663017,-0.01663017
4.66,1449,-1.189119,-0.9280891,0.9280891
4.68,1449,-1.170926,-0.9280891,0.9280891
4.7,1456,-1.203778,-0.6581707,0.6581707
4.72,1458,-1.307785,-0.5906906,0.5906906
4.74,1458,-1.402345,-0.5906906,0.5906906
4.76,1456,-1.473781,-0.6581707,0.6581707
4.78,1459,-1.530568,-0.5232105,0.5232105
4.8,1458,-1.489608,-0.5906906,0.5906906
4.82,1456,-1.494363,-0.6581707,0.6581707
4.84,1456,-1.490543,-0.6581707,0.6581707
4.86,1456,-1.489469,-0.6581707,0.6581707
4.88,1456,-1.498487,-0.6581707,0.6581707
4.9,1458,-1.481323,-0.5906906,0.5906906
4.92,1456,-1.470863,-0.6581707,0.6581707
4.94,1456,-1.467396,-0.6581707,0.6581707
4.96,1456,-1.465349,-0.6581707,0.6581707
4.98,1458,-1.473982,-0.5906906,0.5906906
5,1456,-1.465557,-0.6581707,0.6581707
5.02,1458,-1.463198,-0.5906906,0.5906906
5.04,1456,-1.463315,-0.6581707,0.6581707
5.06,1458,-1.462933,-0.5906906,0.5906906
5.08,1456,-1.467011,-0.6581707,0.6581707
5.1,1456,-1.469933,-0.6581707,0.6581707
5.12,1456,-1.460345,-0.6581707,0.6581707
5.14,1456,-1.458729,-0.6581707,0.6581707
5.16,1456,-1.456073,-0.6581707,0.6581707
5.18,1458,-1.458879,-0.5906906,0.5906906
5.2,1456,-1.450711,-0.6581707,0.6581707
5.22,1458,-1.446774,-0.5906906,0.5906906
5.24,1456,-1.447381,-0.6581707,0.6581707
5.26,1456,-1.452573,-0.6581707,0.6581707
5.28,1456,-1.449474,-0.6581707,0.6581707
5.3,1458,-1.444515,-0.5906906,0.5906906
5.32,1458,-1.44787,-0.5906906,0.5906906
5.34,1458,-1.442183,-0.5906906,0.5906906
5.36,1456,-1.440701,-0.6581707,0.6581707
5.38,1458,-1.442197,-0.5906906,0.5906906
5.4,1458,-1.437872,-0.5906906,0.5906906
5.42,1458,-1.438938,-0.5906906,0.5906906
5.44,1456,-1.440621,-0.6581707,0.6581707
5.46,1458,-1.445328,-0.5906906,0.5906906
5.48,1456,-1.458161,-0.6581707,0.6581707
5.5,1456,-1.455781,-0.6581707,0.6581707
5.52,1458,-1.456908,-0.5906906,0.5906906
5.54,1458,-1.454696,-0.5906906,0.5906906
5.56,1456,-1.457285,-0.6581707,0.6581707
5.58,1456,-1.455572,-0.6581707,0.6581707
5.6,1458,-1.451447,-0.5906906,0.5906906
5.62,1458,-1.456639,-0.5906906,0.5906906
5.64,1472,-1.469896,0.01663017,-0.01663017
5.66,1472,-1.512487,0.01663017,-0.01663017
5.68,1480,-1.537467,0.3540297,-0.3540297
5.7,1496,-1.57264,0.9613495,-0.9613495
5.72,1523,-1.560437,2.04103,-2.04103
5.74,1516,-1.589862,1.77111,-1.77111
5.76,1539,-1.33049,2.71583,-2.71583
5.78,1539,-0.8804182,2.71583,-2.71583
5.8,1565,-0.5904914,3.72803,-3.72803
5.82,1598,-0.203789,5.07763,-5.07763
5.84,1602,0.04688212,5.21259,-5.21259
5.86,1605,0.3105506,5.347549,-5.347549
5.88,1615,0.9043615,5.75243,-5.75243
5.9,1624,1.337018,6.089829,-6.089829
5.92,1632,1.791187,6.42723,-6.42723
5.94,1614,2.119812,5.68495,-5.68495
5.96,1630,2.533318,6.35975,-6.35975
5.98,1647,2.840952,7.03455,-7.03455
6,1641,2.993143,6.764629,-6.764629
6.02,1632,3.202992,6.42723,-6.42723
6.04,1657,3.40688,7.439429,-7.439429
6.06,1657,3.557739,7.439429,-7.439429
6.08,1656,3.632353,7.37195,-7.37195
6.1,1630,3.870291,6.35975,-6.35975
6.12,1632,4.01299,6.42723,-6.42723
6.14,1641,4.153544,6.764629,-6.764629
6.16,1647,4.031443,7.03455,-7.03455
6.18,1624,4.048328,6.089829,-6.089829
6.2,1639,3.95748,6.69715,-6.69715
6.22,1617,3.874662,5.81991,-5.81991
6.24,1632,3.911317,6.42723,-6.42723
6.26,1614,3.823149,5.68495,-5.68495
6.28,1634,3.874909,6.49471,-6.49471
6.3,1614,3.837494,5.68495,-5.68495
6.32,1607,3.843105,5.41503,-5.41503
6.34,1592,3.79097,4.80771,-4.80771
6.36,1582,3.780898,4.40283,-4.40283
6.38,1573,3.613194,4.06543,-4.06543
6.4,1566,3.35674,3.79551,-3.79551
6.42,1556,3.068314,3.39063,-3.39063
6.44,1548,2.783887,3.05323,-3.05323
6.46,1546,2.507253,2.98575,-2.98575
6.48,1539,2.145677,2.71583,-2.71583
6.5,1506,1.9876,1.36623,-1.36623
6.52,1506,1.815288,1.36623,-1.36623
6.54,1497,1.504872,1.02883,-1.02883
6.56,1497,1.139758,1.02883,-1.02883
6.58,1466,0.763653,-0.2532902,0.2532902
6.6,1466,0.3596315,-0.2532902,0.2532902
6.62,1464,0.08841797,-0.3207703,0.3207703
6.64,1432,-0.3901397,-1.60289,1.60289
6.66,1456,-0.7060573,-0.6581707,0.6581707
6.68,1426,-0.9062914,-1.87281,1.87281
6.7,1424,-1.068912,-1.94029,1.94029
6.72,1417,-1.250887,-2.210211,2.210211
6.74,1417,-1.528449,-2.210211,2.210211
6.76,1375,-1.926094,-3.897209,3.897209
6.78,1392,-2.145072,-3.22241,3.22241
6.8,1382,-2.180807,-3.627291,3.627291
6.82,1368,-2.389056,-4.16713,4.16713
6.84,1385,-2.785471,-3.492331,3.492331
6.86,1343,-3.269085,-5.179329,5.179329
6.88,1382,-3.668804,-3.627291,3.627291
6.9,1368,-3.739611,-4.16713,4.16713
6.92,1351,-3.743684,-4.84193,4.84193
6.94,1328,-3.889521,-5.78665,5.78665
6.96,1360,-4.118593,-4.50453,4.50453
6.98,1345,-4.362026,-5.111851,5.111851
7,1345,-4.673812,-5.111851,5.111851
7.02,1343,-5.049166,-5.179329,5.179329
7.04,1343,-5.371218,-5.179329,5.179329
7.06,1343,-5.523223,-5.179329,5.179329
7.08,1336,-5.444903,-5.449249,5.449249
7.1,1362,-5.390784,-4.43705,4.43705
7.12,1351,-5.400156,-4.84193,4.84193
7.14,1353,-5.326277,-4.77445,4.77445
7.16,1343,-5.269567,-5.179329,5.179329
7.18,1360,-5.260792,-4.50453,4.50453
7.2,1385,-5.257667,-3.492331,3.492331
7.22,1377,-5.240779,-3.829729,3.829729
7.24,1358,-5.204288,-4.57201,4.57201
7.26,1385,-4.918413,-3.492331,3.492331
7.28,1368,-4.693155,-4.16713,4.16713
7.3,1384,-4.722151,-3.559811,3.559811
7.32,1377,-4.518182,-3.829729,3.829729
7.34,1392,-4.535975,-3.22241,3.22241
7.36,1416,-4.414907,-2.277691,2.277691
7.38,1399,-4.260104,-2.95249,2.95249
7.4,1417,-4.224738,-2.210211,2.210211
7.42,1400,-3.823806,-2.88501,2.88501
7.44,1426,-3.688175,-1.87281,1.87281
7.46,1409,-3.603567,-2.547609,2.547609
7.48,1424,-3.531174,-1.94029,1.94029
7.5,1449,-3.389558,-0.9280891,0.9280891
7.52,1431,-3.266907,-1.67037,1.67037
7.54,1449,-3.170137,-0.9280891,0.9280891
7.56,1439,-2.785556,-1.33297,1.33297
7.58,1456,-2.624778,-0.6581707,0.6581707
7.6,1449,-2.406718,-0.9280891,0.9280891
7.62,1464,-2.264887,-0.3207703,0.3207703
7.64,1456,-2.200057,-0.6581707,0.6581707
