Tiempo,ControlPWM,Plataforma,Posicion,Error
0,1472,-0.05255443,0.01663017,-0.01663017
0.02,1472,-0.1009199,0.01663017,-0.01663017
0.04,1482,-0.1491157,0.4215097,-0.4215097
0.06,1480,-0.2060797,0.3540297,-0.3540297
0.08,1479,-0.2481963,0.2865496,-0.2865496
0.1,1480,-0.2898228,0.3540297,-0.3540297
0.12,1472,-0.3328127,0.01663017,-0.01663017
0.14,1472,-0.3722825,0.01663017,-0.01663017
0.16,1482,-0.4127024,0.4215097,-0.4215097
0.18,1472,-0.447185,0.01663017,-0.01663017
0.2,1472,-0.4730417,0.01663017,-0.01663017
0.22,1472,-0.5134127,0.01663017,-0.01663017
0.24,1479,-0.5195314,0.2865496,-0.2865496
0.26,1472,-0.537605,0.01663017,-0.01663017
0.28,1472,-0.5689245,0.01663017,-0.01663017
0.3,1506,-0.5788426,1.36623,-1.36623
0.32,1472,-0.5921062,0.01663017,-0.01663017
0.34,1507,-0.5780073,1.43371,-1.43371
0.36,1480,-0.4991576,0.3540297,-0.3540297
0.38,1479,-0.5288373,0.2865496,-0.2865496
0.4,1472,-0.4572661,0.01663017,-0.01663017
0.42,1506,-0.5075619,1.36623,-1.36623
0.44,1480,-0.52926,0.3540297,-0.3540297
0.46,1472,-0.5285688,0.01663017,-0.01663017
0.48,1479,-0.4812199,0.2865496,-0.2865496
0.5,1472,-0.4861198,0.01663017,-0.01663017
0.52,1472,-0.57687,0.01663017,-0.01663017
0.54,1472,-0.5996707,0.01663017,-0.01663017
0.56,1474,-0.680948,0.08411026,-0.08411026
0.58,1482,-0.7376375,0.4215097,-0.4215097
0.6,1474,-0.764963,0.08411026,-0.08411026
0.62,1474,-0.7815648,0.08411026,-0.08411026
0.64,1482,-0.782082,0.4215097,-0.4215097
0.66,1480,-0.784866,0.3540297,-0.3540297
0.68,1472,-0.7896895,0.01663017,-0.01663017
0.7,1472,-0.7900364,0.01663017,-0.01663017
0.72,1474,-0.8039162,0.08411026,-0.08411026
0.74,1472,-0.8052365,0.01663017,-0.01663017
0.76,1479,-0.8065332,0.2865496,-0.2865496
0.78,1480,-0.8058504,0.3540297,-0.3540297
0.8,1474,-0.8153927,0.08411026,-0.08411026
0.82,1479,-0.8220702,0.2865496,-0.2865496
0.84,1480,-0.8217732,0.3540297,-0.3540297
0.86,1472,-0.8313292,0.01663017,-0.01663017
0.88,1479,-0.8330315,0.2865496,-0.2865496
0.9,1480,-0.8276303,0.3540297,-0.3540297
0.92,1479,-0.8328141,0.2865496,-0.2865496
0.94,1474,-0.8311394,0.08411026,-0.08411026
0.96,1474,-0.855426,0.08411026,-0.08411026
0.98,1472,-0.8569078,0.01663017,-0.01663017
1,1472,-0.8504354,0.01663017,-0.01663017
1.02,1472,-0.8585991,0.01663017,-0.01663017
1.04,1480,-0.8491285,0.3540297,-0.3540297
1.06,1472,-0.8477281,0.01663017,-0.01663017
1.08,1479,-0.8525925,0.2865496,-0.2865496
1.1,1479,-0.8552964,0.2865496,-0.2865496
1.12,1472,-0.8462946,0.01663017,-0.01663017
1.14,1472,-0.8463157,0.01663017,-0.01663017
1.16,1471,-0.8500363,-0.05084991,0.05084991
1.18,1472,-0.8513618,0.01663017,-0.01663017
1.2,1472,-0.852511,0.01663017,-0.01663017
1.22,1479,-0.8558046,0.2865496,-0.2865496
