Tiempo,ControlPWM,Plataforma,Posicion,Error
0,1479.586,-0.07352547,-0.1685696,0.1685696
0.02,1479.586,-0.139855,-0.1685696,0.1685696
0.04,1476.549,-0.1953915,-0.1010895,0.1010895
0.06,1476.549,-0.2514164,-0.1010895,0.1010895
0.08,1479.586,-0.3032555,-0.1685696,0.1685696
0.1,1479.586,-0.352921,-0.1685696,0.1685696
0.12,1479.586,-0.4014335,-0.1685696,0.1685696
0.14,1479.586,-0.4430343,-0.1685696,0.1685696
0.16,1479.586,-0.4785199,-0.1685696,0.1685696
0.18,1479.586,-0.5212263,-0.1685696,0.1685696
0.2,1479.586,-0.5585726,-0.1685696,0.1685696
0.22,1479.586,-0.5988333,-0.1685696,0.1685696
0.24,1479.586,-0.6307471,-0.1685696,0.1685696
0.26,1479.586,-0.666589,-0.1685696,0.1685696
0.28,1476.549,-0.6978137,-0.1010895,0.1010895
0.3,1479.586,-0.7140553,-0.1685696,0.1685696
0.32,1479.586,-0.7314659,-0.1685696,0.1685696
0.34,1479.586,-0.7479127,-0.1685696,0.1685696
0.36,1479.586,-0.7754838,-0.1685696,0.1685696
0.38,1482.622,-0.7891579,-0.2360497,0.2360497
0.4,1479.586,-0.8199841,-0.1685696,0.1685696
0.42,1476.549,-0.8337349,-0.1010895,0.1010895
0.44,1479.586,-0.8497505,-0.1685696,0.1685696
0.46,1479.586,-0.8617185,-0.1685696,0.1685696
0.48,1479.586,-0.8737327,-0.1685696,0.1685696
0.5,1479.586,-0.8960509,-0.1685696,0.1685696
0.52,1479.586,-0.9071327,-0.1685696,0.1685696
0.54,1479.586,-0.9159459,-0.1685696,0.1685696
0.56,1473.512,-0.9318014,-0.03360939,0.03360939
0.58,1479.586,-0.9385961,-0.1685696,0.1685696
0.6,1476.549,-0.9430349,-0.1010895,0.1010895
0.62,1479.586,-0.949026,-0.1685696,0.1685696
0.64,1479.586,-0.9587238,-0.1685696,0.1685696
0.66,1479.586,-0.9622376,-0.1685696,0.1685696
0.68,1479.586,-0.96687,-0.1685696,0.1685696
0.7,1479.586,-0.9645581,-0.1685696,0.1685696
0.72,1479.586,-0.9687958,-0.1685696,0.1685696
0.74,1479.586,-0.9718536,-0.1685696,0.1685696
0.76,1479.586,-0.9846738,-0.1685696,0.1685696
0.78,1476.549,-0.9871793,-0.1010895,0.1010895
0.8,1479.586,-0.9875111,-0.1685696,0.1685696
0.82,1479.586,-0.993045,-0.1685696,0.1685696
0.84,1479.586,-0.9996642,-0.1685696,0.1685696
0.86,1479.586,-1.005862,-0.1685696,0.1685696
0.88,1479.586,-1.00254,-0.1685696,0.1685696
0.9,1476.549,-0.9929851,-0.1010895,0.1010895
0.92,1476.549,-0.9993206,-0.1010895,0.1010895
0.94,1479.586,-1.002586,-0.1685696,0.1685696
0.96,1473.512,-1.008251,-0.03360939,0.03360939
0.98,1479.586,-1.001545,-0.1685696,0.1685696
1,1479.586,-1.013339,-0.1685696,0.1685696
1.02,1479.586,-1.013571,-0.1685696,0.1685696
1.04,1479.586,-1.008521,-0.1685696,0.1685696
1.06,1479.586,-1.011063,-0.1685696,0.1685696
1.08,1479.586,-1.017886,-0.1685696,0.1685696
1.1,1479.586,-1.016116,-0.1685696,0.1685696
1.12,1479.586,-1.011176,-0.1685696,0.1685696
1.14,1479.586,-1.01593,-0.1685696,0.1685696
1.16,1479.586,-1.011647,-0.1685696,0.1685696
1.18,1479.586,-1.02835,-0.1685696,0.1685696
1.2,1479.586,-1.041252,-0.1685696,0.1685696
1.22,1479.586,-1.040417,-0.1685696,0.1685696
1.24,1479.586,-1.045496,-0.1685696,0.1685696
1.26,1479.586,-1.048153,-0.1685696,0.1685696
1.28,1476.549,-1.059084,-0.1010895,0.1010895
1.3,1479.586,-1.073109,-0.1685696,0.1685696
1.32,1479.586,-1.067718,-0.1685696,0.1685696
1.34,1479.586,-1.061806,-0.1685696,0.1685696
1.36,1479.586,-1.057517,-0.1685696,0.1685696
1.38,1479.586,-1.051447,-0.1685696,0.1685696
1.4,1479.586,-1.055439,-0.1685696,0.1685696
1.42,1479.586,-1.054226,-0.1685696,0.1685696
1.44,1479.586,-1.05599,-0.1685696,0.1685696
1.46,1479.586,-1.054142,-0.1685696,0.1685696
1.48,1479.586,-1.061768,-0.1685696,0.1685696
1.5,1479.586,-1.063859,-0.1685696,0.1685696
1.52,1479.586,-1.064974,-0.1685696,0.1685696
1.54,1479.586,-1.065394,-0.1685696,0.1685696
1.56,1479.586,-1.059343,-0.1685696,0.1685696
1.58,1479.586,-1.061064,-0.1685696,0.1685696
1.6,1476.549,-1.048903,-0.1010895,0.1010895
1.62,1479.586,-1.048682,-0.1685696,0.1685696
1.64,1479.586,-1.047063,-0.1685696,0.1685696
1.66,1479.586,-1.039321,-0.1685696,0.1685696
1.68,1479.586,-1.046855,-0.1685696,0.1685696
1.7,1479.586,-1.051172,-0.1685696,0.1685696
1.72,1479.586,-1.059504,-0.1685696,0.1685696
1.74,1479.586,-1.061509,-0.1685696,0.1685696
1.76,1479.586,-1.059535,-0.1685696,0.1685696
1.78,1479.586,-1.063859,-0.1685696,0.1685696
1.8,1479.586,-1.058834,-0.1685696,0.1685696
1.82,1479.586,-1.059994,-0.1685696,0.1685696
1.84,1479.586,-1.056084,-0.1685696,0.1685696
1.86,1479.586,-1.052743,-0.1685696,0.1685696
1.88,1479.586,-1.046713,-0.1685696,0.1685696
1.9,1479.586,-1.054823,-0.1685696,0.1685696
1.92,1479.586,-1.048961,-0.1685696,0.1685696
1.94,1479.586,-1.043516,-0.1685696,0.1685696
1.96,1479.586,-1.033127,-0.1685696,0.1685696
1.98,1479.586,-1.025196,-0.1685696,0.1685696
2,1482.622,-1.028684,-0.2360497,0.2360497
2.02,1479.586,-1.026385,-0.1685696,0.1685696
2.04,1479.586,-1.033905,-0.1685696,0.1685696
2.06,1479.586,-1.028029,-0.1685696,0.1685696
2.08,1476.549,-1.025206,-0.1010895,0.1010895
2.1,1479.586,-1.026367,-0.1685696,0.1685696
2.12,1476.549,-1.0216,-0.1010895,0.1010895
2.14,1476.549,-1.023042,-0.1010895,0.1010895
2.16,1476.549,-1.025857,-0.1010895,0.1010895
2.18,1476.549,-1.041574,-0.1010895,0.1010895
2.2,1479.586,-1.041877,-0.1685696,0.1685696
2.22,1479.586,-1.043038,-0.1685696,0.1685696
2.24,1476.549,-1.04182,-0.1010895,0.1010895
2.26,1476.549,-1.051715,-0.1010895,0.1010895
2.28,1479.586,-1.050167,-0.1685696,0.1685696
