Tiempo,ControlPWM,Plataforma,Posicion,Error
0,1489.482,-0.07120556,-0.3884897,0.3884897
0.02,1477.336,-0.1406212,-0.1185694,0.1185694
0.04,1492.519,-0.2063673,-0.4559698,0.4559698
0.06,1495.555,-0.252066,-0.5234499,0.5234499
0.08,1489.482,-0.3082092,-0.3884897,0.3884897
0.1,1489.482,-0.3672231,-0.3884897,0.3884897
0.12,1489.482,-0.4007058,-0.3884897,0.3884897
0.14,1489.482,-0.4714037,-0.3884897,0.3884897
0.16,1489.482,-0.5097049,-0.3884897,0.3884897
0.18,1492.519,-0.559053,-0.4559698,0.4559698
0.2,1489.482,-0.5923821,-0.3884897,0.3884897
0.22,1492.519,-0.6212161,-0.4559698,0.4559698
0.24,1492.519,-0.6728262,-0.4559698,0.4559698
0.26,1489.482,-0.7012643,-0.3884897,0.3884897
0.28,1492.519,-0.7336121,-0.4559698,0.4559698
0.3,1495.555,-0.7616067,-0.5234499,0.5234499
0.32,1492.519,-0.789445,-0.4559698,0.4559698
0.34,1492.519,-0.8206162,-0.4559698,0.4559698
0.36,1492.519,-0.8372891,-0.4559698,0.4559698
0.38,1492.519,-0.8554557,-0.4559698,0.4559698
0.4,1492.519,-0.8813953,-0.4559698,0.4559698
0.42,1489.482,-0.8967064,-0.3884897,0.3884897
0.44,1492.519,-0.9056807,-0.4559698,0.4559698
0.46,1489.482,-0.9201905,-0.3884897,0.3884897
0.48,1489.482,-0.9412724,-0.3884897,0.3884897
0.5,1492.519,-0.952998,-0.4559698,0.4559698
0.52,1492.519,-0.9650506,-0.4559698,0.4559698
0.54,1492.519,-0.9701426,-0.4559698,0.4559698
0.56,1489.482,-0.9918479,-0.3884897,0.3884897
0.58,1489.482,-1.004731,-0.3884897,0.3884897
0.6,1495.555,-1.01756,-0.5234499,0.5234499
0.62,1492.519,-1.024216,-0.4559698,0.4559698
0.64,1492.519,-1.039252,-0.4559698,0.4559698
0.66,1495.555,-1.041792,-0.5234499,0.5234499
0.68,1489.482,-1.055215,-0.3884897,0.3884897
0.7,1489.482,-1.059678,-0.3884897,0.3884897
0.72,1492.519,-1.06584,-0.4559698,0.4559698
0.74,1489.482,-1.080219,-0.3884897,0.3884897
0.76,1495.555,-1.089384,-0.5234499,0.5234499
0.78,1489.482,-1.08151,-0.3884897,0.3884897
0.8,1492.519,-1.09494,-0.4559698,0.4559698
0.82,1489.482,-1.089286,-0.3884897,0.3884897
0.84,1489.482,-1.10155,-0.3884897,0.3884897
0.86,1489.482,-1.106401,-0.3884897,0.3884897
0.88,1489.482,-1.104005,-0.3884897,0.3884897
0.9,1492.519,-1.110235,-0.4559698,0.4559698
0.92,1489.482,-1.103696,-0.3884897,0.3884897
0.94,1492.519,-1.101121,-0.4559698,0.4559698
0.96,1489.482,-1.102205,-0.3884897,0.3884897
0.98,1492.519,-1.105594,-0.4559698,0.4559698
1,1489.482,-1.102887,-0.3884897,0.3884897
1.02,1489.482,-1.104182,-0.3884897,0.3884897
1.04,1492.519,-1.103046,-0.4559698,0.4559698
1.06,1492.519,-1.094083,-0.4559698,0.4559698
1.08,1489.482,-1.08604,-0.3884897,0.3884897
1.1,1489.482,-1.095835,-0.3884897,0.3884897
1.12,1492.519,-1.095288,-0.4559698,0.4559698
1.14,1495.555,-1.088955,-0.5234499,0.5234499
1.16,1492.519,-1.094122,-0.4559698,0.4559698
1.18,1492.519,-1.102658,-0.4559698,0.4559698
1.2,1489.482,-1.10638,-0.3884897,0.3884897
1.22,1495.555,-1.119648,-0.5234499,0.5234499
1.24,1489.482,-1.126185,-0.3884897,0.3884897
1.26,1489.482,-1.123483,-0.3884897,0.3884897
1.28,1489.482,-1.12886,-0.3884897,0.3884897
1.3,1492.519,-1.128632,-0.4559698,0.4559698
1.32,1489.482,-1.131637,-0.3884897,0.3884897
1.34,1495.555,-1.137616,-0.5234499,0.5234499
1.36,1492.519,-1.130343,-0.4559698,0.4559698
1.38,1492.519,-1.136349,-0.4559698,0.4559698
1.4,1492.519,-1.145325,-0.4559698,0.4559698
1.42,1492.519,-1.150635,-0.4559698,0.4559698
1.44,1492.519,-1.140971,-0.4559698,0.4559698
1.46,1492.519,-1.13814,-0.4559698,0.4559698
1.48,1489.482,-1.141641,-0.3884897,0.3884897
1.5,1492.519,-1.138732,-0.4559698,0.4559698
1.52,1492.519,-1.138717,-0.4559698,0.4559698
1.54,1492.519,-1.141005,-0.4559698,0.4559698
1.56,1489.482,-1.136697,-0.3884897,0.3884897
1.58,1489.482,-1.134442,-0.3884897,0.3884897
1.6,1495.555,-1.134718,-0.5234499,0.5234499
1.62,1492.519,-1.133494,-0.4559698,0.4559698
1.64,1495.555,-1.130278,-0.5234499,0.5234499
1.66,1492.519,-1.134956,-0.4559698,0.4559698
1.68,1495.555,-1.129601,-0.5234499,0.5234499
1.7,1492.519,-1.134227,-0.4559698,0.4559698
1.72,1492.519,-1.140072,-0.4559698,0.4559698
1.74,1489.482,-1.138172,-0.3884897,0.3884897
1.76,1492.519,-1.140515,-0.4559698,0.4559698
1.78,1489.482,-1.141844,-0.3884897,0.3884897
1.8,1489.482,-1.146248,-0.3884897,0.3884897
1.82,1492.519,-1.144206,-0.4559698,0.4559698
